Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
1,1,1,-7.3031,-7.0861,25.9054,0.2394,16,52,2,25.9054,25.9054
1,1,1,-5.2979,-1.4473,25.9321,0.2298,28,155,2,25.9321,0.0267
4,1,2,-6.4283,-3.5177,26.4397,0.2212,21,117,2,101.4397,75.5076
5,1,1,-6.7152,-1.555,26.6222,0.6857,19,153,2,126.62219999999999,25.1825
6,1,1,-6.7741,2.8949,25.6508,0.2322,19,234,2,150.6508,24.0286
6,1,1,-8.1025,0.7098,25.8927,0.302,11,194,2,150.8927,0.2419
6,1,2,-6.1777,6.6666,26.0989,0.2806,23,303,2,151.09890000000001,0.2062
6,1,1,-5.8874,-9.0457,31.1272,1.2751,24,17,2,156.1272,5.0283
7,1,2,-7.2647,2.1249,25.96,0.3335,16,220,2,175.96,19.8328
9,1,1,-7.2693,-2.8598,25.986,0.2106,16,129,2,225.986,50.026
10,1,1,-5.224,2.11,27.5883,0.3394,28,220,2,252.5883,26.6023
11,1,2,-9.6183,0.473,26.028,0.2237,2,190,2,276.028,23.4397
11,1,2,-7.6492,-0.0953,26.3664,0.0246,14,180,2,276.3664,0.3384
11,1,2,-7.6492,-0.0953,26.3664,0.0106,14,180,2,276.3664,0.0
12,1,2,-9.918,2.2945,25.8867,0.2314,0,223,2,300.8867,24.5203
12,1,1,-6.9592,-4.8302,26.3432,0.2235,18,93,2,301.3432,0.4565
14,1,1,-8.9081,0.9436,25.8489,0.2748,6,198,2,350.8489,49.5057
15,1,2,-7.411,-2.2571,26.0874,0.2317,15,140,2,376.0874,25.2385
16,1,1,-5.6713,0.7688,26.1734,0.3914,26,195,2,401.1734,25.086
16,1,2,-9.8736,-1.2253,26.2178,0.2541,0,159,2,401.2178,0.0444
16,1,2,-6.5053,-9.1965,26.2279,0.092,21,14,2,401.2279,0.0101
17,1,2,-7.857,0.7694,26.5393,0.2713,12,195,2,426.5393,25.3114
20,1,1,-6.9405,-4.5948,26.0033,0.2427,18,98,2,501.0033,74.464
22,1,1,-8.0228,6.1562,25.9689,0.2146,11,293,2,550.9689,49.9656
24,1,1,-9.4828,-3.1297,26.0357,0.2084,3,124,2,601.0357,50.0668
26,1,1,-9.6551,-9.2532,26.1471,0.1963,2,13,2,651.1471,50.1114
27,1,2,-8.8885,-7.9984,26.1804,0.2716,6,36,2,676.1804,25.0333
28,1,2,-9.8071,5.0713,25.9623,0.2246,1,274,2,700.9623,24.7819
29,1,2,-8.4731,-5.5339,26.0496,0.2517,9,81,2,726.0496,25.0873
29,1,2,-8.4781,3.2508,26.0739,0.2157,9,240,2,726.0739,0.0243
29,1,2,-8.7043,-5.6703,26.2272,0.2135,7,78,2,726.2272,0.1533
30,1,2,-9.7361,-9.6943,26.0185,0.2083,1,5,2,751.0185,24.7913
34,1,1,-6.8058,-9.7252,26.2089,0.2649,19,4,2,851.2089,100.1904
36,1,2,-7.932,-1.1464,26.0542,0.2619,12,160,2,901.0542,49.8453
