Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
2,1,1,-5.2426,-5.3882,30.7387,0.758,28,83,2,55.7387,55.7387
2,1,1,-5.9447,4.5951,30.7483,0.6957,24,265,2,55.7483,0.0096
6,1,1,-9.519,3.393,26.0076,0.3126,2,243,2,151.0076,95.2593
6,1,1,-7.8123,-7.8583,29.4405,1.7585,13,38,2,154.4405,3.4329
6,1,1,-7.732,2.3433,29.468,0.5842,13,224,2,154.468,0.0275
6,1,1,-7.732,2.3433,29.468,0.5842,14,224,2,154.468,0.0
6,1,1,-8.2395,-7.3468,30.3939,1.348,10,48,2,155.3939,0.9259
7,1,1,-5.85,5.9933,28.4276,1.8307,25,290,2,178.4276,23.0337
7,1,1,-6.6043,2.7319,30.2618,1.63,20,231,2,180.2618,1.8342
7,1,1,-8.7485,-3.7874,30.595,1.5375,7,112,2,180.595,0.3332
8,1,1,-5.3955,6.5447,26.5434,0.6205,27,300,2,201.5434,20.9484
8,1,1,-8.3579,6.1238,26.7264,1.7561,9,293,2,201.7264,0.183
8,1,1,-7.0566,4.2382,29.6981,0.7232,17,258,2,204.6981,2.9717
9,1,1,-8.2298,2.3124,28.8386,1.6408,10,223,2,228.83859999999999,24.1405
9,1,1,-8.7141,-0.8958,30.9482,1.2529,7,165,2,230.94819999999999,2.1096
10,1,1,-7.9792,-3.9986,28.9058,1.1205,12,109,2,253.9058,22.9576
10,1,1,-9.0757,-7.0694,30.3442,0.6675,5,53,2,255.3442,1.4384
13,1,1,-6.4679,-7.1192,27.5613,0.7649,21,52,2,327.5613,72.2171
13,1,1,-5.7583,6.688,27.873,0.3254,25,303,2,327.873,0.3117
13,1,1,-8.6095,-4.4347,29.7953,0.7574,8,101,2,329.7953,1.9223
13,1,1,-8.8761,-2.1225,30.2013,0.8511,6,143,2,330.2013,0.406
14,1,1,-8.8494,-8.0792,26.7236,0.3091,6,34,2,351.7236,21.5223
16,1,1,-5.9683,-0.1253,28.1495,1.5932,24,179,2,403.1495,51.4259
16,1,1,-8.2544,4.1752,30.5859,0.6232,10,257,2,405.5859,2.4364
17,1,1,-8.7656,-8.0155,26.5583,1.5596,7,36,2,426.5583,20.9724
18,1,1,-9.74,4.1196,27.1651,0.741,1,256,2,452.1651,25.6068
20,1,1,-5.5174,3.5776,26.5086,1.477,27,246,2,501.5086,49.3435
22,1,1,-6.8606,-3.8901,29.4772,1.6172,19,111,2,554.4772,52.9686
23,1,1,-5.6038,7.024,30.9452,1.928,26,309,2,580.9452,26.468
25,1,1,-8.4964,3.9833,26.0281,0.6553,9,254,2,626.0281,45.0829
25,1,1,-9.011,3.0091,26.7366,0.6591,5,236,2,626.7366,0.7085
26,1,1,-8.7242,-1.7519,30.3906,1.074,7,149,2,655.3906,28.654
27,1,1,-8.6967,3.6967,29.2702,1.7622,7,249,2,679.2702,23.8796
28,1,1,-8.7427,-7.5801,26.2728,1.4749,7,43,2,701.2728,22.0026
28,1,1,-8.7427,-7.5801,26.2728,1.4749,7,42,2,701.2728,0.0
30,1,1,-5.432,-1.0406,29.1694,0.1255,27,162,2,754.1694,52.8966
31,1,1,-7.4324,-3.9644,26.4084,0.6536,15,109,2,776.4084,22.239
31,1,1,-7.2336,4.8846,29.439,0.6096,16,270,2,779.439,3.0306
31,1,1,-7.957,-3.4378,29.9559,0.4079,12,119,2,779.9559,0.5169
32,1,1,-5.9761,4.9098,27.0104,0.3892,24,271,2,802.0104,22.0545
32,1,1,-7.9743,0.9983,28.0573,1.6821,12,199,2,803.0573,1.0469
34,1,1,-7.5993,-7.6197,28.4693,1.1042,14,43,2,853.4693,50.412
35,1,1,-5.6235,4.5573,27.6104,1.7946,26,264,2,877.6104,24.1411
35,1,1,-6.4798,-0.836,27.7215,1.4711,21,166,2,877.7215,0.1111
36,1,1,-9.5386,-2.2786,28.9677,1.0414,2,140,2,903.9677,26.2462
36,1,1,-8.1106,-4.0022,30.499,0.4688,11,109,2,905.499,1.5313
37,1,1,-7.9822,-6.484,29.2345,0.8572,12,63,2,929.2345,23.7355
39,1,1,-9.3035,-5.2127,28.6993,0.2429,4,87,2,978.6993,49.4648
40,1,1,-7.1825,4.682,26.6575,0.257,17,266,2,1001.6575,22.9582
41,1,1,-9.0443,-6.1162,27.3565,1.2399,5,70,2,1027.3565,25.699
41,1,1,-9.0401,-7.4026,28.3973,0.805,5,47,2,1028.3973,1.0408
42,1,1,-7.7125,-3.8636,27.4312,0.6559,13,111,2,1052.4312,24.0339
42,1,1,-6.8737,-8.0733,28.0224,1.295,18,35,2,1053.0224,0.5912
42,1,1,-9.8885,-3.0458,28.0349,0.1737,0,126,2,1053.0349,0.0125
44,1,1,-8.8145,0.5668,26.6862,1.6572,7,192,2,1101.6862,48.6513
45,1,1,-9.8881,2.5946,30.1113,1.9497,0,228,2,1130.1113,28.4251
47,1,1,-7.0493,-3.9375,29.8303,1.9008,17,110,2,1179.8303,49.719
49,1,1,-5.4545,-7.3491,29.6267,1.7444,27,48,2,1229.6267,49.7964
51,1,1,-5.9849,-3.075,26.2113,0.3911,24,125,2,1276.2113,46.5846
51,1,1,-7.0899,-9.3045,26.4239,1.5697,17,12,2,1276.4239,0.2126
51,1,1,-7.2684,4.9202,29.4937,0.1283,16,271,2,1279.4937,3.0698
51,1,1,-7.9221,6.4882,29.9398,0.8707,12,299,2,1279.9398,0.4461
53,1,1,-5.5628,6.1968,30.3028,1.3689,26,294,2,1330.3028,50.363
54,1,1,-9.4729,-2.588,28.9344,0.9899,3,134,2,1353.9344,23.6316
55,1,1,-6.3577,2.0492,27.5805,1.78,22,219,2,1377.5805,23.6461
58,1,1,-6.2271,1.0428,27.545,0.1406,22,200,2,1452.545,74.9645
59,1,1,-5.3718,6.7275,27.5991,0.8789,28,304,2,1477.5991,25.0541
59,1,1,-9.414,-9.8786,28.7907,1.0174,3,2,2,1478.7907,1.1916
60,1,1,-7.9729,-4.5031,26.2529,1.8232,12,99,2,1501.2529,22.4622
60,1,1,-7.4781,-4.3759,27.0867,1.4754,15,102,2,1502.0867,0.8338
60,1,1,-7.6873,2.4871,30.2224,1.5065,14,227,2,1505.2224,3.1357
62,1,1,-9.0314,1.2628,29.1436,0.2319,5,204,2,1554.1436,48.9212
63,1,1,-9.354,-1.6385,26.6366,1.7756,3,152,2,1576.6366,22.493
63,1,1,-7.7129,4.338,27.9517,1.2253,13,260,2,1577.9517,1.3151
63,1,1,-7.4857,0.9346,29.1194,1.0573,15,198,2,1579.1194,1.1677
64,1,1,-9.9274,2.4639,30.6086,1.0271,0,226,2,1605.6086,26.4892
65,1,1,-9.7896,-6.2575,26.9209,0.9829,1,68,2,1626.9209,21.3123
65,1,1,-6.1356,-1.8152,28.5265,1.3811,23,148,2,1628.5265,1.6056
65,1,1,-9.6623,-4.8918,30.3024,1.463,2,92,2,1630.3024,1.7759
66,1,1,-6.1239,-4.318,28.4487,1.6024,23,103,2,1653.4487,23.1463
66,1,1,-6.1239,-4.318,28.4487,1.6024,23,104,2,1653.4487,0.0
66,1,1,-9.64,-8.4625,28.6134,1.3196,2,27,2,1653.6134,0.1647
66,1,1,-6.2275,-1.8123,29.1853,0.2819,22,148,2,1654.1853,0.5719
67,1,1,-7.749,-0.8692,30.7049,1.729,13,166,2,1680.7049,26.5196
67,1,1,-5.7454,-7.7157,30.8059,0.116,25,41,2,1680.8059,0.101
68,1,1,-8.2564,-4.8937,27.6376,1.0631,10,92,2,1702.6376,21.8317
68,1,1,-6.5531,-3.2028,27.8122,0.2723,20,123,2,1702.8122,0.1746
68,1,1,-8.5623,6.2585,29.9027,0.7227,8,295,2,1704.9027,2.0905
68,1,1,-9.7669,6.7398,29.9294,0.9801,1,304,2,1704.9294,0.0267
69,1,1,-9.1796,-9.1476,26.1511,0.1781,4,15,2,1726.1511,21.2217
70,1,1,-8.464,-6.7611,28.6111,1.706,9,58,2,1753.6111,27.46
71,1,1,-7.9507,-5.6311,26.9759,1.043,12,79,2,1776.9759,23.3648
71,1,1,-9.0871,-2.434,27.7765,1.4807,5,137,2,1777.7765,0.8006
71,1,1,-7.3727,3.5334,28.363,1.5915,15,246,2,1778.363,0.5865
72,1,1,-7.2497,-4.7607,29.3714,1.6226,16,95,2,1804.3714,26.0084
72,1,1,-6.2966,-0.0112,30.2344,0.568,22,181,2,1805.2344,0.863
74,1,1,-7.6854,3.6268,27.9594,0.8361,14,247,2,1852.9594,47.725
74,1,1,-6.4241,-0.5251,29.3988,1.8664,21,172,2,1854.3988,1.4394
