Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
1,1,1,-7.4956,5.0147,26.3339,1.722,15,272,2,26.3339,26.3339
1,1,1,-6.2144,5.5733,27.8848,0.6269,22,283,2,27.8848,1.5509
1,1,1,-7.6203,5.0173,30.844,1.0666,14,273,2,30.844,2.9592
2,1,1,-7.9171,-6.9775,26.8071,0.735,12,54,2,51.8071,20.9631
2,1,1,-6.3368,-6.6125,29.2876,0.8588,22,61,2,54.2876,2.4805
3,1,1,-9.5904,-5.3163,28.3661,1.044,2,85,2,78.3661,24.0785
3,1,1,-7.8605,7.3155,30.2944,0.6956,12,314,2,80.2944,1.9283
5,1,1,-7.0963,0.2986,27.5107,1.0489,17,187,2,127.5107,47.2163
5,1,1,-9.8563,-0.2705,29.4713,1.671,0,176,2,129.47129999999999,1.9606
5,1,1,-8.2133,7.2478,29.6272,0.4395,10,313,2,129.6272,0.1559
5,1,1,-9.966,-2.9726,29.717,0.2078,0,127,2,129.71699999999998,0.0898
5,1,1,-7.7699,1.9049,29.8183,1.5436,13,216,2,129.8183,0.1013
7,1,1,-8.6761,2.3599,26.8659,0.5241,8,224,2,176.8659,47.0476
8,1,1,-7.1202,-9.1329,26.3114,0.235,17,15,2,201.3114,24.4455
9,1,1,-9.1289,5.4391,26.0668,1.7566,5,280,2,226.0668,24.7554
9,1,1,-6.0746,-7.2464,29.5548,1.3489,23,50,2,229.5548,3.488
10,1,1,-5.4394,-1.4062,26.2464,0.8762,27,156,2,251.2464,21.6916
10,1,1,-7.6544,1.2685,30.0855,0.8894,14,204,2,255.0855,3.8391
10,1,1,-8.9269,-9.3158,30.6982,0.3673,6,12,2,255.69819999999999,0.6127
12,1,1,-6.3716,-3.5676,27.7318,1.9691,21,116,2,302.7318,47.0336
13,1,1,-9.1575,0.3215,26.1093,1.3791,5,187,2,326.1093,23.3775
13,1,1,-5.748,-6.4576,26.3427,1.9775,25,64,2,326.3427,0.2334
13,1,1,-8.9153,-5.1691,29.7856,0.8282,6,87,2,329.7856,3.4429
16,1,1,-7.6375,0.7035,26.4322,1.2242,14,194,2,401.4322,71.6466
17,1,1,-5.6554,-8.0822,30.4858,1.4645,26,34,2,430.4858,29.0536
17,1,1,-9.8284,3.9568,30.6012,0.3668,1,253,2,430.6012,0.1154
18,1,1,-8.4909,-4.4456,26.1313,1.0997,9,100,2,451.1313,20.5301
18,1,1,-9.0605,5.1518,27.7862,0.1038,5,275,2,452.7862,1.6549
19,1,1,-8.4499,0.4933,26.6555,1.5964,9,190,2,476.6555,23.8693
19,1,1,-9.6598,3.0164,27.1143,1.2434,2,236,2,477.1143,0.4588
19,1,1,-6.6273,0.7874,27.2761,1.2105,20,196,2,477.2761,0.1618
19,1,1,-5.4419,-1.299,28.2188,1.117,27,158,2,478.2188,0.9427
19,1,1,-9.9781,1.8995,28.818,1.2404,0,216,2,478.818,0.5992
19,1,1,-8.3174,2.9813,30.7878,0.2274,10,236,2,480.7878,1.9698
21,1,1,-5.8399,6.5399,28.9695,0.1286,25,300,2,528.9695,48.1817
22,1,1,-7.2116,0.6645,28.9969,1.6788,16,193,2,553.9969,25.0274
22,1,1,-5.9173,-5.2142,29.9255,0.3718,24,87,2,554.9255,0.9286
25,1,1,-6.0169,-8.2033,30.8851,0.555,24,32,2,630.8851,75.9596
26,1,1,-8.1189,6.1264,27.7198,0.8068,11,293,2,652.7198,21.8347
26,1,1,-8.8937,-0.282,30.9095,0.3831,6,176,2,655.9095,3.1897
27,1,1,-7.4354,3.1422,30.9933,0.7837,15,238,2,680.9933,25.0838
30,1,1,-8.3715,7.0143,28.5575,0.5196,9,309,2,753.5575,72.5642
31,1,1,-7.7448,4.237,26.1224,0.8025,13,258,2,776.1224,22.5649
32,1,1,-7.796,6.5394,28.3465,1.9512,13,300,2,803.3465,27.2241
33,1,1,-8.1819,-8.8601,27.0764,0.9509,11,20,2,827.0764,23.7299
34,1,1,-6.4529,-7.5144,27.2101,0.991,21,45,2,852.2101,25.1337
34,1,1,-5.6352,-7.7829,29.6703,1.9553,26,40,2,854.6703,2.4602
37,1,1,-8.4273,3.8547,26.2461,0.9106,9,251,2,926.2461,71.5758
37,1,1,-5.5224,7.314,26.5573,1.8051,27,314,2,926.5573,0.3112
37,1,1,-8.9027,6.8024,30.3649,1.6058,6,305,2,930.3649,3.8076
38,1,1,-8.5708,5.2254,28.3481,1.8208,8,276,2,953.3481,22.9832
38,1,1,-5.5063,-3.4622,28.7309,1.6562,27,118,2,953.7309,0.3828
38,1,1,-9.9377,-2.347,28.9058,0.386,0,139,2,953.9058,0.1749
42,1,1,-6.4863,-4.8288,28.4571,1.712,21,94,2,1053.4571,99.5513
43,1,1,-7.4245,-3.2731,27.3566,1.0448,15,122,2,1077.3566,23.8995
44,1,1,-7.6486,-3.8154,29.9701,1.9913,14,112,2,1104.9701,27.6135
44,1,1,-7.6011,-7.7985,30.9453,1.954,14,40,2,1105.9453,0.9752
45,1,1,-6.7638,0.9229,29.5276,0.6999,19,198,2,1129.5276,23.5823
46,1,1,-8.7093,-1.4554,26.5442,0.4384,7,155,2,1151.5442,22.0166
46,1,1,-7.9977,7.141,27.1028,0.9902,12,311,2,1152.1028,0.5586
46,1,1,-8.8889,3.1923,28.541,1.9916,6,239,2,1153.541,1.4382
46,1,1,-8.5666,-1.7113,28.6034,0.4496,8,150,2,1153.6034,0.0624
47,1,1,-5.2911,5.4338,26.4717,1.3839,28,280,2,1176.4717,22.8683
47,1,1,-9.4017,-6.3846,27.3712,1.2799,3,65,2,1177.3712,0.8995
47,1,1,-5.8978,-3.8923,27.6004,0.6571,24,111,2,1177.6004,0.2292
49,1,1,-6.7132,6.0969,27.6662,0.5875,19,292,2,1227.6662,50.0658
49,1,1,-9.9211,-8.1926,30.975,1.8202,0,32,2,1230.975,3.3088
50,1,1,-6.4687,2.2352,26.2083,0.5675,21,222,2,1251.2083,20.2333
51,1,1,-7.0726,7.1731,26.131,0.7603,17,312,2,1276.131,24.9227
53,1,1,-7.6147,6.3493,29.9259,1.7718,14,297,2,1329.9259,53.7949
54,1,1,-5.6777,6.9027,26.186,0.7198,26,307,2,1351.186,21.2601
55,1,1,-5.3918,-7.1821,26.357,0.5427,27,51,2,1376.357,25.171
55,1,1,-9.8255,-8.0428,29.0897,1.9214,1,35,2,1379.0897,2.7327
57,1,1,-6.4368,-7.4252,26.6902,0.9187,21,46,2,1426.6902,47.6005
57,1,1,-6.7335,2.0853,27.0147,0.2185,19,219,2,1427.0147,0.3245
57,1,1,-9.3901,7.565,27.5593,1.1669,3,319,2,1427.5593,0.5446
57,1,1,-7.8639,-2.657,28.8644,0.6249,12,133,2,1428.8644,1.3051
61,1,1,-7.3966,6.6048,26.6435,1.9617,15,301,2,1526.6435,97.7791
61,1,1,-8.3252,-0.6739,29.4352,1.1752,10,169,2,1529.4352,2.7917
63,1,1,-6.4189,-4.6342,28.2913,1.3223,21,97,2,1578.2913,48.8561
64,1,1,-9.4194,-9.7713,26.3241,1.584,3,4,2,1601.3241,23.0328
64,1,1,-6.8089,-8.3714,30.6981,0.9281,19,29,2,1605.6981,4.374
