Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
1,1,1,-7.3031,-7.0861,25.9054,0.2394,16,52,5,25.9054,25.9054
1,1,1,-5.2979,-1.4473,25.9321,0.2298,28,155,5,25.9321,0.0267
5,1,1,-6.7152,-1.555,26.6222,0.6857,19,153,5,126.62219999999999,100.6901
6,1,1,-6.7741,2.8949,25.6508,0.2322,19,234,5,150.6508,24.0286
6,1,1,-8.1025,0.7098,25.8927,0.302,11,194,5,150.8927,0.2419
6,1,1,-5.8874,-9.0457,31.1272,1.2751,24,17,5,156.1272,5.2345
9,1,1,-7.2693,-2.8598,25.986,0.2106,16,129,5,225.986,69.8588
10,1,1,-5.224,2.11,27.5883,0.3394,28,220,5,252.5883,26.6023
12,1,1,-6.9592,-4.8302,26.3432,0.2235,18,93,5,301.3432,48.7549
14,1,1,-8.9081,0.9436,25.8489,0.2748,6,198,5,350.8489,49.5057
16,1,1,-5.6713,0.7688,26.1734,0.3914,26,195,5,401.1734,50.3245
20,1,1,-6.9405,-4.5948,26.0033,0.2427,18,98,5,501.0033,99.8299
22,1,1,-8.0228,6.1562,25.9689,0.2146,11,293,5,550.9689,49.9656
24,1,1,-9.4828,-3.1297,26.0357,0.2084,3,124,5,601.0357,50.0668
26,1,1,-9.6551,-9.2532,26.1471,0.1963,2,13,5,651.1471,50.1114
34,1,1,-6.8058,-9.7252,26.2089,0.2649,19,4,5,851.2089,200.0618
36,1,1,-6.3417,-7.7099,26.1385,0.2255,22,41,5,901.1385,49.9296
38,1,1,-8.248,1.8758,26.0989,0.324,10,215,5,951.0989,49.9604
38,1,1,-7.6075,2.5659,26.2154,0.2468,14,228,5,951.2154,0.1165
39,1,1,-5.4271,-9.5245,26.9144,0.2556,27,8,5,976.9144,25.699
43,1,1,-5.2713,2.3626,25.8575,0.2037,28,224,5,1075.8575,98.9431
43,1,1,-5.5967,-1.0622,26.6199,0.4706,26,162,5,1076.6199,0.7624
44,1,1,-8.891,0.6433,26.1968,0.242,6,193,5,1101.1968,24.5769
46,1,1,-8.1289,1.6834,26.0573,0.2241,11,212,5,1151.0573,49.8605
46,1,1,-6.1144,-4.7077,26.1247,0.2873,23,96,5,1151.1247,0.0674
46,1,1,-6.209,0.7419,26.2316,0.9091,22,195,5,1151.2316,0.1069
53,1,1,-7.0642,-2.159,26.012,0.3537,17,142,5,1326.012,174.7804
53,1,1,-7.5821,-0.824,26.1764,0.2373,14,166,5,1326.1764,0.1644
54,1,1,-6.2909,7.2604,26.1272,0.2498,22,313,5,1351.1272,24.9508
55,1,1,-8.952,-9.413,26.2615,0.0411,6,10,5,1376.2615,25.1343
57,1,1,-5.6387,-2.7733,26.0995,0.2933,26,131,5,1426.0995,49.838
57,1,1,-6.3402,-5.9465,26.1404,0.2724,22,73,5,1426.1404,0.0409
58,1,1,-6.433,4.3528,25.9543,0.2807,21,260,5,1450.9543,24.8139
66,1,1,-9.4582,-7.746,26.2507,0.2212,3,40,5,1651.2507,200.2964
68,1,1,-7.0766,-8.2376,26.4019,0.4523,17,32,5,1701.4019,50.1512
74,1,1,-5.8812,-8.8377,26.0331,0.2226,24,21,5,1851.0331,149.6312
81,1,1,-7.4628,-8.9998,28.5727,0.2497,15,18,5,2028.5727,177.5396
83,1,1,-6.047,-5.2744,26.2088,0.2025,23,85,5,2076.2088,47.6361
86,1,1,-6.5147,-0.1089,26.3247,0.2316,21,179,5,2151.3247,75.1159
88,1,1,-8.6017,-5.7189,26.0715,0.7491,8,77,5,2201.0715,49.7468
88,1,1,-8.7417,-7.5963,26.2522,0.2678,7,43,5,2201.2522,0.1807
90,1,1,-7.448,1.1148,26.0709,0.2748,15,202,5,2251.0709,49.8187
94,1,1,-8.0114,0.5546,25.9859,0.3495,12,191,5,2350.9859,99.915
100,1,1,-7.5664,-2.7898,26.0886,0.243,14,131,5,2501.0886,150.1027
101,1,1,-8.6541,7.0839,26.1515,0.2869,8,310,5,2526.1515,25.0629
103,1,1,-8.0267,-8.0142,26.2621,0.2225,11,36,5,2576.2621,50.1106
105,1,1,-6.8005,-0.0014,25.7951,0.117,19,181,5,2625.7951,49.533
105,1,1,-6.7363,-0.0008,25.7974,0.1072,19,181,5,2625.7974,0.0023
105,1,1,-5.613,0.1541,26.0499,0.2059,26,184,5,2626.0499,0.2525
106,1,1,-7.8626,5.324,26.0378,0.2336,12,278,5,2651.0378,24.9879
107,1,1,-9.8049,3.1362,26.1567,0.2888,1,238,5,2676.1567,25.1189
112,1,1,-7.1251,-6.6989,25.8417,0.2533,17,60,5,2800.8417,124.685
113,1,1,-5.2303,-3.5191,26.0932,0.2145,28,117,5,2826.0932,25.2515
116,1,1,-7.2586,-7.976,26.2201,0.2052,16,36,5,2901.2201,75.1269
117,1,1,-8.7748,-9.7531,25.8065,0.2454,7,4,5,2925.8065,24.5864
117,1,1,-7.6052,3.2466,25.9819,0.223,14,240,5,2925.9819,0.1754
120,1,1,-5.2637,-4.5425,25.8529,0.6861,28,99,5,3000.8529,74.871
123,1,1,-7.0544,1.1878,26.1078,0.2379,17,203,5,3076.1078,75.2549
130,1,1,-9.4052,-3.3538,26.1056,0.2449,3,120,5,3251.1056,174.9978
131,1,1,-7.2562,-9.5831,25.8901,0.2168,16,7,5,3275.8901,24.7845
132,1,1,-5.4234,-5.0628,26.0177,0.2671,27,89,5,3301.0177,25.1276
136,1,1,-9.508,-8.1687,25.8796,0.353,2,33,5,3400.8796,99.8619
140,1,1,-6.6171,7.2138,26.1075,0.0401,20,312,5,3501.1075,100.2279
145,1,1,-9.6918,-4.7647,26.142,0.2414,1,95,5,3626.142,125.0345
149,1,1,-7.8112,0.792,26.0213,0.2362,13,196,5,3726.0213,99.8793
149,1,1,-6.9189,4.7737,26.1225,0.1994,18,268,5,3726.1225,0.1012
150,1,1,-8.1037,-3.1963,26.0593,0.2157,11,123,5,3751.0593,24.9368
150,1,1,-8.117,-3.1949,26.0593,0.2366,11,123,5,3751.0593,0.0
151,1,1,-9.3719,-3.5338,25.9602,0.1913,3,117,5,3775.9602,24.9009
151,1,1,-5.4483,-1.794,26.2567,0.291,27,149,5,3776.2567,0.2965
153,1,1,-7.5124,-1.361,26.1738,0.2343,15,157,5,3826.1738,49.9171
154,1,1,-7.9002,-2.1419,25.9278,0.2221,12,142,5,3850.9278,24.754
154,1,1,-7.8428,7.0946,26.1814,0.9074,13,310,5,3851.1814,0.2536
155,1,1,-7.3341,0.7123,26.3177,0.2702,16,194,5,3876.3177,25.1363
158,1,1,-9.6739,5.092,26.2442,0.2864,1,274,5,3951.2442,74.9265
161,1,1,-9.8406,-6.3779,26.1555,0.2183,0,65,5,4026.1555,74.9113
170,1,1,-7.9667,-7.2848,26.037,0.2245,12,49,5,4251.037,224.8815
173,1,1,-9.6145,-0.2034,26.2941,0.2197,2,178,5,4326.2941,75.2571
175,1,1,-9.7114,4.1206,25.7755,0.2811,1,256,5,4375.7755,49.4814
179,1,1,-9.9572,-4.3594,25.9692,0.2441,0,102,5,4475.9692,100.1937
179,1,1,-7.2272,-2.9291,26.3313,0.2766,16,128,5,4476.3313,0.3621
180,1,1,-9.0468,-1.5623,26.04,0.2096,5,153,5,4501.04,24.7087
183,1,1,-7.3387,3.9083,26.2233,0.2746,16,252,5,4576.2233,75.1833
184,1,1,-6.7593,-5.7091,26.3674,0.1783,19,78,5,4601.3674,25.1441
185,1,1,-7.5932,6.5107,25.8964,0.2542,14,300,5,4625.8964,24.529
186,1,1,-5.6213,7.0871,26.263,3.2754,26,310,5,4651.263,25.3666
190,1,1,-7.9208,-7.8669,26.2463,0.2864,12,38,5,4751.2463,99.9833
193,1,1,-6.172,-6.2387,26.1998,0.221,23,68,5,4826.1998,74.9535
199,1,1,-5.7716,5.3589,26.1767,0.2438,25,279,5,4976.1767,149.9769
201,1,1,-5.7155,6.3319,25.9973,0.2604,25,296,5,5025.9973,49.8206
204,1,1,-7.2116,-3.228,26.0187,0.219,16,123,5,5101.0187,75.0214
204,1,1,-8.535,4.2312,26.071,0.2201,8,258,5,5101.071,0.0523
212,1,1,-8.3263,5.8747,26.535,0.4973,10,288,5,5301.535,200.464
217,1,1,-7.5137,-4.2521,26.0697,0.2076,15,104,5,5426.0697,124.5347
221,1,1,-5.4483,-9.3592,26.0304,0.2025,27,11,5,5526.0304,99.9607
226,1,1,-9.9134,-2.535,26.0281,0.2514,0,135,5,5651.0281,124.9977
227,1,1,-7.3232,-8.4245,25.9085,0.2776,16,28,5,5675.9085,24.8804
235,1,1,-6.9558,-7.1592,26.0849,0.2382,18,51,5,5876.0849,200.1764
241,1,1,-9.1177,-0.1988,26.1878,1.4427,5,178,5,6026.1878,150.1029
243,1,1,-5.3118,-4.2255,26.0476,0.2114,28,104,5,6076.0476,49.8598
243,1,1,-8.0546,6.8334,26.2689,0.2384,11,306,5,6076.2689,0.2213
244,1,1,-9.3946,-8.121,26.4006,0.2422,3,34,5,6101.4006,25.1317
245,1,1,-6.6069,-6.8619,26.6168,0.2629,20,57,5,6126.6168,25.2162
246,1,1,-7.3518,-7.8492,26.5104,0.5294,16,39,5,6151.5104,24.8936
254,1,1,-8.4086,-7.5033,26.2018,0.208,9,45,5,6351.2018,199.6914
257,1,1,-5.328,6.1749,31.1273,1.8285,28,294,5,6431.1273,79.9255
259,1,1,-8.1361,-2.2592,26.0029,0.2666,11,140,5,6476.0029,44.8756
263,1,1,-9.0703,-0.1655,26.0608,0.2325,5,178,5,6576.0608,100.0579
263,1,1,-8.1898,4.289,26.3259,0.2324,10,259,5,6576.3259,0.2651
264,1,1,-9.4716,-5.7818,25.782,0.523,3,76,5,6600.782,24.4561
265,1,1,-8.456,6.3548,26.4214,0.3112,9,297,5,6626.4214,25.6394
266,1,1,-5.8781,2.4426,26.3308,0.2473,24,226,5,6651.3308,24.9094
267,1,1,-8.8996,-1.2681,26.3553,0.2495,6,158,5,6676.3553,25.0245
270,1,1,-5.7415,-8.9598,25.8897,0.2034,25,18,5,6750.8897,74.5344
273,1,1,-5.5313,6.6042,25.978,0.2103,27,301,5,6825.978,75.0883
275,1,1,-6.8797,-4.6684,26.7095,0.2396,18,96,5,6876.7095,50.7315
275,1,1,-9.8685,3.6214,26.8757,0.3185,0,247,5,6876.8757,0.1662
276,1,1,-8.713,-8.4881,31.836,0.2815,7,27,5,6906.836,29.9603
284,1,1,-9.1604,-1.6748,33.1651,0.6651,5,151,5,7108.1651,201.3291
285,1,1,-8.1542,2.5587,26.195,0.4174,11,228,5,7126.195,18.0299
290,1,1,-7.2055,-3.4838,26.2436,0.3787,16,118,5,7251.2436,125.0486
295,1,1,-6.5541,4.2019,26.3163,0.2245,20,258,5,7376.3163,125.0727
296,1,1,-9.7146,-2.8633,26.6344,0.3293,1,129,5,7401.6344,25.3181
305,1,1,-5.9912,-3.4987,26.1777,0.2228,24,118,5,7626.1777,224.5433
306,1,1,-9.4687,6.4521,28.2674,2.7403,3,299,5,7653.2674,27.0897
316,1,1,-8.4075,-8.0315,25.8424,0.2365,9,35,5,7900.8424,247.575
318,1,1,-9.0036,5.9193,26.3876,0.2251,6,289,5,7951.3876,50.5452
318,1,1,-6.4852,-1.4141,26.7002,0.3126,21,156,5,7951.7002,0.3126
319,1,1,-9.6378,-8.0851,26.1711,0.3283,2,34,5,7976.1711,24.4709
323,1,1,-9.747,-8.3668,26.2543,0.0632,1,29,5,8076.2543,100.0832
325,1,1,-7.0036,-4.0402,26.432,4.3451,18,108,5,8126.432,50.1777
326,1,1,-6.4218,7.344,26.0871,0.2137,21,315,5,8151.0871,24.6551
335,1,1,-9.7559,-5.3162,26.0783,0.371,1,85,5,8376.0783,224.9912
337,1,1,-9.7622,-5.9294,25.9643,0.2277,1,74,5,8425.9643,49.886
338,1,1,-8.8004,-0.5555,26.2335,0.2564,7,171,5,8451.2335,25.2692
340,1,1,-7.5571,-6.7156,25.7937,0.238,14,59,5,8500.7937,49.5602
341,1,1,-9.5105,6.1853,26.0822,0.2139,2,294,5,8526.0822,25.2885
342,1,1,-7.3124,-1.4078,26.0148,0.2087,16,156,5,8551.0148,24.9326
346,1,1,-8.2773,-3.7644,26.2613,0.2192,10,113,5,8651.2613,100.2465
347,1,1,-9.1976,1.4263,26.4334,1.1,4,207,5,8676.4334,25.1721
348,1,1,-9.3939,-7.1049,26.0776,0.3176,3,52,5,8701.0776,24.6442
349,1,1,-6.4922,-2.3556,26.1108,0.2246,21,138,5,8726.1108,25.0332
351,1,1,-8.3513,-2.4697,25.8124,0.2073,9,136,5,8775.8124,49.7016
350,1,1,-6.1493,7.5938,73.3703,2.079,23,319,5,8798.3703,22.5579
357,1,1,-5.829,-4.1524,26.1558,0.2098,25,106,5,8926.1558,127.7855
359,1,1,-9.1882,-0.6085,25.9964,0.2744,4,170,5,8975.9964,49.8406
360,1,1,-7.5034,3.99,26.4053,0.0638,15,254,5,9001.4053,25.4089
360,1,1,-7.5034,3.99,26.4053,0.0831,15,254,5,9001.4053,0.0
361,1,1,-9.7577,4.8162,26.2446,0.3533,1,269,5,9026.2446,24.8393
367,1,1,-5.723,-5.6233,26.0626,0.2074,25,79,5,9176.0626,149.818
369,1,1,-5.423,-5.4617,25.7995,0.2235,27,82,5,9225.7995,49.7369
372,1,1,-6.4454,-3.271,26.0659,0.2994,21,122,5,9301.0659,75.2664
382,1,1,-9.0127,-9.6904,25.9088,0.2391,5,5,5,9550.9088,249.8429
385,1,1,-9.3676,-2.7177,26.0091,0.2009,3,132,5,9626.0091,75.1003
387,1,1,-7.2268,2.6613,25.994,0.2903,16,230,5,9675.994,49.9849
387,1,1,-6.061,1.2958,26.2661,0.2618,23,205,5,9676.2661,0.2721
396,1,1,-8.316,-3.3362,25.9611,0.2536,10,121,5,9900.9611,224.695
401,1,1,-7.0227,-2.2439,25.9457,0.2772,18,141,5,10025.9457,124.9846
406,1,1,-9.1615,-9.226,26.2278,0.2442,5,14,5,10151.2278,125.2821
407,1,1,-9.1114,-9.5112,26.1389,0.3259,5,8,5,10176.1389,24.9111
408,1,1,-6.0564,-5.7055,26.041,0.3512,23,78,5,10201.041,24.9021
408,1,1,-6.4116,3.551,26.3309,0.1676,21,246,5,10201.3309,0.2899
411,1,1,-7.9515,-6.0446,26.1426,0.2332,12,71,5,10276.1426,74.8117
415,1,1,-6.2118,2.9378,26.0454,0.247,22,235,5,10376.0454,99.9028
416,1,1,-5.2281,4.6405,26.1419,0.2826,28,266,5,10401.1419,25.0965
421,1,1,-7.8418,-4.8924,26.1143,0.2285,13,92,5,10526.1143,124.9724
422,1,1,-8.6823,-9.8066,26.1101,0.2154,7,3,5,10551.1101,24.9958
423,1,1,-5.418,-3.2333,26.1916,0.2071,27,123,5,10576.1916,25.0815
427,1,1,-6.8496,-0.1997,25.7603,0.3033,19,178,5,10675.7603,99.5687
427,1,1,-5.7198,-8.4779,26.2185,0.2326,25,27,5,10676.2185,0.4582
428,1,1,-6.8996,-4.4201,26.2727,0.2428,18,101,5,10701.2727,25.0542
434,1,1,-7.9093,-5.6744,25.9181,0.278,12,78,5,10850.9181,149.6454
