Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
2,1,1,-8.7118,-9.5879,26.5511,1.3931,7,7,5,51.551100000000005,51.551100000000005
3,1,1,-7.0461,-3.0746,29.9704,0.868,17,125,5,79.9704,28.4193
4,1,1,-6.1716,-5.8088,27.1458,0.332,23,76,5,102.14580000000001,22.1754
7,1,1,-8.4931,-3.3542,27.1858,1.7929,9,120,5,177.1858,75.04
7,1,1,-8.4771,3.8474,28.3733,0.1829,9,251,5,178.3733,1.1875
7,1,1,-9.7914,-4.9689,30.6492,0.1084,1,91,5,180.6492,2.2759
9,1,1,-8.9068,5.2677,27.292,1.695,6,277,5,227.292,46.6428
11,1,1,-9.0049,-7.6761,27.9176,0.318,6,42,5,277.9176,50.6256
13,1,1,-5.4756,-1.8621,28.3423,1.996,27,147,5,328.3423,50.4247
13,1,1,-9.3204,6.0992,28.9077,1.0933,4,292,5,328.9077,0.5654
13,1,1,-6.0852,-9.2374,30.6638,0.562,23,13,5,330.6638,1.7561
16,1,1,-9.0698,-5.8233,30.5734,1.6949,5,75,5,405.5734,74.9096
17,1,1,-8.4275,-4.5164,26.364,1.8962,9,99,5,426.364,20.7906
19,1,1,-8.6254,-6.7547,27.9621,0.1985,8,59,5,477.9621,51.5981
19,1,1,-9.538,5.6969,28.2727,1.8133,2,285,5,478.2727,0.3106
19,1,1,-6.7431,2.4652,28.5549,1.3734,19,226,5,478.5549,0.2822
20,1,1,-7.7892,5.1193,27.9092,0.3494,13,274,5,502.9092,24.3543
21,1,1,-9.1052,-0.2291,29.9284,1.3521,5,177,5,529.9284,27.0192
22,1,1,-8.8539,-8.0169,29.5487,1.3345,6,36,5,554.5487,24.6203
22,1,1,-6.8883,0.3365,29.8398,1.2107,18,187,5,554.8398,0.2911
23,1,1,-6.5411,-1.5278,26.1334,0.8417,20,154,5,576.1334,21.2936
25,1,1,-7.057,3.1931,27.4854,1.2769,17,239,5,627.4854,51.352
25,1,1,-7.1511,5.6775,30.7488,0.5268,17,285,5,630.7488,3.2634
26,1,1,-6.9064,-6.5675,27.0478,1.7714,18,62,5,652.0478,21.299
31,1,1,-7.4052,-1.4509,26.9323,1.0666,15,155,5,776.9323,124.8845
35,1,1,-6.2311,2.4719,29.8503,0.7117,22,226,5,879.8503,102.918
36,1,1,-8.7879,0.5531,29.8109,1.7408,7,191,5,904.8109,24.9606
37,1,1,-5.903,-5.2373,28.4306,1.2559,24,86,5,928.4306,23.6197
37,1,1,-5.4639,-5.9313,30.9641,1.0509,27,73,5,930.9641,2.5335
38,1,1,-6.4141,7.1157,26.9202,1.0167,21,311,5,951.9202,20.9561
38,1,1,-5.7901,3.9998,27.2061,1.0549,25,254,5,952.2061,0.2859
39,1,1,-7.2517,6.3328,28.8518,1.5954,16,296,5,978.8518,26.6457
41,1,1,-8.734,-4.0027,27.0235,0.4006,7,109,5,1027.0235,48.1717
43,1,1,-6.8934,6.3089,26.5322,1.4586,18,296,5,1076.5322,49.5087
44,1,1,-8.6711,-3.6337,28.9407,1.6921,8,115,5,1103.9407,27.4085
44,1,1,-6.8729,6.1218,29.4093,1.9887,18,293,5,1104.4093,0.4686
44,1,1,-6.762,4.85,30.7297,1.4465,19,270,5,1105.7297,1.3204
47,1,1,-5.6647,6.6953,28.0061,1.8944,26,303,5,1178.0061,72.2764
50,1,1,-7.2049,-1.3668,28.7183,1.7325,16,156,5,1253.7183,75.7122
51,1,1,-9.7791,-7.157,30.6651,0.7541,1,51,5,1280.6651,26.9468
54,1,1,-8.8424,-3.3892,30.9999,0.2258,7,120,5,1355.9999,75.3348
55,1,1,-9.6746,-7.2379,28.325,0.3906,1,50,5,1378.325,22.3251
55,1,1,-8.8739,-6.1881,29.8775,0.8162,6,69,5,1379.8775,1.5525
56,1,1,-9.8408,-1.6034,28.4472,0.7334,0,152,5,1403.4472,23.5697
57,1,1,-5.2694,5.9873,26.2773,0.1251,28,290,5,1426.2773,22.8301
58,1,1,-6.2683,0.9126,27.4407,1.1338,22,198,5,1452.4407,26.1634
59,1,1,-6.7991,-6.7763,29.2894,0.8335,19,58,5,1479.2894000000001,26.8487
60,1,1,-6.636,-7.2875,26.3973,1.6666,20,49,5,1501.3973,22.1079
60,1,1,-5.8932,0.1094,27.1523,0.7074,24,183,5,1502.1523,0.755
60,1,1,-9.6392,-5.6831,27.6701,0.7503,2,78,5,1502.6701,0.5178
62,1,1,-5.7159,1.2453,29.0391,1.8068,25,204,5,1554.0391,51.369
65,1,1,-8.7879,5.6863,26.8207,1.7054,7,285,5,1626.8207,72.7816
66,1,1,-5.7186,-5.0592,27.8538,0.4974,25,89,5,1652.8538,26.0331
71,1,1,-6.885,-4.8921,29.8715,1.1992,18,92,5,1779.8715,127.0177
75,1,1,-6.8947,-6.9586,28.1973,1.9067,18,55,5,1878.1973,98.3258
77,1,1,-7.5586,-4.1103,30.3669,0.8607,14,107,5,1930.3669,52.1696
77,1,1,-6.504,-9.0306,30.6363,0.8075,21,17,5,1930.6363,0.2694
80,1,1,-8.1687,0.453,26.9707,0.3097,11,190,5,2001.9707,71.3344
81,1,1,-6.8338,4.837,27.4543,1.8874,19,269,5,2027.4543,25.4836
81,1,1,-7.4658,-6.9839,28.7293,1.7035,15,54,5,2028.7293,1.275
83,1,1,-9.6014,1.4444,26.7573,1.8007,2,208,5,2076.7573,48.028
83,1,1,-7.4574,-6.7392,27.4574,1.4499,15,59,5,2077.4574,0.7001
84,1,1,-8.839,3.0163,30.2062,0.4495,7,236,5,2105.2062,27.7488
85,1,1,-9.5008,1.5967,27.231,0.2616,3,210,5,2127.231,22.0248
85,1,1,-9.4193,-4.6589,29.6987,0.5942,3,97,5,2129.6987,2.4677
86,1,1,-9.0479,6.582,28.2736,1.5033,5,301,5,2153.2736,23.5749
87,1,1,-9.2915,-5.3562,30.8952,0.8037,4,84,5,2180.8952,27.6216
