#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,16,52,2000,41,121,7539
3,28,155,2000,41,121,7589
4,11,194,2000,46,126,7789
5,16,129,1925,49,126,7838
6,19,153,2000,45,125,7867
7,24,17,2000,46,126,7916
8,28,220,1875,50,125,7966
9,6,198,1675,54,121,8166
10,18,93,1775,52,123,8216
11,19,234,2000,46,126,8266
12,26,195,1575,56,119,8316
13,2,13,1075,66,109,8515
14,3,124,1175,64,111,8565
15,11,293,1275,62,113,8615
16,18,98,1375,60,115,8665
17,19,4,675,74,101,8715
18,6,193,175,84,91,8915
19,10,215,475,78,97,8965
20,11,212,75,86,89,9015
21,14,228,475,78,97,9065
22,22,41,575,76,99,9115
23,23,96,75,86,89,9164
24,26,162,225,83,92,9214
25,27,8,425,79,96,9264
26,28,224,225,83,92,9314
27,6,10,-375,95,80,9514
28,14,166,-275,93,82,9564
29,17,142,-275,93,82,9614
30,21,260,-525,98,77,9664
31,22,73,-475,97,78,9714
32,26,131,-475,97,78,9763
33,3,40,-925,106,69,9941
34,7,43,2000,128,47,9991
35,8,77,2000,128,47,10041
36,15,18,-1675,121,54,10091
37,17,32,-1025,108,67,10141
38,21,179,-1925,126,49,10191
39,22,195,75,86,89,10241
40,23,85,-1775,123,52,10291
41,24,21,-1325,114,61,10341
42,8,310,2000,141,34,10540
43,11,36,2000,143,32,10590
44,12,191,2000,134,41,10640
45,14,131,2000,140,35,10690
46,15,202,2000,130,45,10740
47,19,181,2000,145,30,10790
48,22,313,-325,94,81,10840
49,26,184,2000,145,30,10890
50,1,238,2000,147,28,11089
51,3,120,2000,170,5,11139
52,7,4,2000,157,18,11189
53,12,278,2000,146,29,11239
54,14,240,2000,157,18,11289
55,16,36,2000,156,19,11339
56,17,60,2000,152,23,11389
57,28,99,2000,160,15,11439
58,1,95,1525,185,9,11639
59,2,33,1975,176,0,11689
60,3,117,1225,191,15,11738
61,11,123,1275,190,14,11767
62,13,196,1325,189,13,11816
63,16,7,2000,171,4,11866
64,17,203,2000,163,12,11916
65,18,268,1325,189,13,11966
66,20,312,1775,180,4,12016
67,27,89,2000,172,3,12066
68,28,117,2000,153,22,12116
69,0,65,725,201,25,12316
70,1,274,875,198,22,12366
71,2,178,125,213,37,12415
72,12,49,275,210,34,12465
73,13,310,1075,194,18,12515
74,15,157,1125,193,17,12565
75,16,194,1025,195,19,12615
76,27,149,1225,191,15,12665
77,0,102,-175,219,43,12865
78,1,256,25,215,39,12915
79,5,153,-225,220,44,12965
80,12,38,-725,230,54,13015
81,14,300,-475,225,49,13064
82,16,128,-175,219,43,13114
83,19,78,-425,224,48,13164
84,23,68,-875,233,57,13214
85,25,279,-1175,239,63,13264
86,26,310,-525,226,50,13314
87,8,258,-1425,244,68,13514
88,10,288,-1825,252,76,13564
89,12,142,1075,194,18,13614
90,15,104,2000,257,81,13663
91,16,123,-1425,244,68,13692
92,25,296,-1275,241,65,13741
93,27,11,2000,261,85,13791
94,0,135,2000,266,90,13991
95,3,34,2000,284,108,14041
96,5,178,2000,281,105,14091
97,11,306,2000,283,107,14141
98,16,28,2000,267,91,14191
99,18,51,2000,275,99,14241
100,20,57,2000,285,109,14291
101,28,104,2000,283,107,14341
102,3,76,1975,304,127,14540
103,6,158,1825,307,124,14590
104,9,45,2000,294,118,14640
105,10,259,2000,303,127,14690
106,11,140,2000,299,123,14740
107,16,39,2000,286,110,14790
108,24,226,1875,306,125,14840
109,28,294,2000,297,121,14890
110,0,247,1425,315,116,15089
111,5,151,975,324,107,15139
112,7,27,1375,316,115,15189
113,9,297,1925,305,126,15239
114,11,228,925,325,106,15289
115,16,118,675,330,101,15339
116,18,96,1425,315,116,15389
117,25,18,1675,310,121,15439
118,27,301,1525,313,118,15489
119,1,129,375,336,95,15667
120,3,299,-125,346,85,15716
121,16,252,-375,223,47,15766
122,20,258,425,335,96,15816
123,24,118,-75,345,86,15866
124,1,29,-975,363,68,16066
125,2,34,-775,359,72,16116
126,6,289,-725,358,73,16166
127,9,35,-625,356,75,16216
128,18,108,-1075,365,66,16266
129,21,156,-725,358,73,16315
130,1,74,-1675,377,54,16515
131,2,294,-1875,381,50,16565
132,3,52,2000,388,43,16615
133,4,207,2000,387,44,16665
134,7,171,-1725,378,53,16715
135,9,136,2000,391,40,16765
136,10,113,2000,386,45,16815
137,14,59,-1825,380,51,16865
138,16,156,-1925,382,49,16915
139,21,138,2000,389,42,16964
140,1,85,-1575,375,56,17164
141,4,170,2000,399,32,17214
142,15,254,2000,400,31,17264
143,21,315,-1125,366,65,17314
144,23,319,2000,391,40,17364
145,25,79,2000,407,24,17414
146,27,82,2000,409,22,17464
147,1,269,2000,401,30,17641
148,3,132,2000,425,6,17691
149,5,5,2000,422,9,17741
150,16,230,2000,427,4,17791
151,21,122,2000,412,19,17841
152,23,205,2000,427,4,17891
153,25,106,2000,397,34,17941
154,5,8,1225,447,15,18141
155,10,121,1775,436,4,18191
156,12,71,1025,451,19,18241
157,18,141,1525,441,9,18290
158,21,246,575,448,40,18340
159,23,78,1175,448,16,18390
160,5,14,1275,446,14,18590
161,7,3,475,462,30,18640
162,12,78,-125,474,42,18690
163,13,92,525,461,29,18740
164,18,101,175,468,36,18790
165,19,178,225,467,35,18840
166,22,235,825,455,23,18889
167,25,27,225,467,35,18939
168,27,123,425,463,31,18989
169,28,266,775,456,24,19039
170,7,228,-875,489,57,19239
171,12,222,-575,483,51,19289
172,26,139,-275,477,45,19339
173,1,93,2000,513,81,19538
174,2,212,-1975,511,79,19567
175,3,26,2000,512,80,19616
176,10,27,-1925,510,78,19666
177,15,159,2000,514,82,19716
178,16,105,-1125,494,62,19766
179,19,153,2000,514,82,19816
180,20,240,-1675,505,73,19866
181,21,278,2000,516,84,19916
182,23,41,-1625,504,72,19966
183,26,138,2000,514,82,20016
184,28,52,-1275,497,65,20066
185,0,75,2000,528,96,20265
186,1,56,2000,520,88,20315
187,3,60,-1975,511,79,20365
188,5,29,2000,525,93,20415
189,15,211,2000,516,84,20465
190,23,160,2000,514,82,20515
191,28,246,-1675,505,73,20565
192,0,280,2000,519,87,20765
193,3,64,2000,520,88,20815
194,4,306,2000,559,127,20864
195,6,275,2000,548,116,20914
196,9,238,2000,555,123,20964
197,10,200,2000,546,114,21014
198,11,189,2000,549,117,21064
199,14,2,2000,541,109,21114
200,15,277,2000,553,121,21164
201,20,296,2000,537,105,21214
202,22,63,2000,556,124,21264
203,27,149,2000,555,123,21314
204,28,170,2000,556,124,21364
205,0,5,1275,574,113,21541
