#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4391
2,16,52,2000,41,121,7358
3,28,155,2000,41,121,7370
4,11,194,2000,46,126,7458
5,19,153,2000,45,125,7470
6,24,17,2000,46,126,7483
7,19,234,2000,46,126,7533
8,16,129,1925,49,126,7583
9,28,220,1875,50,125,7595
10,18,93,1775,52,123,7645
11,6,198,1675,54,121,7695
12,26,195,1575,56,119,7745
13,18,98,1375,60,115,7832
14,11,293,1275,62,113,7879
15,3,124,1175,64,111,7929
16,4,124,1175,64,111,7941
17,2,13,1075,66,109,7991
18,19,4,675,74,101,8154
19,22,41,575,76,99,8241
20,10,215,475,78,97,8291
21,14,228,475,78,97,8303
22,27,8,425,79,96,8316
23,6,193,175,84,91,8403
24,26,162,225,83,92,8416
25,28,224,225,83,92,8428
26,11,212,75,86,89,8515
27,22,195,75,86,89,8528
28,23,96,75,86,89,8540
29,14,166,-275,93,82,8628
30,17,142,-275,93,82,8640
31,22,313,-325,94,81,8690
32,6,10,-375,95,80,8740
33,22,73,-475,97,78,8753
34,26,131,-475,97,78,8765
35,21,260,-525,98,77,8815
36,3,40,-925,106,69,8977
37,17,32,-1025,108,67,9027
38,24,21,-1325,114,61,9152
39,15,18,-1675,121,54,9352
40,23,85,-1775,123,52,9402
41,21,179,-1925,126,49,9489
42,7,43,2000,128,47,9539
43,8,77,2000,128,47,9551
44,15,202,2000,130,45,9601
45,12,191,2000,134,41,9689
46,14,131,2000,140,35,9810
47,8,310,2000,141,34,9860
48,11,36,2000,143,32,9910
49,12,278,2000,146,29,9960
50,19,181,2000,145,30,9973
51,26,184,2000,145,30,9985
52,1,238,2000,147,28,10035
53,17,60,2000,152,23,10122
54,28,117,2000,153,22,10135
55,7,4,2000,157,18,10222
56,14,240,2000,157,18,10235
57,16,36,2000,156,19,10247
58,28,99,2000,160,15,10334
59,17,203,2000,163,12,10384
60,3,120,2000,170,5,10547
61,16,7,2000,171,4,10597
62,27,89,2000,172,3,10646
63,2,33,1975,176,0,10734
64,20,312,1775,180,4,10821
65,1,95,1525,185,9,10946
66,13,196,1325,189,13,11033
67,18,268,1325,189,13,11046
68,3,117,1225,191,15,11096
69,11,122,1275,190,14,11108
70,11,123,1275,190,14,11158
71,15,157,1125,193,17,11171
72,27,149,1225,191,15,11183
73,12,142,1075,194,18,11233
74,13,310,1075,194,18,11245
75,16,194,1025,195,19,11258
76,1,274,875,198,22,11308
77,0,65,725,201,25,11358
78,12,49,275,210,34,11557
79,2,178,125,213,37,11645
80,1,256,25,215,39,11695
81,0,102,-175,219,43,11779
82,16,128,-175,219,43,11791
83,5,153,-225,220,44,11841
84,16,252,-375,223,47,11891
85,14,300,-475,225,49,11941
86,19,77,-425,224,48,11954
87,19,78,-425,224,48,12004
88,26,310,-525,226,50,12016
89,12,38,-725,230,54,12103
90,23,68,-875,233,57,12153
91,25,279,-1175,239,63,12278
92,25,280,-1175,239,63,12328
93,25,296,-1275,241,65,12378
94,8,258,-1425,244,68,12428
95,16,123,-1425,244,68,12440
96,10,287,-1825,252,76,12603
97,10,288,-1825,252,76,12653
98,15,104,2000,257,81,12740
99,27,11,2000,261,85,12827
100,0,134,2000,266,90,12952
101,0,135,2000,266,90,13002
102,16,28,2000,267,91,13015
103,18,51,2000,275,99,13177
104,5,178,2000,281,105,13339
105,11,306,2000,283,107,13389
106,28,104,2000,283,107,13401
107,3,34,2000,284,108,13451
108,20,57,2000,285,109,13464
109,16,39,2000,286,110,13514
110,9,45,2000,294,118,13676
111,28,294,2000,297,121,13760
112,11,140,2000,299,123,13810
113,3,76,1975,304,127,13897
114,10,259,2000,303,127,13910
115,9,297,1925,305,126,13960
116,6,158,1825,307,124,14010
117,24,226,1875,306,125,14022
118,25,18,1675,310,121,14072
119,27,301,1525,313,118,14160
120,0,247,1425,315,116,14209
121,18,96,1425,315,116,14222
122,7,27,1375,316,115,14272
123,5,151,975,324,107,14434
124,11,228,925,325,106,14447
125,16,118,675,330,101,14571
126,20,258,425,335,96,14696
127,1,129,375,336,95,14746
128,24,118,-75,345,86,14946
129,3,299,-125,346,85,14996
130,9,35,-625,356,75,15233
131,6,289,-725,358,73,15283
132,21,156,-725,358,73,15295
133,2,34,-775,359,72,15345
134,1,29,-975,363,68,15395
135,18,108,-1075,365,66,15445
136,21,315,-1125,366,65,15495
137,1,85,-1575,375,56,15691
138,1,74,-1675,377,54,15741
139,7,171,-1725,378,53,15791
140,2,294,-1875,381,50,15841
141,14,59,-1825,380,51,15854
142,16,156,-1925,382,49,15904
143,4,207,2000,387,44,15991
144,10,113,2000,386,45,16003
145,3,52,2000,388,43,16053
146,21,138,2000,389,42,16066
147,9,136,2000,391,40,16116
148,23,319,2000,391,40,16166
149,25,106,2000,397,34,16253
150,4,170,2000,399,32,16303
151,1,269,2000,401,30,16353
152,15,254,2000,400,31,16365
153,25,79,2000,407,24,16490
154,27,82,2000,409,22,16540
155,21,122,2000,412,19,16627
156,5,5,2000,422,9,16865
157,3,132,2000,425,6,16952
158,16,230,2000,427,4,17002
159,17,230,2000,427,4,17014
160,23,205,2000,427,4,17027
161,10,121,1775,436,4,17227
162,18,141,1525,441,9,17351
163,5,8,1225,447,15,17476
164,5,14,1275,446,14,17526
165,21,246,1175,448,16,17539
166,23,78,1175,448,16,17551
167,12,71,1025,451,19,17635
168,22,235,825,455,23,17685
169,28,266,775,456,24,17735
170,13,92,525,461,29,17822
171,7,3,475,462,30,17872
172,27,123,425,463,31,17922
173,18,101,175,468,36,18010
174,19,178,225,467,35,18022
175,25,27,225,467,35,18035
176,12,78,-125,474,42,18159
177,26,139,-275,477,45,18247
178,12,222,-575,483,51,18372
179,7,228,-875,489,57,18534
180,16,105,-1125,494,62,18659
181,28,52,-1275,497,65,18746
182,23,41,-1625,504,72,18908
183,20,240,-1675,505,73,18958
184,28,246,-1675,505,73,18971
185,10,27,-1925,510,78,19058
186,2,212,-1975,511,79,19108
187,3,59,-1975,511,79,19120
188,1,93,2000,513,81,19170
189,3,26,2000,512,80,19183
190,3,60,-1975,511,79,19233
191,15,159,2000,514,82,19245
192,19,153,2000,514,82,19258
193,21,278,2000,516,84,19270
194,23,160,2000,514,82,19283
195,26,138,2000,514,82,19295
196,15,211,2000,516,84,19345
197,0,280,2000,519,87,19395
198,1,56,2000,520,88,19407
199,3,64,2000,520,88,19420
200,5,29,2000,525,93,19470
201,6,29,2000,525,93,19482
202,0,75,2000,528,96,19532
203,20,296,2000,537,105,19729
204,14,312,2000,538,106,19779
205,15,312,2000,538,106,19791
206,21,246,2000,539,107,19841
207,14,2,2000,541,109,19891
208,22,297,2000,543,111,19903
209,14,77,2000,543,111,19953
210,10,200,2000,546,114,20003
211,6,275,2000,548,116,20053
212,11,189,2000,549,117,20066
213,6,297,2000,554,122,20153
214,15,277,2000,553,121,20166
215,9,238,2000,555,123,20215
216,27,149,2000,555,123,20228
217,22,63,2000,556,124,20278
218,28,170,2000,556,124,20290
219,4,306,2000,559,127,20340
220,1,296,1825,563,124,20390
221,16,60,1825,563,124,20403
222,1,297,1825,563,124,20453
223,24,76,1725,565,122,20465
224,8,59,1525,569,118,20552
225,11,285,1475,570,117,20565
226,0,5,1275,574,113,20652
227,15,124,1375,572,115,20665
228,28,313,1375,572,115,20677
229,11,3,1175,576,111,20765
230,26,238,1125,577,110,20777
231,28,5,1075,578,109,20790
232,2,200,-75,601,86,21326
233,23,151,-75,601,86,21339
234,1,271,-375,607,80,21498
235,4,290,-425,608,79,21510
236,7,216,-375,607,80,21523
237,16,54,-375,607,80,21535
238,11,288,-675,613,74,21623
239,14,186,-575,611,76,21635
240,2,260,-775,615,72,21722
241,3,101,-875,617,70,21735
242,10,180,-775,615,72,21747
243,1,214,-925,618,69,21797
244,10,181,-775,615,72,21810
245,7,106,-1225,624,63,21897
246,23,314,-1125,622,65,21910
247,1,182,-1275,625,62,21960
248,1,239,-1275,625,62,22009
249,0,163,-1525,630,57,22059
250,11,127,-1525,630,57,22072
251,13,307,-1475,629,58,22084
252,26,40,-1475,629,58,22097
253,6,136,-1575,631,56,22147
254,21,191,-1725,634,53,22197
255,3,90,-1975,639,48,22284
256,15,110,-1975,639,48,22297
257,4,284,2000,641,46,22384
258,8,60,2000,646,41,22471
259,0,210,2000,647,40,22521
260,1,48,2000,651,36,22609
261,9,140,2000,652,35,22621
262,19,0,2000,655,32,22708
263,22,39,2000,656,31,22721
264,23,39,2000,656,31,22733
265,9,248,2000,657,30,22783
266,14,31,2000,657,30,22796
267,2,123,2000,659,28,22846
268,28,59,2000,660,27,22858
269,22,108,2000,668,19,23020
270,10,300,2000,669,18,23070
271,21,94,2000,670,17,23083
272,5,227,2000,671,16,23133
273,17,156,2000,674,13,23183
274,4,200,2000,676,11,23233
275,12,58,2000,682,5,23357
276,19,205,2000,685,2,23442
277,26,202,2000,685,2,23454
278,15,40,1925,689,1,23541
279,9,287,1725,693,5,23629
280,18,298,1375,700,12,23828
281,22,232,1275,702,14,23878
282,17,208,975,708,20,24003
283,12,194,875,710,22,24091
284,26,139,875,710,22,24103
285,13,253,475,718,30,24265
286,13,171,425,719,31,24315
287,15,173,425,719,31,24328
288,13,309,425,719,31,24378
289,15,174,425,719,31,24390
290,5,102,175,724,36,24440
291,13,286,225,723,35,24452
292,28,56,225,723,35,24465
293,22,199,125,725,37,24515
294,0,261,-25,728,40,24565
295,10,290,-225,732,44,24615
296,12,230,-275,733,45,24665
297,21,269,-325,734,46,24677
298,22,161,-275,733,45,24690
299,20,253,-375,735,47,24739
300,20,254,-375,735,47,24789
301,12,246,-725,742,54,24877
302,6,274,-825,744,56,24927
303,16,103,-825,744,56,24939
304,17,103,-825,744,56,24952
305,18,104,-825,744,56,24964
306,2,176,-875,745,57,25014
307,4,10,-875,745,57,25027
308,17,90,-875,745,57,25039
309,4,136,-1125,750,62,25089
310,17,253,-925,746,58,25101
311,7,148,-1225,752,64,25151
312,17,254,-925,746,58,25164
313,9,231,-1375,755,67,25214
314,2,261,-1625,760,72,25301
315,17,15,-1625,760,72,25314
316,3,155,-1675,761,73,25363
317,25,133,-1675,761,73,25376
318,12,208,-1775,763,75,25423
319,0,132,-1875,765,77,25473
320,22,79,2000,769,81,25560
321,11,219,2000,773,85,25647
322,19,177,2000,773,85,25660
323,1,83,2000,783,95,25897
324,7,175,2000,783,95,25909
325,18,241,2000,789,101,26034
326,25,218,2000,792,104,26122
327,3,76,2000,794,106,26172
328,28,135,2000,793,105,26184
329,11,63,2000,798,110,26271
330,20,228,2000,797,109,26284
331,28,236,2000,802,114,26371
332,24,84,2000,804,116,26421
333,27,142,2000,803,115,26434
334,27,143,2000,803,115,26484
335,17,87,2000,807,119,26533
336,18,87,2000,807,119,26546
337,11,281,2000,813,125,26633
338,14,310,1975,816,127,26721
339,9,120,1925,817,126,26771
340,13,1,1925,817,126,26783
341,19,98,1925,817,126,26796
342,23,150,1925,817,126,26808
343,9,224,1925,817,126,26858
344,8,72,1675,822,121,26908
345,14,292,1675,822,121,26920
346,22,154,1675,822,121,26933
347,27,132,1425,827,116,27020
348,2,43,1325,829,114,27070
349,3,68,1175,832,111,27120
350,19,257,1025,835,108,27207
351,27,241,1025,835,108,27220
352,1,34,625,843,100,27379
353,19,31,475,846,97,27466
354,14,20,375,848,95,27516
355,23,261,375,848,95,27529
356,14,21,375,848,95,27579
357,25,149,-25,856,87,27703
358,28,281,-175,859,84,27791
359,26,110,-375,863,80,27878
360,27,110,-375,863,80,27891
361,20,309,-425,864,79,27941
362,21,113,-425,864,79,27953
363,24,235,-525,866,77,28003
364,24,266,-675,869,74,28053
365,2,195,-825,872,71,28140
366,11,4,-925,874,69,28190
367,16,16,-925,874,69,28203
368,14,273,-1125,878,65,28290
369,23,47,-1425,884,59,28415
370,13,273,-1525,886,57,28465
371,22,273,-1475,885,58,28477
372,6,96,-1725,890,53,28565
373,17,203,-1675,889,54,28577
374,1,72,-1775,891,52,28627
375,8,32,-1775,891,52,28639
376,27,209,-1975,895,48,28727
377,18,82,2000,899,44,28814
378,5,300,2000,902,41,28864
379,6,177,2000,903,40,28914
380,26,76,2000,904,39,28927
381,24,217,2000,908,35,29014
382,18,179,2000,912,31,29101
383,10,109,2000,913,30,29151
384,11,198,2000,913,30,29164
385,0,240,2000,916,27,29251
386,4,202,2000,921,22,29335
387,15,292,2000,920,23,29348
388,12,146,2000,925,18,29435
389,13,99,2000,925,18,29448
390,15,151,2000,925,18,29460
391,12,147,2000,925,18,29510
392,12,298,2000,926,17,29560
393,0,69,2000,932,11,29610
394,16,101,2000,932,11,29622
395,2,309,2000,934,9,29672
396,4,66,2000,934,9,29685
397,2,233,2000,938,5,29772
398,7,163,2000,943,0,29897
399,16,192,1925,945,1,29947
400,17,192,1925,945,1,29959
401,20,158,1825,947,3,30009
402,22,106,1875,946,2,30022
403,3,170,1525,953,9,30146
404,13,171,1375,956,12,30234
405,4,99,1175,960,16,30321
406,6,102,1175,960,16,30334
407,24,37,1175,960,16,30346
408,15,156,1125,961,17,30396
409,22,47,1125,961,17,30409
410,20,296,925,965,21,30458
411,3,210,775,968,24,30546
412,10,316,675,970,26,30596
413,24,274,575,972,28,30646
414,11,3,425,975,31,30696
415,20,223,325,977,33,30745
416,6,86,225,979,35,30795
417,7,130,275,978,34,30808
418,0,244,175,980,36,30858
419,24,44,125,981,37,30870
420,6,122,75,982,38,30920
421,24,111,175,980,36,30933
422,12,65,-25,984,40,30983
423,14,174,-125,986,42,30995
424,10,230,-275,989,45,31082
425,11,243,-325,990,46,31095
426,12,139,-275,989,45,31107
427,14,222,-425,992,48,31157
428,2,96,-525,994,50,31207
