#,Col,Row,ToT,TS,Amp,RO_Time
0,16,52,2,0,0,5276
0,28,155,2,0,0,5276
0,21,117,2,0,0,5351
0,19,153,2,0,0,5377
0,19,234,2,0,0,5401
0,11,194,2,0,0,5401
0,23,303,2,0,0,5401
0,24,17,2,0,0,5406
0,16,220,2,0,0,5426
0,16,129,2,0,0,5476
0,28,220,2,0,0,5503
0,2,190,2,0,0,5526
0,14,180,2,0,0,5526
0,14,180,2,0,0,5526
0,0,223,2,0,0,5551
0,18,93,2,0,0,5551
0,6,198,2,0,0,5601
0,15,140,2,0,0,5626
0,26,195,2,0,0,5651
0,0,159,2,0,0,5651
0,21,14,2,0,0,5651
0,12,195,2,0,0,5677
0,18,98,2,0,0,5751
0,11,293,2,0,0,5801
0,3,124,2,0,0,5851
0,2,13,2,0,0,5901
0,6,36,2,0,0,5926
0,1,274,2,0,0,5951
0,9,81,2,0,0,5976
0,9,240,2,0,0,5976
0,7,78,2,0,0,5976
0,1,5,2,0,0,6001
0,19,4,2,0,0,6101
0,12,160,2,0,0,6151
0,22,41,2,0,0,6151
0,10,215,2,0,0,6201
0,14,228,2,0,0,6201
0,27,8,2,0,0,6227
0,19,119,2,0,0,6251
0,13,1,2,0,0,6251
0,7,38,2,0,0,6301
0,28,224,2,0,0,6326
0,26,162,2,0,0,6327
0,6,193,2,0,0,6351
0,0,206,2,0,0,6351
0,11,212,2,0,0,6401
0,23,96,2,0,0,6401
0,22,195,2,0,0,6401
0,23,155,2,0,0,6426
0,28,257,2,0,0,6426
0,15,249,2,0,0,6451
0,7,255,2,0,0,6501
0,27,43,2,0,0,6576
0,27,43,2,0,0,6576
0,17,142,2,0,0,6576
0,14,166,2,0,0,6576
0,22,313,2,0,0,6601
0,6,10,2,0,0,6626
0,1,6,2,0,0,6676
0,26,131,2,0,0,6676
0,22,73,2,0,0,6676
0,21,260,2,0,0,6701
0,21,202,2,0,0,6702
0,28,17,2,0,0,6703
0,25,95,2,0,0,6726
0,9,38,2,0,0,6801
0,16,64,2,0,0,6826
0,16,64,2,0,0,6826
0,3,40,2,0,0,6901
0,28,264,2,0,0,6901
0,17,32,2,0,0,6951
0,10,78,2,0,0,6976
0,1,169,2,0,0,6976
0,19,145,2,0,0,7001
0,9,254,2,0,0,7076
0,24,21,2,0,0,7101
0,4,68,2,0,0,7251
0,26,294,2,0,0,7251
0,9,173,2,0,0,7276
0,22,104,2,0,0,7276
0,5,172,2,0,0,7276
0,15,18,2,0,0,7279
0,17,282,2,0,0,7281
0,23,85,2,0,0,7326
0,15,34,2,0,0,7401
0,21,179,2,0,0,7401
0,8,77,2,0,0,7451
0,7,43,2,0,0,7451
0,15,202,2,0,0,7501
0,27,295,2,0,0,7551
0,12,191,2,0,0,7601
0,3,60,2,0,0,7601
0,14,131,2,0,0,7751
0,14,308,2,0,0,7751
0,3,44,2,0,0,7776
0,8,310,2,0,0,7776
0,2,230,2,0,0,7801
0,16,94,2,0,0,7826
0,11,36,2,0,0,7826
0,19,181,2,0,0,7876
0,19,181,2,0,0,7876
0,26,184,2,0,0,7876
0,12,278,2,0,0,7901
0,1,238,2,0,0,7926
0,20,41,2,0,0,8026
0,17,60,2,0,0,8051
0,13,161,2,0,0,8076
0,28,260,2,0,0,8076
0,28,117,2,0,0,8076
0,5,229,2,0,0,8101
0,16,36,2,0,0,8151
0,19,164,2,0,0,8151
0,7,4,2,0,0,8176
0,14,240,2,0,0,8176
0,18,274,2,0,0,8226
0,28,99,2,0,0,8251
0,17,127,2,0,0,8276
0,13,199,2,0,0,8301
0,9,305,2,0,0,8301
0,17,203,2,0,0,8326
0,4,116,2,0,0,8401
0,27,8,2,0,0,8401
0,11,115,2,0,0,8426
0,3,120,2,0,0,8501
0,16,7,2,0,0,8526
0,1,227,2,0,0,8526
0,27,89,2,0,0,8551
0,2,232,2,0,0,8601
0,13,160,2,0,0,8601
0,2,33,2,0,0,8651
0,20,312,2,0,0,8751
0,8,139,2,0,0,8826
0,1,95,2,0,0,8876
0,22,194,2,0,0,8901
0,25,190,2,0,0,8901
0,11,102,2,0,0,8901
0,13,196,2,0,0,8976
0,18,268,2,0,0,8976
0,11,123,2,0,0,9001
0,11,123,2,0,0,9001
0,3,117,2,0,0,9026
0,27,149,2,0,0,9026
0,15,157,2,0,0,9076
0,12,142,2,0,0,9101
0,13,310,2,0,0,9101
0,9,58,2,0,0,9101
0,14,116,2,0,0,9126
0,16,194,2,0,0,9126
0,11,311,2,0,0,9176
0,21,223,2,0,0,9201
0,1,274,2,0,0,9201
0,0,65,2,0,0,9276
0,24,314,2,0,0,9376
0,27,39,2,0,0,9501
0,12,49,2,0,0,9501
0,2,178,2,0,0,9576
0,1,256,2,0,0,9626
0,24,102,2,0,0,9651
0,0,102,2,0,0,9726
0,16,128,2,0,0,9726
0,3,90,2,0,0,9751
0,5,153,2,0,0,9751
0,9,60,2,0,0,9751
0,17,199,2,0,0,9751
0,22,271,2,0,0,9776
0,15,58,2,0,0,9801
0,25,15,2,0,0,9826
0,16,252,2,0,0,9826
0,19,78,2,0,0,9851
0,15,171,2,0,0,9876
0,14,300,2,0,0,9876
0,17,222,2,0,0,9876
0,26,310,2,0,0,9901
0,18,98,2,0,0,9951
0,27,88,2,0,0,9976
0,25,212,2,0,0,9977
0,12,38,2,0,0,10001
0,0,130,2,0,0,10052
0,23,68,2,0,0,10076
0,21,128,2,0,0,10151
0,25,279,2,0,0,10226
0,25,296,2,0,0,10276
0,9,74,2,0,0,10276
