#,Col,Row,ToT,TS,Amp,RO_Time
0,27,313,2,0,0,5426
0,19,212,2,0,0,5477
0,15,124,2,0,0,5579
0,22,112,2,0,0,5601
0,16,267,2,0,0,5603
0,1,206,2,0,0,5604
0,1,74,2,0,0,5630
0,23,76,2,0,0,5753
0,6,309,2,0,0,5802
0,23,44,2,0,0,5803
0,9,303,2,0,0,5805
0,8,303,2,0,0,5805
0,22,73,2,0,0,5805
0,14,18,2,0,0,5828
0,18,219,2,0,0,5904
0,13,175,2,0,0,5927
0,8,40,2,0,0,5955
0,18,264,2,0,0,5977
0,20,7,2,0,0,6005
0,15,8,2,0,0,6079
0,20,24,2,0,0,6105
0,12,55,2,0,0,6129
0,9,301,2,0,0,6131
0,19,193,2,0,0,6201
0,24,41,2,0,0,6227
0,5,145,2,0,0,6230
0,3,249,2,0,0,6254
0,3,256,2,0,0,6255
0,0,239,2,0,0,6276
0,0,240,2,0,0,6276
0,6,98,2,0,0,6354
0,23,29,2,0,0,6428
0,1,2,2,0,0,6529
0,18,250,2,0,0,6603
0,27,142,2,0,0,6603
0,1,150,2,0,0,6678
0,16,57,2,0,0,6679
0,12,230,2,0,0,6730
0,4,226,2,0,0,6730
0,12,260,2,0,0,6730
0,3,250,2,0,0,6780
0,19,151,2,0,0,6802
0,20,80,2,0,0,6878
0,3,311,2,0,0,6902
0,17,276,2,0,0,6905
0,2,105,2,0,0,6906
0,20,6,2,0,0,6953
0,0,161,2,0,0,6954
0,9,40,2,0,0,7003
0,16,74,2,0,0,7055
0,17,268,2,0,0,7055
0,20,91,2,0,0,7126
0,26,135,2,0,0,7156
0,12,107,2,0,0,7229
0,3,31,2,0,0,7330
0,5,47,2,0,0,7353
0,16,275,2,0,0,7377
0,22,159,2,0,0,7380
0,21,63,2,0,0,7404
0,28,300,2,0,0,7476
0,15,149,2,0,0,7502
0,15,148,2,0,0,7502
0,11,46,2,0,0,7580
0,22,237,2,0,0,7581
0,15,129,2,0,0,7655
0,2,35,2,0,0,7676
0,2,164,2,0,0,7704
0,11,313,2,0,0,7802
0,17,30,2,0,0,7803
0,3,208,2,0,0,7830
0,27,106,2,0,0,7852
0,10,2,2,0,0,7878
0,26,137,2,0,0,7901
0,13,287,2,0,0,7904
0,24,158,2,0,0,7955
0,22,15,2,0,0,7978
0,22,24,2,0,0,7979
0,27,120,2,0,0,7981
0,14,32,2,0,0,8076
0,2,18,2,0,0,8103
0,24,318,2,0,0,8181
0,24,82,2,0,0,8229
0,5,133,2,0,0,8253
0,10,130,2,0,0,8328
0,28,25,2,0,0,8530
0,28,53,2,0,0,8601
0,2,55,2,0,0,8604
0,14,11,2,0,0,8654
0,14,65,2,0,0,8655
0,26,196,2,0,0,8754
0,10,287,2,0,0,8827
0,13,281,2,0,0,8831
0,4,47,2,0,0,8852
0,1,273,2,0,0,8854
0,11,83,2,0,0,8876
0,21,103,2,0,0,8880
0,19,242,2,0,0,8903
0,11,29,2,0,0,8929
0,13,312,2,0,0,8931
0,2,58,2,0,0,9005
0,3,144,2,0,0,9028
0,20,252,2,0,0,9054
0,15,89,2,0,0,9056
0,23,256,2,0,0,9078
0,9,285,2,0,0,9154
0,14,182,2,0,0,9156
0,14,181,2,0,0,9156
0,18,4,2,0,0,9178
0,14,298,2,0,0,9202
0,2,288,2,0,0,9202
0,7,227,2,0,0,9227
0,22,183,2,0,0,9255
0,10,120,2,0,0,9277
0,17,242,2,0,0,9279
0,5,117,2,0,0,9280
0,19,191,2,0,0,9355
0,7,38,2,0,0,9406
0,2,87,2,0,0,9478
0,27,162,2,0,0,9502
0,10,39,2,0,0,9502
0,7,69,2,0,0,9504
0,8,7,2,0,0,9551
0,10,28,2,0,0,9554
0,11,69,2,0,0,9605
0,28,107,2,0,0,9651
0,19,71,2,0,0,9752
0,0,155,2,0,0,9753
0,17,185,2,0,0,9777
0,5,25,2,0,0,9801
0,18,278,2,0,0,9830
0,6,299,2,0,0,9852
0,26,289,2,0,0,9877
0,4,89,2,0,0,9879
0,15,315,2,0,0,10001
0,8,296,2,0,0,10004
0,18,0,2,0,0,10077
0,0,305,2,0,0,10104
0,7,78,2,0,0,10104
0,22,291,2,0,0,10104
0,16,299,2,0,0,10180
0,22,2,2,0,0,10231
0,21,89,2,0,0,10252
0,4,80,2,0,0,10252
0,5,262,2,0,0,10253
0,3,208,2,0,0,10281
0,20,161,2,0,0,10303
0,10,156,2,0,0,10351
0,6,194,2,0,0,10354
0,5,262,2,0,0,10405
0,13,203,2,0,0,10506
0,14,85,2,0,0,10528
0,28,92,2,0,0,10531
0,20,103,2,0,0,10580
0,5,1,2,0,0,10627
0,18,95,2,0,0,10630
0,22,31,2,0,0,10680
0,5,292,2,0,0,10803
0,21,62,2,0,0,10827
0,15,284,2,0,0,10953
0,5,271,2,0,0,10956
0,4,75,2,0,0,10980
0,0,70,2,0,0,11004
0,7,138,2,0,0,11053
0,20,283,2,0,0,11152
0,5,242,2,0,0,11177
0,1,122,2,0,0,11202
0,28,91,2,0,0,11206
0,19,227,2,0,0,11227
0,4,172,2,0,0,11279
0,8,298,2,0,0,11305
0,7,298,2,0,0,11305
0,16,201,2,0,0,11329
0,12,264,2,0,0,11354
0,27,319,2,0,0,11401
0,10,26,2,0,0,11427
0,3,99,2,0,0,11427
0,2,24,2,0,0,11430
0,10,165,2,0,0,11452
0,17,145,2,0,0,11454
0,18,145,2,0,0,11454
0,0,45,2,0,0,11481
0,11,16,2,0,0,11506
0,0,139,2,0,0,11529
0,9,181,2,0,0,11576
0,1,231,2,0,0,11578
0,2,231,2,0,0,11578
0,12,152,2,0,0,11580
0,10,101,2,0,0,11602
0,22,164,2,0,0,11604
0,13,1,2,0,0,11703
0,17,239,2,0,0,11729
0,13,270,2,0,0,11730
0,4,77,2,0,0,11851
0,26,319,2,0,0,11877
0,28,205,2,0,0,11881
0,17,284,2,0,0,11955
0,1,141,2,0,0,11976
0,23,240,2,0,0,12003
0,21,278,2,0,0,12051
0,28,77,2,0,0,12103
0,16,215,2,0,0,12128
0,8,247,2,0,0,12130
0,11,63,2,0,0,12180
0,0,75,2,0,0,12180
0,0,76,2,0,0,12180
0,7,84,2,0,0,12201
0,2,211,2,0,0,12227
0,27,247,2,0,0,12278
0,9,51,2,0,0,12329
0,3,235,2,0,0,12429
0,24,151,2,0,0,12480
0,20,128,2,0,0,12480
0,6,72,2,0,0,12502
0,20,252,2,0,0,12530
0,0,64,2,0,0,12555
0,14,111,2,0,0,12577
0,11,237,2,0,0,12577
0,14,116,2,0,0,12580
0,23,303,2,0,0,12603
0,18,201,2,0,0,12630
0,15,257,2,0,0,12631
0,22,1,2,0,0,12656
0,24,167,2,0,0,12677
0,24,108,2,0,0,12726
0,27,76,2,0,0,12727
0,18,75,2,0,0,12803
0,0,107,2,0,0,12876
0,12,250,2,0,0,12880
0,27,172,2,0,0,12904
0,26,82,2,0,0,12927
0,12,102,2,0,0,12979
0,19,99,2,0,0,13004
0,9,264,2,0,0,13052
0,1,137,2,0,0,13081
0,24,244,2,0,0,13126
0,5,119,2,0,0,13179
0,2,11,2,0,0,13253
0,13,96,2,0,0,13277
0,3,216,2,0,0,13402
0,14,199,2,0,0,13453
0,27,42,2,0,0,13478
0,1,227,2,0,0,13553
0,18,149,2,0,0,13554
0,19,108,2,0,0,13603
0,6,72,2,0,0,13603
0,14,129,2,0,0,13652
0,26,314,2,0,0,13729
0,19,157,2,0,0,13752
0,19,158,2,0,0,13752
0,24,295,2,0,0,13803
0,8,7,2,0,0,13829
0,11,5,2,0,0,13830
0,13,286,2,0,0,13855
0,24,23,2,0,0,13879
0,24,192,2,0,0,13903
0,4,82,2,0,0,13904
0,7,222,2,0,0,14027
0,6,222,2,0,0,14027
0,17,22,2,0,0,14030
0,15,76,2,0,0,14031
0,22,169,2,0,0,14077
0,26,53,2,0,0,14104
0,6,233,2,0,0,14128
0,7,150,2,0,0,14154
0,6,10,2,0,0,14279
0,12,104,2,0,0,14302
0,10,39,2,0,0,14303
0,16,114,2,0,0,14327
0,2,104,2,0,0,14328
0,20,256,2,0,0,14356
0,11,14,2,0,0,14380
0,12,124,2,0,0,14402
0,28,286,2,0,0,14478
0,21,98,2,0,0,14504
0,2,107,2,0,0,14554
0,1,37,2,0,0,14656
0,4,212,2,0,0,14679
0,22,189,2,0,0,14680
0,8,248,2,0,0,14681
0,4,125,2,0,0,14703
0,8,235,2,0,0,14729
0,0,193,2,0,0,14755
0,26,21,2,0,0,14826
0,24,291,2,0,0,14878
0,20,174,2,0,0,14904
0,2,225,2,0,0,14927
0,25,202,2,0,0,14952
0,14,273,2,0,0,14956
0,10,273,2,0,0,14977
0,0,200,2,0,0,15029
0,12,126,2,0,0,15076
0,2,76,2,0,0,15079
0,3,292,2,0,0,15081
0,15,79,2,0,0,15104
0,18,252,2,0,0,15155
0,18,251,2,0,0,15155
0,5,309,2,0,0,15156
0,4,97,2,0,0,15178
0,13,8,2,0,0,15179
0,4,292,2,0,0,15201
0,14,270,2,0,0,15201
