#,Col,Row,ToT,TS,Amp,RO_Time
0,15,272,2,0,0,5276
0,22,283,2,0,0,5278
0,14,273,2,0,0,5281
0,12,54,2,0,0,5302
0,22,61,2,0,0,5304
0,2,85,2,0,0,5328
0,12,314,2,0,0,5330
0,17,187,2,0,0,5378
0,0,176,2,0,0,5379
0,10,313,2,0,0,5380
0,0,127,2,0,0,5380
0,13,216,2,0,0,5380
0,8,224,2,0,0,5427
0,17,15,2,0,0,5451
0,5,280,2,0,0,5476
0,23,50,2,0,0,5480
0,27,156,2,0,0,5501
0,14,204,2,0,0,5505
0,6,12,2,0,0,5506
0,21,116,2,0,0,5553
0,5,187,2,0,0,5576
0,25,64,2,0,0,5576
0,6,87,2,0,0,5580
0,14,194,2,0,0,5651
0,26,34,2,0,0,5681
0,1,253,2,0,0,5681
0,9,100,2,0,0,5701
0,5,275,2,0,0,5703
0,9,190,2,0,0,5727
0,2,236,2,0,0,5727
0,20,196,2,0,0,5727
0,27,158,2,0,0,5728
0,0,216,2,0,0,5729
0,10,236,2,0,0,5731
0,25,300,2,0,0,5779
0,16,193,2,0,0,5804
0,24,87,2,0,0,5805
0,24,32,2,0,0,5881
0,11,293,2,0,0,5903
0,6,176,2,0,0,5906
0,15,238,2,0,0,5931
0,9,309,2,0,0,6004
0,13,258,2,0,0,6026
0,13,300,2,0,0,6053
0,11,20,2,0,0,6077
0,21,45,2,0,0,6102
0,26,40,2,0,0,6105
0,9,251,2,0,0,6176
0,27,314,2,0,0,6177
0,6,305,2,0,0,6180
0,8,276,2,0,0,6203
0,27,118,2,0,0,6204
0,0,139,2,0,0,6204
0,21,94,2,0,0,6303
0,15,122,2,0,0,6327
0,14,112,2,0,0,6355
0,14,40,2,0,0,6356
0,19,198,2,0,0,6380
0,7,155,2,0,0,6402
0,12,311,2,0,0,6402
0,6,239,2,0,0,6404
0,8,150,2,0,0,6404
0,28,280,2,0,0,6426
0,3,65,2,0,0,6427
0,24,111,2,0,0,6428
0,19,292,2,0,0,6478
0,0,32,2,0,0,6481
0,21,222,2,0,0,6501
0,17,312,2,0,0,6526
0,14,297,2,0,0,6580
0,26,307,2,0,0,6601
0,27,51,2,0,0,6626
0,1,35,2,0,0,6629
0,21,46,2,0,0,6677
0,19,219,2,0,0,6677
0,3,319,2,0,0,6678
0,12,133,2,0,0,6679
0,15,301,2,0,0,6777
0,10,169,2,0,0,6779
0,21,97,2,0,0,6828
0,3,4,2,0,0,6851
0,19,29,2,0,0,6856
0,21,125,2,0,0,6878
0,2,228,2,0,0,6902
0,25,201,2,0,0,6905
0,28,100,2,0,0,6951
0,20,81,2,0,0,6978
0,15,249,2,0,0,6981
0,6,20,2,0,0,7001
0,0,74,2,0,0,7053
0,11,196,2,0,0,7054
0,2,167,2,0,0,7077
0,9,21,2,0,0,7079
0,18,217,2,0,0,7104
0,1,257,2,0,0,7130
0,15,146,2,0,0,7130
0,19,203,2,0,0,7177
0,9,24,2,0,0,7179
0,10,126,2,0,0,7203
0,25,184,2,0,0,7251
0,17,307,2,0,0,7251
0,2,255,2,0,0,7252
0,11,150,2,0,0,7252
0,25,109,2,0,0,7277
0,1,0,2,0,0,7277
0,2,54,2,0,0,7277
0,0,32,2,0,0,7279
0,11,274,2,0,0,7303
0,22,238,2,0,0,7305
0,16,17,2,0,0,7329
0,9,274,2,0,0,7377
0,0,117,2,0,0,7378
0,20,223,2,0,0,7404
0,28,255,2,0,0,7426
0,11,170,2,0,0,7429
0,15,114,2,0,0,7429
0,0,298,2,0,0,7430
0,25,38,2,0,0,7452
0,2,240,2,0,0,7453
0,21,271,2,0,0,7480
0,15,297,2,0,0,7502
0,16,31,2,0,0,7527
0,10,66,2,0,0,7554
0,3,149,2,0,0,7555
0,9,26,2,0,0,7576
0,0,164,2,0,0,7578
0,19,43,2,0,0,7579
0,7,66,2,0,0,7581
0,23,285,2,0,0,7605
0,5,283,2,0,0,7627
0,10,84,2,0,0,7628
0,24,88,2,0,0,7629
0,25,87,2,0,0,7631
0,26,255,2,0,0,7656
0,4,120,2,0,0,7677
0,8,108,2,0,0,7704
0,16,51,2,0,0,7726
0,10,102,2,0,0,7727
0,16,269,2,0,0,7730
0,4,17,2,0,0,7751
0,3,213,2,0,0,7752
0,27,104,2,0,0,7753
0,6,308,2,0,0,7777
0,8,36,2,0,0,7781
0,17,86,2,0,0,7801
0,22,318,2,0,0,7802
0,4,203,2,0,0,7803
0,20,99,2,0,0,7804
0,13,146,2,0,0,7805
0,15,22,2,0,0,7831
0,5,183,2,0,0,7876
0,27,216,2,0,0,7880
0,0,291,2,0,0,7926
0,25,247,2,0,0,7951
0,8,240,2,0,0,7953
0,9,37,2,0,0,7954
0,23,165,2,0,0,7980
0,10,175,2,0,0,8003
0,7,63,2,0,0,8005
0,23,28,2,0,0,8028
0,25,165,2,0,0,8052
0,13,186,2,0,0,8054
0,20,124,2,0,0,8055
0,20,269,2,0,0,8080
0,19,2,2,0,0,8103
0,11,263,2,0,0,8106
0,10,21,2,0,0,8106
0,5,263,2,0,0,8126
0,22,81,2,0,0,8154
0,28,281,2,0,0,8177
0,14,32,2,0,0,8177
0,5,280,2,0,0,8178
0,16,41,2,0,0,8202
0,14,26,2,0,0,8229
0,12,297,2,0,0,8251
0,20,215,2,0,0,8254
0,21,72,2,0,0,8279
0,2,84,2,0,0,8352
0,26,217,2,0,0,8353
0,12,221,2,0,0,8356
0,8,285,2,0,0,8377
0,11,310,2,0,0,8379
0,8,252,2,0,0,8403
0,5,305,2,0,0,8427
0,12,309,2,0,0,8428
0,7,55,2,0,0,8453
0,10,134,2,0,0,8455
0,26,139,2,0,0,8455
0,20,121,2,0,0,8501
0,21,296,2,0,0,8526
0,14,51,2,0,0,8527
0,26,278,2,0,0,8530
0,1,118,2,0,0,8553
0,8,99,2,0,0,8577
0,21,221,2,0,0,8579
0,6,113,2,0,0,8629
0,18,230,2,0,0,8653
0,15,11,2,0,0,8654
0,24,297,2,0,0,8656
0,19,280,2,0,0,8676
0,2,25,2,0,0,8680
0,0,298,2,0,0,8703
0,6,314,2,0,0,8703
0,26,296,2,0,0,8704
0,11,193,2,0,0,8705
0,18,166,2,0,0,8727
0,12,56,2,0,0,8751
0,4,48,2,0,0,8780
0,4,102,2,0,0,8780
0,26,306,2,0,0,8851
0,1,77,2,0,0,8852
0,23,41,2,0,0,8901
0,12,151,2,0,0,8902
0,13,307,2,0,0,8905
0,4,179,2,0,0,8928
0,8,286,2,0,0,8930
0,14,124,2,0,0,9001
0,12,171,2,0,0,9002
0,16,8,2,0,0,9003
0,16,78,2,0,0,9026
0,13,24,2,0,0,9030
0,13,141,2,0,0,9054
0,10,288,2,0,0,9055
0,4,244,2,0,0,9077
0,2,309,2,0,0,9079
0,6,258,2,0,0,9103
0,24,207,2,0,0,9103
0,21,47,2,0,0,9131
0,15,179,2,0,0,9153
0,12,20,2,0,0,9177
0,28,242,2,0,0,9180
0,12,179,2,0,0,9226
0,28,267,2,0,0,9227
0,21,17,2,0,0,9231
0,5,122,2,0,0,9251
0,25,165,2,0,0,9251
0,28,312,2,0,0,9279
0,11,77,2,0,0,9281
0,3,161,2,0,0,9355
0,19,93,2,0,0,9378
0,16,305,2,0,0,9378
0,13,223,2,0,0,9404
0,26,231,2,0,0,9430
0,13,231,2,0,0,9505
0,21,144,2,0,0,9527
0,25,92,2,0,0,9527
0,16,11,2,0,0,9528
0,5,91,2,0,0,9579
0,7,117,2,0,0,9603
0,11,73,2,0,0,9604
0,17,273,2,0,0,9604
0,11,288,2,0,0,9605
0,15,167,2,0,0,9627
0,8,45,2,0,0,9628
0,14,22,2,0,0,9628
0,18,197,2,0,0,9631
0,11,80,2,0,0,9653
0,1,124,2,0,0,9678
0,6,40,2,0,0,9679
0,15,155,2,0,0,9679
0,7,26,2,0,0,9681
0,10,198,2,0,0,9705
0,27,93,2,0,0,9751
0,28,114,2,0,0,9777
0,13,207,2,0,0,9778
0,23,96,2,0,0,9781
0,25,215,2,0,0,9830
0,27,297,2,0,0,9852
0,15,9,2,0,0,9927
0,20,50,2,0,0,9955
0,26,140,2,0,0,9956
0,27,70,2,0,0,9980
0,11,190,2,0,0,9981
0,20,121,2,0,0,10005
0,6,88,2,0,0,10052
0,20,183,2,0,0,10052
0,2,282,2,0,0,10054
0,1,242,2,0,0,10054
0,22,191,2,0,0,10056
0,2,42,2,0,0,10080
0,10,303,2,0,0,10126
0,23,282,2,0,0,10128
0,24,268,2,0,0,10151
0,1,195,2,0,0,10155
0,26,20,2,0,0,10155
0,0,98,2,0,0,10176
0,16,164,2,0,0,10206
0,11,85,2,0,0,10226
0,23,243,2,0,0,10228
0,2,221,2,0,0,10228
0,28,170,2,0,0,10231
0,6,224,2,0,0,10251
0,23,274,2,0,0,10252
0,6,72,2,0,0,10253
0,5,46,2,0,0,10254
0,3,187,2,0,0,10254
0,14,19,2,0,0,10255
0,9,148,2,0,0,10256
0,16,60,2,0,0,10277
0,1,75,2,0,0,10277
0,26,280,2,0,0,10278
0,12,149,2,0,0,10301
