#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,19,212,1925,49,126,7689
3,27,313,2000,47,127,7739
4,1,74,1625,55,120,7916
5,15,124,1725,53,122,7966
6,16,267,1675,54,121,8016
7,22,112,1675,54,121,8066
8,1,206,1675,54,121,8266
9,6,309,1275,62,113,8316
10,8,303,1275,62,113,8366
11,9,303,1275,62,113,8416
12,14,18,1225,63,112,8466
13,22,73,1275,62,113,8515
14,23,44,1275,62,113,8565
15,5,145,425,79,96,8765
16,8,40,975,68,107,8815
17,9,301,625,75,100,8865
18,12,55,625,75,100,8915
19,13,175,1025,67,108,8965
20,15,8,725,73,102,9015
21,18,219,1075,66,109,9065
22,19,193,475,78,97,9115
23,20,7,875,70,105,9164
24,23,76,1375,60,115,9214
25,24,41,425,79,96,9264
26,0,239,325,81,94,9464
27,1,2,-175,91,84,9514
28,3,249,375,80,95,9564
29,4,226,-575,99,76,9614
30,6,98,175,84,91,9664
31,12,230,-575,99,76,9714
32,16,57,-475,97,78,9763
33,18,250,-325,94,81,9792
34,20,24,675,74,101,9841
35,23,29,25,87,88,9891
36,27,142,-325,94,81,9941
37,0,161,-1025,108,67,10141
38,1,150,-475,97,78,10191
39,2,105,-925,106,69,10241
40,3,31,-1775,123,52,10291
41,5,47,-1825,124,51,10341
42,9,40,-1125,110,65,10391
43,12,107,-1575,119,56,10441
44,16,74,-1225,112,63,10490
45,17,268,-1225,112,63,10540
46,18,264,925,69,106,10590
47,19,151,-725,102,73,10640
48,20,6,-1025,108,67,10690
49,21,63,-1925,126,49,10740
50,22,159,-1875,125,50,10790
51,26,135,-1425,116,59,10840
52,0,240,325,81,94,11040
53,2,18,2000,154,21,11089
54,3,208,2500,143,12,11139
55,10,2,2000,145,30,11189
56,11,46,2000,133,42,11239
57,12,260,-575,99,76,11289
58,13,287,2000,146,29,11339
59,14,32,2000,153,22,11389
60,15,129,2000,136,39,11439
61,16,275,-1875,125,50,11489
62,17,30,2000,142,33,11539
63,20,80,-875,105,70,11589
64,22,15,2000,149,26,11639
65,24,158,2000,148,27,11689
66,26,137,2000,146,29,11738
67,27,106,2000,144,31,11767
68,28,300,2000,129,46,11816
69,1,273,1575,184,8,12016
70,2,35,2000,137,38,12066
71,3,250,-675,101,74,12116
72,4,47,1575,184,8,12166
73,5,133,2000,160,15,12216
74,10,130,2000,163,12,12266
75,11,29,1425,187,11,12316
76,13,281,1625,183,7,12366
77,14,11,1975,176,0,12415
78,15,148,2000,130,45,12465
79,17,276,-925,106,69,12515
80,19,242,1475,186,10,12565
81,20,91,-1375,115,60,12615
82,21,103,1525,185,9,12665
83,22,24,2000,149,26,12715
84,24,82,2000,159,16,12765
85,26,196,1775,180,4,12815
86,27,120,2000,149,26,12865
87,28,25,2000,171,4,12915
88,0,155,-225,220,44,13114
89,2,55,2000,174,1,13164
90,3,144,1225,191,15,13214
91,4,89,-475,225,49,13264
92,5,25,-325,222,46,13314
93,6,299,-425,224,48,13364
94,7,38,475,206,30,13414
95,8,7,175,212,36,13464
96,9,285,975,196,20,13514
97,10,28,175,212,36,13564
98,11,69,75,214,38,13614
99,13,312,1425,187,11,13663
100,14,65,1975,176,0,13692
101,15,89,1175,192,16,13741
102,17,185,-275,221,45,13791
103,18,4,925,197,21,13841
104,19,71,-225,220,44,13891
105,20,252,-800,192,95,13941
106,22,183,775,200,24,13991
107,23,256,1125,193,17,14041
108,24,318,2000,157,18,14091
109,26,289,-475,225,49,14141
110,27,162,275,210,34,14191
111,28,53,2000,174,1,14241
112,0,70,2000,270,94,14440
113,2,58,1275,190,14,14490
114,3,256,375,80,95,14540
115,4,75,2000,269,93,14590
116,5,1,-1975,255,79,14640
117,6,194,-1425,244,68,14690
118,7,69,275,210,34,14740
119,8,296,-725,230,54,14790
120,10,39,-1550,210,107,14840
121,11,83,1525,185,9,14890
122,13,203,-1725,250,74,14940
123,14,85,-1775,251,75,14989
124,15,149,2000,130,45,15039
125,16,299,-1075,237,61,15089
126,17,242,725,201,25,15139
127,18,0,-875,233,57,15189
128,19,191,575,204,28,15239
129,20,103,-1875,253,77,15289
130,21,62,2000,263,87,15339
131,22,2,-1175,239,63,15389
132,28,92,-1775,251,75,15439
133,0,45,2000,289,113,15638
134,1,122,2000,278,102,15667
135,2,24,2000,287,111,15716
136,3,99,2000,287,111,15766
137,4,77,1975,304,127,15816
138,5,117,725,201,25,15866
139,7,78,-925,234,58,15916
140,8,247,1425,315,116,15966
141,9,51,1025,323,108,16016
142,10,26,2000,287,111,16066
143,11,16,2000,290,114,16116
144,12,152,2000,293,117,16166
145,13,1,2000,298,122,16216
146,14,181,975,196,20,16266
147,15,284,2000,268,92,16315
148,16,201,2000,283,107,16365
149,17,145,2000,288,112,16415
150,18,95,-1975,255,79,16465
151,19,227,2000,279,103,16515
152,20,161,-1325,242,66,16565
153,21,89,-1225,240,64,16615
154,22,31,2000,257,81,16665
155,23,240,1675,310,121,16715
156,26,319,1925,305,126,16765
157,27,247,1125,321,110,16815
158,28,77,1475,314,117,16865
159,0,64,575,332,99,17064
160,1,137,-475,353,78,17114
161,2,11,-825,360,71,17164
162,3,216,-1125,366,65,17214
163,4,80,-1225,240,64,17264
164,5,119,-675,357,74,17314
165,6,72,675,330,101,17364
166,7,84,1275,318,113,17414
167,8,298,2000,282,106,17464
168,9,181,2000,293,117,17514
169,10,101,2000,294,118,17563
170,11,63,1325,317,114,17592
171,12,102,-275,349,82,17641
172,13,96,-875,361,70,17691
173,14,111,525,333,98,17741
174,15,257,425,335,96,17791
175,16,215,1425,315,116,17841
176,17,239,2000,299,123,17891
177,18,75,75,342,89,17941
178,19,99,-325,350,81,17991
179,20,128,725,329,102,18041
180,21,278,1575,312,119,18091
181,22,1,375,336,95,18141
182,23,303,475,334,97,18191
183,24,108,225,339,92,18241
184,26,82,-175,347,84,18290
185,27,42,-1275,369,62,18340
186,28,91,2000,278,102,18390
187,0,75,1325,317,114,18590
188,1,37,2000,416,15,18640
189,2,87,325,209,33,18690
190,3,235,825,327,104,18740
191,4,82,2000,386,45,18790
192,5,242,2000,277,101,18840
193,6,10,2000,401,30,18889
194,7,138,2000,272,96,18939
195,8,7,-1975,383,48,18989
196,9,264,-425,352,79,19039
197,10,120,725,201,25,19089
198,11,5,-1975,383,48,19139
199,12,104,2000,402,29,19189
200,13,270,2000,299,123,19239
201,14,116,525,333,98,19289
202,15,76,2000,391,40,19339
203,16,114,2000,403,28,19389
204,17,22,2000,391,40,19439
205,18,145,2000,288,112,19489
206,19,108,-1525,374,57,19538
207,20,174,2000,426,5,19567
208,21,98,2000,410,21,19616
209,22,164,2000,294,118,19666
210,24,23,2000,385,46,19716
211,25,202,2000,428,3,19766
212,26,21,2000,423,8,19816
213,27,76,225,339,92,19866
214,28,107,-25,216,40,19916
215,0,30,-675,485,53,20116
216,1,41,1275,446,14,20166
217,2,76,1925,433,1,20215
218,3,8,-925,490,58,20265
219,4,26,-875,489,57,20315
220,5,3,-575,483,51,20365
221,6,222,2000,391,40,20415
222,7,15,125,469,37,20465
223,8,102,275,466,34,20515
224,9,291,1175,448,16,20565
225,10,156,-1425,244,68,20615
226,11,14,2000,405,26,20665
227,12,124,2000,406,25,20715
228,13,8,1725,437,5,20765
229,14,129,-1625,376,55,20815
230,15,79,1875,434,2,20864
231,16,122,925,453,21,20914
232,17,263,1625,439,7,20964
233,18,149,-1425,372,59,21014
234,19,137,-625,484,52,21064
235,20,256,2000,404,27,21114
236,21,174,975,452,20,21164
237,22,9,-775,487,55,21214
238,23,10,875,454,22,21264
239,24,151,725,329,102,21314
240,26,53,2000,394,37,21364
241,27,129,475,462,30,21414
242,28,205,1925,305,126,21463
243,0,23,2000,550,118,21641
244,1,79,-525,482,50,21691
245,2,18,-1175,495,63,21741
246,3,109,2000,515,83,21791
247,4,74,2000,534,102,21841
248,5,29,1425,443,11,21891
249,6,149,2000,516,84,21941
250,7,33,725,457,25,21991
251,8,235,2000,419,12,22041
252,9,8,2000,528,96,22091
253,10,44,2000,536,104,22141
254,11,44,2000,513,81,22190
255,12,71,2000,514,82,22240
256,13,23,-675,485,53,22290
257,14,182,975,196,20,22340
258,15,31,-1425,500,68,22390
259,16,31,-1425,500,68,22440
260,17,280,625,459,27,22490
261,18,201,425,335,96,22540
262,19,151,2000,512,80,22590
263,20,283,2000,276,100,22640
264,21,183,925,453,21,22690
265,22,45,2000,550,118,22740
266,23,1,2000,528,96,22789
267,24,35,2000,527,95,22839
268,25,21,2000,527,95,22889
269,26,45,-1825,508,76,22939
270,27,150,2000,516,84,22989
271,28,244,2000,552,120,23039
272,0,76,1325,317,114,23239
273,1,141,1725,309,122,23289
274,2,32,275,594,93,23339
275,3,110,2000,515,83,23389
276,4,97,1725,437,5,23438
277,5,15,1325,573,114,23467
278,6,46,875,582,105,23516
279,7,34,725,457,25,23566
280,8,248,2000,417,14,23616
281,9,64,825,583,104,23666
282,10,91,-1175,495,63,23716
283,11,116,-675,485,53,23766
284,12,126,-325,433,91,23816
285,13,147,2000,522,90,23866
286,14,199,-1225,368,63,23916
287,15,106,2000,520,88,23966
288,17,284,1775,308,123,24016
289,18,221,125,469,37,24066
290,19,30,1925,561,126,24115
291,20,156,1275,574,113,24165
292,21,208,-225,604,83,24215
293,22,86,-625,612,75,24265
294,23,37,-525,610,77,24315
295,24,45,-725,614,73,24365
296,25,283,125,597,90,24415
297,26,96,-975,491,59,24465
298,27,113,525,589,98,24515
299,28,77,525,589,98,24565
300,0,60,-1975,639,48,24764
301,1,155,-1325,626,61,24814
302,2,80,175,468,36,24864
303,3,121,-1525,630,57,24914
304,4,50,2000,652,35,24964
305,5,131,2000,671,16,25014
306,6,6,2000,663,24,25064
307,7,54,2000,512,80,25114
308,8,311,2000,678,9,25164
309,9,81,-1675,633,54,25214
310,10,102,2000,674,13,25264
311,11,86,2000,658,29,25314
312,12,76,2000,644,43,25363
313,13,152,-675,485,53,25392
314,14,228,-1175,623,64,25441
315,15,129,225,595,92,25491
316,16,161,2000,669,18,25541
317,17,183,2000,674,13,25591
318,18,26,2000,665,22,25641
319,19,141,775,584,103,25691
320,20,35,2000,675,12,25741
321,21,137,-1125,622,65,25791
322,22,93,-1325,626,61,25841
323,23,28,2000,652,35,25891
