#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,16,52,-675,41,14,10490
3,28,155,-675,41,14,10540
4,11,194,-925,46,9,10740
5,19,153,-875,45,10,10790
6,24,17,-925,46,9,10840
7,6,198,-1325,54,1,11040
8,16,129,-1075,49,6,11089
9,18,93,-1225,52,3,11139
10,19,234,-925,46,9,11189
11,26,195,-1400,56,0,11239
12,28,220,-1125,50,5,11289
13,2,13,-1400,66,10,11489
14,3,124,-1400,64,8,11539
15,11,293,-1400,62,6,11589
16,18,98,-1400,60,4,11639
17,6,193,-1400,84,28,11816
18,10,215,-1400,78,22,11866
19,11,212,-1400,86,30,11916
20,14,228,-1400,78,22,11966
21,19,4,-1400,74,18,12016
22,22,41,-1400,76,20,12066
23,23,96,-1400,86,30,12116
24,26,162,-1400,83,27,12166
25,27,8,-1400,79,23,12216
26,28,224,-1400,83,27,12266
27,6,10,-1400,95,39,12465
28,14,166,-1400,93,37,12515
29,17,142,-1400,93,37,12565
30,21,260,-1400,98,42,12615
31,22,73,-1400,97,41,12665
32,26,131,-1400,97,41,12715
33,3,40,-1400,106,50,12915
34,15,18,-1400,121,65,12965
35,17,32,-1400,108,52,13015
36,21,179,-1400,126,70,13064
37,22,195,-1400,86,30,13114
38,23,85,-1400,123,67,13164
39,24,21,-1400,114,58,13214
40,7,43,1375,128,72,13414
41,8,77,1375,128,72,13464
42,11,36,625,143,87,13514
43,12,191,1075,134,78,13564
44,14,131,775,140,84,13614
45,15,202,1275,130,74,13663
46,19,181,525,145,89,13692
47,22,313,-1400,94,38,13741
48,26,184,525,145,89,13791
49,1,238,425,147,91,13991
50,7,4,-75,157,101,14041
51,8,310,725,141,85,14091
52,12,278,475,146,90,14141
53,14,240,-75,157,101,14191
54,16,36,-25,156,100,14241
55,17,60,175,152,96,14291
56,28,99,-225,160,104,14341
57,1,95,-1400,185,126,14540
58,2,33,-1025,176,120,14590
59,3,120,-725,170,114,14640
60,16,7,-775,171,115,14690
61,17,203,-375,163,107,14740
62,20,312,-1225,180,124,14790
63,27,89,-825,172,116,14840
64,28,117,125,153,97,14890
65,0,65,-1400,201,110,15089
66,1,274,-1400,198,113,15139
67,3,117,-1400,191,120,15189
68,11,123,-1400,190,121,15239
69,12,49,-1400,210,101,15289
70,13,196,-1400,189,122,15339
71,15,157,-1400,193,118,15389
72,16,194,-1400,195,116,15439
73,18,268,-1400,189,122,15489
74,27,149,-1400,191,120,15539
75,0,102,-1400,219,92,15716
76,1,256,-1400,215,96,15766
77,2,178,-1400,213,98,15816
78,5,153,-1400,220,91,15866
79,12,38,-1400,230,81,15916
80,13,310,-1400,194,117,15966
81,14,300,-1400,225,86,16016
82,16,128,-1400,219,92,16066
83,19,78,-1400,224,87,16116
84,26,310,-1400,226,85,16166
85,8,258,-1400,244,67,16365
86,10,288,-1400,252,59,16415
87,12,142,-1400,194,117,16465
88,15,104,1325,257,54,16515
89,16,123,-1400,244,67,16565
90,23,68,-1400,233,78,16615
91,25,279,-1400,239,72,16665
92,0,135,875,266,45,16865
93,5,178,125,281,30,16915
94,11,306,25,283,28,16964
95,16,28,825,267,44,17014
96,18,51,425,275,36,17064
97,25,296,-1400,241,70,17114
98,27,11,1125,261,50,17164
99,28,104,25,283,28,17214
100,3,34,-25,284,27,17414
101,9,45,-525,294,17,17464
102,10,259,-975,303,8,17514
103,11,140,-775,299,12,17563
104,16,39,-125,286,25,17592
105,20,57,-75,285,26,17641
106,28,294,-675,297,14,17691
107,0,247,-1400,315,3,17891
108,3,76,-1025,304,7,17941
109,5,151,-1400,324,12,17991
110,6,158,-1175,307,4,18041
111,7,27,-1400,316,4,18091
112,9,297,-1075,305,6,18141
113,11,228,-1400,325,13,18191
114,16,252,-1400,223,88,18241
115,18,96,-1400,315,3,18290
116,24,226,-1125,306,5,18340
117,25,18,-1325,310,1,18390
118,27,301,-1400,313,1,18440
119,1,129,-1400,336,24,18640
120,16,118,-1400,330,18,18690
121,20,258,-1400,335,23,18740
122,1,29,-1400,363,51,18939
123,2,34,-1400,359,47,18989
124,3,299,-1400,346,34,19039
125,6,289,-1400,358,46,19089
126,9,35,-1400,356,44,19139
127,18,108,-1400,365,53,19189
128,21,156,-1400,358,46,19239
129,24,118,-1400,345,33,19289
130,1,74,-1400,377,65,19489
131,2,294,-1400,381,69,19538
132,7,171,-1400,378,66,19567
133,10,113,1275,386,74,19616
134,14,59,-1400,380,68,19666
135,16,156,-1400,382,70,19716
136,21,315,-1400,366,54,19766
137,1,85,-1400,375,63,19966
138,3,52,1175,388,76,20016
139,4,170,625,399,87,20066
140,9,136,1025,391,79,20116
141,15,254,575,400,88,20166
142,21,138,1125,389,77,20215
143,23,319,1025,391,79,20265
144,25,79,225,407,95,20315
145,1,269,525,401,89,20515
146,3,132,-675,425,113,20565
147,4,207,1225,387,75,20615
148,5,5,-525,422,110,20665
149,16,230,-775,427,115,20715
150,21,122,-25,412,100,20765
151,23,205,-775,427,115,20815
152,25,106,725,397,85,20864
153,27,82,125,409,97,20914
154,5,8,-1400,447,120,21114
155,10,121,-1225,436,124,21164
