#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,1,119,-675,41,14,10490
3,2,234,-725,42,13,10540
4,16,52,-675,41,14,10590
5,22,274,-725,42,13,10640
6,24,97,-675,41,14,10690
7,28,155,-675,41,14,10740
8,11,194,-925,46,9,10940
9,16,220,-975,47,8,10990
10,19,153,-875,45,10,11040
11,21,117,-825,44,11,11089
12,23,84,-1025,48,7,11139
13,24,17,-925,46,9,11189
14,25,274,-825,44,11,11239
15,0,159,-1400,56,0,11439
16,2,13,-1400,66,10,11489
17,3,124,-1400,64,8,11539
18,4,130,-1400,59,3,11589
19,6,198,-1325,54,1,11639
20,8,85,-1400,65,9,11689
21,10,236,-1125,50,5,11738
22,11,293,-1400,62,6,11767
23,12,195,-1400,57,1,11816
24,14,86,-1400,58,2,11866
25,15,129,-1400,65,9,11916
26,16,129,-1075,49,6,11966
27,17,319,-1275,53,2,12016
28,18,93,-1225,52,3,12066
29,19,77,-1175,51,4,12116
30,21,14,-1400,56,0,12166
31,23,283,-1375,55,0,12216
32,24,229,-775,43,12,12266
33,25,0,-1400,62,6,12316
34,26,107,-1400,58,2,12366
35,27,190,-1275,53,2,12415
36,28,220,-1125,50,5,12465
37,0,163,-1400,71,15,12665
38,1,5,-1400,70,14,12715
39,2,190,-1175,51,4,12765
40,6,36,-1400,67,11,12815
41,7,38,-1400,82,26,12865
42,8,271,-1400,62,6,12915
43,9,81,-1400,69,13,12965
44,10,215,-1400,78,22,13015
45,11,158,-1400,84,28,13064
46,12,160,-1400,76,20,13114
47,13,1,-1400,80,24,13164
48,14,112,-1400,76,20,13214
49,15,140,-1375,55,0,13264
50,16,240,-1400,65,9,13314
51,18,98,-1400,60,4,13364
52,19,4,-1400,74,18,13414
53,20,218,-1400,67,11,13464
54,21,303,-1400,67,11,13514
55,22,41,-1400,76,20,13564
56,23,96,-1400,86,30,13614
57,24,232,-1400,61,5,13663
58,25,91,-1400,69,13,13692
59,26,4,-1400,68,12,13741
60,27,8,-1400,79,23,13791
61,28,16,-1400,86,30,13841
62,0,206,-1400,84,28,14041
63,1,6,-1400,97,41,14091
64,2,51,-1400,125,69,14141
65,3,5,-1400,102,46,14191
66,4,68,-1400,120,64,14241
67,5,172,-1400,121,65,14291
68,6,10,-1400,95,39,14341
69,7,43,1375,128,72,14390
70,8,77,1375,128,72,14440
71,9,38,-1400,102,46,14490
72,10,78,-1400,109,53,14540
73,11,212,-1400,86,30,14590
74,12,145,-1400,94,38,14640
75,13,243,-1400,76,20,14690
76,14,166,-1400,93,37,14740
77,15,18,-1400,121,65,14790
78,16,64,-1400,103,47,14840
79,17,32,-1400,108,52,14890
80,19,81,-1400,115,59,14940
81,21,51,-1400,106,50,14989
82,22,51,-1400,106,50,15039
83,23,85,-1400,123,67,15089
84,24,21,-1400,114,58,15139
85,25,95,-1400,99,43,15189
86,26,35,-1400,113,57,15239
87,27,43,-1400,93,37,15289
88,28,17,-1400,98,42,15339
89,0,141,825,139,83,15539
90,1,95,-1400,185,126,15589
91,2,33,-1025,176,120,15638
92,3,31,925,137,81,15667
93,4,116,-525,166,110,15716
94,5,16,-1400,184,127,15766
95,6,24,-1400,188,123,15816
96,7,4,-75,157,101,15866
97,8,55,-475,165,109,15916
98,9,12,125,153,97,15966
99,10,85,-1400,102,46,16016
100,11,36,625,143,87,16066
101,12,186,525,145,89,16116
102,13,160,-925,174,118,16166
103,14,9,-975,175,119,16216
104,15,34,-1400,126,70,16266
105,16,7,-775,171,115,16315
106,17,60,175,152,96,16365
107,18,90,325,149,93,16415
108,19,119,-1400,80,24,16465
109,20,41,225,151,95,16515
110,21,122,-1375,118,63,16565
111,22,59,-1400,84,28,16615
112,23,15,875,138,82,16665
113,25,190,-1400,186,125,16715
114,26,84,225,151,95,16765
115,27,49,775,140,84,16815
116,28,78,-1400,67,11,16865
117,0,65,-1400,201,110,17064
118,1,54,-1400,220,91,17114
119,2,178,-1400,213,98,17164
120,3,36,-1400,96,40,17214
121,4,201,1275,130,74,17264
122,5,119,-1400,241,70,17314
123,6,5,-1400,214,97,17364
124,7,56,-125,158,102,17414
125,8,139,-1375,183,127,17464
126,9,20,-975,175,119,17514
127,10,205,725,141,85,17563
128,11,12,-1400,240,71,17592
129,12,30,-1400,223,88,17641
130,13,161,125,153,97,17691
131,14,48,-1400,212,99,17741
132,15,58,-1400,222,89,17791
133,16,36,-25,156,100,17841
134,17,127,-275,161,105,17891
135,18,97,-1400,236,75,17941
136,19,51,-1400,218,93,17991
137,20,80,-1400,190,121,18041
138,21,128,-1400,236,75,18091
139,22,73,-1400,97,41,18141
140,23,29,-1400,223,88,18191
141,24,81,-1400,220,91,18241
142,25,15,-1400,223,88,18290
143,26,21,-1400,245,66,18340
144,27,3,-1400,249,62,18390
145,28,99,-225,160,104,18440
146,0,86,-1400,218,93,18640
147,1,76,475,274,37,18690
148,2,176,-375,291,20,18740
149,3,34,-25,284,27,18790
150,4,78,-125,286,25,18840
151,5,146,-925,174,118,18889
152,6,22,-1400,249,62,18939
153,7,11,-1325,310,1,18989
154,8,12,-1325,310,1,19039
155,9,45,-525,294,17,19089
156,10,118,875,266,45,19139
157,11,15,-1400,216,95,19189
158,12,38,-1400,230,81,19239
159,13,15,675,270,41,19289
160,14,116,-1400,195,116,19339
