#,Col,Row,ToT,TS,Amp,RO_Time
0,1,119,5,0,0,5276
0,16,52,5,0,0,5276
0,28,155,5,0,0,5276
0,22,274,5,0,0,5301
0,2,234,5,0,0,5301
0,25,277,5,0,0,5326
0,24,229,5,0,0,5326
0,25,274,5,0,0,5351
0,21,117,5,0,0,5351
0,19,153,5,0,0,5377
0,19,234,5,0,0,5401
0,11,194,5,0,0,5401
0,23,303,5,0,0,5401
0,24,17,5,0,0,5406
0,16,220,5,0,0,5426
0,23,84,5,0,0,5451
0,16,129,5,0,0,5476
0,26,170,5,0,0,5501
0,25,194,5,0,0,5501
0,28,220,5,0,0,5503
0,2,190,5,0,0,5526
0,14,180,5,0,0,5526
0,14,180,5,0,0,5526
0,0,223,5,0,0,5551
0,18,93,5,0,0,5551
0,17,319,5,0,0,5576
0,6,198,5,0,0,5601
0,15,140,5,0,0,5626
0,26,195,5,0,0,5651
0,0,159,5,0,0,5651
0,21,14,5,0,0,5651
0,12,195,5,0,0,5677
0,14,86,5,0,0,5701
0,26,107,5,0,0,5701
0,4,130,5,0,0,5726
0,18,98,5,0,0,5751
0,24,232,5,0,0,5776
0,11,293,5,0,0,5801
0,8,271,5,0,0,5801
0,3,124,5,0,0,5851
0,8,85,5,0,0,5876
0,16,240,5,0,0,5877
0,2,13,5,0,0,5901
0,20,218,5,0,0,5926
0,6,36,5,0,0,5926
0,28,78,5,0,0,5926
0,1,274,5,0,0,5951
0,26,4,5,0,0,5951
0,25,316,5,0,0,5951
0,9,81,5,0,0,5976
0,9,240,5,0,0,5976
0,7,78,5,0,0,5976
0,25,91,5,0,0,5980
0,1,5,5,0,0,6001
0,0,163,5,0,0,6026
0,19,4,5,0,0,6101
0,12,160,5,0,0,6151
0,15,293,5,0,0,6151
0,22,41,5,0,0,6151
0,13,243,5,0,0,6151
0,10,215,5,0,0,6201
0,14,228,5,0,0,6201
0,27,8,5,0,0,6227
0,19,119,5,0,0,6251
0,13,1,5,0,0,6251
0,7,38,5,0,0,6301
0,28,224,5,0,0,6326
0,26,162,5,0,0,6327
0,6,193,5,0,0,6351
0,0,206,5,0,0,6351
0,22,59,5,0,0,6354
0,11,212,5,0,0,6401
0,28,16,5,0,0,6401
0,23,96,5,0,0,6401
0,22,195,5,0,0,6401
0,23,155,5,0,0,6426
0,28,257,5,0,0,6426
0,15,249,5,0,0,6451
0,7,255,5,0,0,6501
0,27,43,5,0,0,6576
0,27,43,5,0,0,6576
0,17,142,5,0,0,6576
0,14,166,5,0,0,6576
0,22,313,5,0,0,6601
0,26,278,5,0,0,6626
0,6,10,5,0,0,6626
0,3,36,5,0,0,6651
0,14,219,5,0,0,6676
0,1,6,5,0,0,6676
0,26,131,5,0,0,6676
0,22,73,5,0,0,6676
0,21,260,5,0,0,6701
0,21,202,5,0,0,6702
0,28,17,5,0,0,6703
0,25,95,5,0,0,6726
0,9,38,5,0,0,6801
0,16,64,5,0,0,6826
0,16,64,5,0,0,6826
0,3,40,5,0,0,6901
0,28,264,5,0,0,6901
0,17,32,5,0,0,6951
0,10,78,5,0,0,6976
0,1,169,5,0,0,6976
0,19,145,5,0,0,7001
0,21,318,5,0,0,7051
0,9,254,5,0,0,7076
0,24,21,5,0,0,7101
0,27,203,5,0,0,7126
0,23,246,5,0,0,7176
0,16,225,5,0,0,7226
0,8,319,5,0,0,7226
0,4,68,5,0,0,7251
0,26,294,5,0,0,7251
0,9,173,5,0,0,7276
0,22,104,5,0,0,7276
0,5,172,5,0,0,7276
0,15,18,5,0,0,7279
0,17,282,5,0,0,7281
0,23,85,5,0,0,7326
0,2,51,5,0,0,7376
0,12,256,5,0,0,7376
0,15,34,5,0,0,7401
0,21,179,5,0,0,7401
0,8,77,5,0,0,7451
0,7,43,5,0,0,7451
0,15,202,5,0,0,7501
0,4,201,5,0,0,7501
0,27,295,5,0,0,7551
0,8,314,5,0,0,7576
0,6,118,5,0,0,7576
0,12,191,5,0,0,7601
0,3,60,5,0,0,7601
0,8,232,5,0,0,7676
0,3,31,5,0,0,7676
0,0,141,5,0,0,7726
0,14,131,5,0,0,7751
0,14,308,5,0,0,7751
0,3,44,5,0,0,7776
0,8,310,5,0,0,7776
0,2,230,5,0,0,7801
0,16,94,5,0,0,7826
0,11,36,5,0,0,7826
0,21,153,5,0,0,7851
0,7,290,5,0,0,7851
0,19,181,5,0,0,7876
0,19,181,5,0,0,7876
0,14,184,5,0,0,7876
0,12,186,5,0,0,7876
0,26,184,5,0,0,7876
0,12,278,5,0,0,7901
0,1,238,5,0,0,7926
0,2,308,5,0,0,7929
0,9,169,5,0,0,7976
0,18,90,5,0,0,7976
0,26,84,5,0,0,8026
0,20,41,5,0,0,8026
0,17,60,5,0,0,8051
0,13,161,5,0,0,8076
0,28,260,5,0,0,8076
0,28,117,5,0,0,8076
0,9,12,5,0,0,8076
0,5,229,5,0,0,8101
0,26,159,5,0,0,8151
0,16,36,5,0,0,8151
0,19,164,5,0,0,8151
0,7,4,5,0,0,8176
0,14,240,5,0,0,8176
0,11,251,5,0,0,8201
0,18,274,5,0,0,8226
0,28,99,5,0,0,8251
0,9,150,5,0,0,8251
0,17,127,5,0,0,8276
0,14,246,5,0,0,8276
0,13,199,5,0,0,8301
0,9,305,5,0,0,8301
0,17,203,5,0,0,8326
0,8,55,5,0,0,8376
0,4,116,5,0,0,8401
0,27,8,5,0,0,8401
0,11,115,5,0,0,8426
0,17,250,5,0,0,8478
0,5,174,5,0,0,8501
0,3,120,5,0,0,8501
0,6,277,5,0,0,8526
0,16,7,5,0,0,8526
0,1,227,5,0,0,8526
0,3,102,5,0,0,8526
0,27,89,5,0,0,8551
0,2,232,5,0,0,8601
0,13,160,5,0,0,8601
0,2,33,5,0,0,8651
0,19,269,5,0,0,8651
0,20,312,5,0,0,8751
0,8,139,5,0,0,8826
0,0,246,5,0,0,8851
0,5,16,5,0,0,8851
0,1,95,5,0,0,8876
0,22,194,5,0,0,8901
0,25,190,5,0,0,8901
0,11,102,5,0,0,8902
0,9,257,5,0,0,8903
0,13,196,5,0,0,8976
0,18,268,5,0,0,8976
0,18,279,5,0,0,8976
0,11,123,5,0,0,9001
0,11,123,5,0,0,9001
0,3,117,5,0,0,9026
0,27,149,5,0,0,9026
0,15,157,5,0,0,9076
0,12,142,5,0,0,9101
0,13,310,5,0,0,9101
0,9,58,5,0,0,9101
0,22,190,5,0,0,9126
0,25,187,5,0,0,9126
0,14,116,5,0,0,9126
0,16,194,5,0,0,9126
0,7,245,5,0,0,9151
0,25,18,5,0,0,9151
0,11,311,5,0,0,9176
0,6,311,5,0,0,9201
0,14,250,5,0,0,9201
0,21,223,5,0,0,9201
0,1,274,5,0,0,9201
0,0,65,5,0,0,9276
0,20,174,5,0,0,9302
0,1,213,5,0,0,9351
0,24,314,5,0,0,9376
0,6,132,5,0,0,9376
0,0,249,5,0,0,9426
0,27,39,5,0,0,9501
0,12,49,5,0,0,9501
0,1,239,5,0,0,9526
0,14,48,5,0,0,9551
0,2,178,5,0,0,9576
0,1,256,5,0,0,9626
0,24,102,5,0,0,9651
0,0,86,5,0,0,9701
0,19,51,5,0,0,9701
0,0,102,5,0,0,9726
0,16,128,5,0,0,9726
0,3,90,5,0,0,9751
0,5,153,5,0,0,9751
0,9,60,5,0,0,9751
0,24,81,5,0,0,9751
0,17,199,5,0,0,9751
0,22,271,5,0,0,9776
0,15,253,5,0,0,9776
0,15,58,5,0,0,9801
0,25,15,5,0,0,9826
0,16,252,5,0,0,9826
0,19,78,5,0,0,9851
0,15,171,5,0,0,9876
0,14,300,5,0,0,9876
0,17,222,5,0,0,9876
0,26,310,5,0,0,9901
0,18,98,5,0,0,9951
