#,Col,Row,ToT,TS,Amp,RO_Time
0,12,267,5,0,0,5280
0,9,230,5,0,0,5304
0,13,299,5,0,0,5304
0,18,274,5,0,0,5305
0,22,83,5,0,0,5352
0,23,280,5,0,0,5354
0,20,75,5,0,0,5376
0,13,69,5,0,0,5378
0,16,198,5,0,0,5403
0,15,275,5,0,0,5405
0,19,126,5,0,0,5406
0,3,64,5,0,0,5428
0,13,271,5,0,0,5429
0,20,190,5,0,0,5430
0,27,259,5,0,0,5431
0,7,72,5,0,0,5451
0,16,157,5,0,0,5452
0,11,205,5,0,0,5455
0,6,251,5,0,0,5502
0,0,217,5,0,0,5504
0,26,230,5,0,0,5504
0,14,284,5,0,0,5528
0,7,200,5,0,0,5529
0,10,276,5,0,0,5576
0,9,168,5,0,0,5579
0,23,12,5,0,0,5627
0,23,271,5,0,0,5628
0,13,248,5,0,0,5630
0,23,255,5,0,0,5655
0,13,7,5,0,0,5702
0,5,196,5,0,0,5703
0,5,41,5,0,0,5704
0,26,57,5,0,0,5754
0,10,166,5,0,0,5776
0,2,230,5,0,0,5777
0,22,216,5,0,0,5803
0,25,248,5,0,0,5826
0,7,258,5,0,0,5828
0,9,217,5,0,0,5831
0,8,201,5,0,0,5852
0,23,80,5,0,0,5854
0,22,12,5,0,0,5855
0,8,289,5,0,0,5902
0,13,2,5,0,0,5903
0,10,28,5,0,0,6004
0,4,48,5,0,0,6053
0,17,74,5,0,0,6055
0,10,130,5,0,0,6080
0,18,22,5,0,0,6126
0,1,293,5,0,0,6152
0,10,255,5,0,0,6153
0,25,54,5,0,0,6153
0,12,48,5,0,0,6154
0,20,150,5,0,0,6155
0,3,215,5,0,0,6180
0,15,22,5,0,0,6230
0,1,265,5,0,0,6277
0,6,63,5,0,0,6305
0,2,243,5,0,0,6379
0,13,72,5,0,0,6427
0,21,15,5,0,0,6428
0,11,71,5,0,0,6452
0,9,131,5,0,0,6455
0,14,40,5,0,0,6502
0,22,126,5,0,0,6504
0,4,3,5,0,0,6527
0,17,171,5,0,0,6527
0,11,143,5,0,0,6528
0,17,319,5,0,0,6554
0,2,10,5,0,0,6581
0,12,178,5,0,0,6603
0,8,54,5,0,0,6603
0,26,184,5,0,0,6604
0,2,23,5,0,0,6626
0,16,71,5,0,0,6628
0,12,299,5,0,0,6630
0,17,192,5,0,0,6652
0,21,123,5,0,0,6655
0,25,279,5,0,0,6655
0,1,262,5,0,0,6705
0,19,35,5,0,0,6705
0,5,297,5,0,0,6752
0,10,294,5,0,0,6752
0,20,232,5,0,0,6752
0,0,66,5,0,0,6755
0,0,110,5,0,0,6756
0,17,104,5,0,0,6778
0,17,246,5,0,0,6780
0,0,206,5,0,0,6805
0,19,223,5,0,0,6851
0,16,112,5,0,0,6853
0,2,234,5,0,0,6878
0,27,232,5,0,0,6880
0,10,50,5,0,0,6881
0,8,51,5,0,0,6903
0,20,48,5,0,0,6905
0,8,34,5,0,0,6927
0,9,3,5,0,0,6928
0,25,89,5,0,0,6930
0,13,204,5,0,0,6955
0,23,39,5,0,0,6977
0,15,2,5,0,0,6978
0,13,257,5,0,0,6979
0,10,59,5,0,0,7006
0,21,230,5,0,0,7030
0,25,62,5,0,0,7054
0,22,292,5,0,0,7079
0,11,85,5,0,0,7101
0,10,27,5,0,0,7126
0,9,170,5,0,0,7126
0,22,74,5,0,0,7128
0,8,240,5,0,0,7128
0,28,94,5,0,0,7130
0,0,262,5,0,0,7154
0,14,230,5,0,0,7176
0,25,143,5,0,0,7180
0,19,78,5,0,0,7180
0,15,165,5,0,0,7227
0,26,131,5,0,0,7229
0,8,35,5,0,0,7251
0,10,199,5,0,0,7254
0,12,181,5,0,0,7304
0,14,204,5,0,0,7305
0,14,102,5,0,0,7329
0,17,178,5,0,0,7354
0,18,111,5,0,0,7379
0,22,249,5,0,0,7381
0,15,12,5,0,0,7403
0,19,43,5,0,0,7430
0,16,79,5,0,0,7430
0,28,164,5,0,0,7431
0,18,97,5,0,0,7453
0,10,307,5,0,0,7478
0,25,93,5,0,0,7481
0,27,244,5,0,0,7502
0,19,88,5,0,0,7503
0,4,314,5,0,0,7530
0,23,291,5,0,0,7578
0,20,176,5,0,0,7579
0,9,106,5,0,0,7603
0,13,116,5,0,0,7631
0,14,273,5,0,0,7702
0,19,215,5,0,0,7727
0,0,249,5,0,0,7730
0,22,81,5,0,0,7752
0,3,260,5,0,0,7778
0,15,37,5,0,0,7801
0,11,116,5,0,0,7804
0,8,0,5,0,0,7804
0,25,147,5,0,0,7827
0,18,256,5,0,0,7828
0,20,58,5,0,0,7830
0,22,244,5,0,0,7851
0,28,58,5,0,0,7854
0,25,47,5,0,0,7854
0,23,30,5,0,0,7927
