#Simulation runs: 5000-5100
#Sensor Centre Position : x0 = 146 	y0 = 12
#Sensor Dimensions : width (x edge-to-edge) = 20 	height (y edge-to-edge) = 20
#All distances in units of mm
#Quadrant Definition: (x,y) : (+,+) := Quad 1 	(-,+) := Quad 2 	(-,-) := Quad 3 	(+,-) := Quad 4.
#Assumed symmetry: The corresponding sensor in each quadrant has been reflected (x,y)->(x_sym,y_sym)=(|x|,|y|) into Quad 1 (or the Quadrant containing (x0,y0)) before taking local coordinates (x_sym-x0,y_sym-y0) to obtain 4-fold increase in statistics.
#Note that where symmetry has been exploited	the original quadrant is specified for each entry	allowing original whole-detector spatial coordinates (x,y) to be reconstructed.
#The unique event number identifies a distinct event (in a distinct run) in the simulation.
#Energy: Energy deposited by the particle generating the hit as it traverses the SciFi composite material. Units of MeV.
#Time: Time of flight	with start at p-p collision within bunch (not the time of bunch centre). Units of ns.
#unq_evt_num	layer	Quadrant	x_sym-x0	y_sym-y0	t_coll	energy
1	3	3	-5.5523	-0.7762	28.4041	0.2464
1	3	3	-7.8368	-3.8684	28.3647	0.2374
1	4	3	3.1936	-3.5826	29.0655	0.2065
1	5	2	-2.8104	0.3338	30.6475	0.3089
1	6	2	3.0595	0.5453	31.3477	0.2150
1	5	4	-1.1217	-1.0171	30.6645	0.2253
1	6	4	5.2164	-0.7161	31.3646	0.2399
1	6	4	-3.5067	-9.1056	31.3982	0.2893
1	5	4	-8.4264	-4.3462	30.7754	0.2485
1	6	4	0.6061	-4.3063	31.4759	0.4216
1	2	2	-9.1896	8.9042	26.6988	0.2063
1	1	1	-2.7150	2.2646	26.2707	0.2023
1	1	4	-5.9094	-4.6215	26.0676	0.2173
1	2	4	3.0062	-4.5354	26.7681	0.2244
1	2	2	9.8588	-8.9418	26.8425	0.2149
1	2	3	-7.6689	2.5874	26.8265	0.2135
1	6	3	-8.6513	4.6128	31.2962	0.2080
1	4	1	-6.9061	-0.1956	29.0206	0.2283
1	2	1	9.9174	4.0273	27.4166	0.6429
1	5	1	-5.1268	-6.5989	30.6415	0.2161
1	6	1	3.2185	-6.5780	31.3419	0.2293
1	4	2	-4.2074	-4.8193	29.0995	0.2207
1	4	3	-8.7272	-4.5785	29.1018	0.2229
1	4	3	2.2292	-9.9301	29.1111	0.2562
1	6	3	-3.8024	-6.8168	31.3938	0.2617
1	6	3	-1.7625	-7.4318	31.3940	0.2377
1	5	3	-0.7188	-2.2503	30.4956	0.2993
1	6	3	9.4944	-1.9878	31.1962	0.1977
1	1	1	-5.2979	-1.4473	25.9321	0.2298
1	2	1	4.7008	-1.1252	26.6327	0.2136
1	2	2	-9.9797	-2.3693	26.4919	0.2212
1	3	2	7.7365	-1.9176	28.0682	0.1979
1	1	3	-9.6733	-3.4518	25.7067	0.2151
1	2	3	4.4685	-5.5645	26.4084	0.2544
1	3	1	0.2537	-0.0165	27.9709	0.2049
1	4	1	8.0131	0.3240	28.6712	0.1839
1	1	3	2.8256	0.9136	25.8572	0.2333
1	6	3	3.7603	9.0841	31.3827	0.2226
1	5	4	6.0139	6.7628	30.5252	0.4903
1	2	4	5.7801	-3.2916	26.7776	0.4194
1	5	4	8.7261	2.7056	30.5298	0.2464
1	3	4	-8.0008	4.1163	28.6429	1.0784
1	1	1	-4.9366	-9.8882	25.8811	0.2294
1	2	1	-7.6083	-9.8361	26.5810	0.2042
1	2	4	-9.2055	-2.6635	26.8956	0.2081
1	4	4	-0.7483	-7.2036	29.1612	0.2333
1	5	4	-1.5706	-8.1589	30.7464	0.2395
1	6	4	-3.8574	-9.0984	31.4463	0.2254
1	3	1	-4.8477	8.0028	28.3963	0.1561
1	4	1	7.8707	8.4263	29.0974	0.2311
1	4	1	8.5440	7.6946	29.0977	0.2141
1	2	1	5.3491	-2.6811	26.8373	0.3933
1	4	1	-2.2772	2.9104	29.0997	0.2375
1	3	4	1.2124	-5.5392	28.6039	0.2716
1	4	4	6.7704	-5.4094	29.3040	0.5133
1	5	1	-4.4579	-0.6007	30.8895	0.2547
1	6	1	3.2724	-0.3467	31.5898	0.3671
1	1	1	-7.3031	-7.0861	25.9054	0.2394
1	2	1	7.2175	-5.9932	26.6078	0.3763
2	4	1	-9.1110	5.7215	29.0323	0.3124
2	5	4	-6.1831	-3.9169	30.6176	0.2191
2	6	4	9.6084	-4.1074	31.3194	0.2828
2	6	4	-9.6472	9.2422	31.1017	0.2263
2	3	1	-0.9072	6.6483	28.3867	0.2062
2	3	2	9.4546	-5.5127	28.3634	0.2396
2	6	2	-8.0172	-6.7034	31.3442	0.2120
2	5	3	-5.3369	-0.0432	30.6444	0.2033
2	6	3	0.3707	0.2619	31.3445	0.2214
2	1	3	-6.2935	5.1106	26.0862	0.2306
