VT("/I0/I17/I43<0>/InInt") (isig=3.5e-07) X,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-07) Y,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-08) X,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-08) Y,VT("/I0/I17/I43<0>/InInt") (isig=8.5e-08) X,VT("/I0/I17/I43<0>/InInt") (isig=8.5e-08) Y
0,1.545270051560185e-06,0,1.545270051560185e-06,0,1.545270051560185e-06
1e-09,1.545270068954011e-06,1e-09,1.545270068954011e-06,1e-09,1.545270068954011e-06
3e-09,1.545270075342099e-06,3e-09,1.545270075342099e-06,3e-09,1.545270075342099e-06
7.000000000000001e-09,1.5452700714282e-06,7.000000000000001e-09,1.5452700714282e-06,7.000000000000001e-09,1.5452700714282e-06
1e-08,1.545270065005315e-06,1e-08,1.545270065005315e-06,1e-08,1.545270065005315e-06
1.001e-08,1.545270063801047e-06,1.001e-08,1.545270064783635e-06,1.001e-08,1.545270064627668e-06
1.003e-08,1.545270034194068e-06,1.003e-08,1.545270061776215e-06,1.003e-08,1.545270057482702e-06
1.012549356051905e-08,1.545270302006173e-06,1.033688430866485e-08,1.54526389527144e-06,1.025830971360016e-08,1.545268353526728e-06
1.021326109217433e-08,1.545274012842611e-06,1.058091363630812e-08,1.545214289278809e-06,1.042962363395072e-08,1.545246310388715e-06
1.033444456010789e-08,1.545279063393742e-06,1.079545681815406e-08,1.545086449119775e-06,1.06404796880645e-08,1.545110521039463e-06
1.047193653293409e-08,1.545217943427928e-06,1.101e-08,1.544826014016518e-06,1.082523984403225e-08,1.544793409419192e-06
1.061222812321656e-08,1.544926338522438e-06,1.102e-08,1.544810376696656e-06,1.101e-08,1.544196199904659e-06
1.075377337385421e-08,1.544174461320887e-06,1.104e-08,1.544777446898981e-06,1.102e-08,1.544155197314081e-06
1.090329984272198e-08,1.542614172779959e-06,1.117786923684872e-08,1.544507921311941e-06,1.104e-08,1.544068736413122e-06
1.101e-08,1.540893791710733e-06,1.137145019353313e-08,1.544012658529764e-06,1.113793992800777e-08,1.543584731498009e-06
1.102e-08,1.540703306286235e-06,1.1663685409477e-08,1.543149427646093e-06,1.126755317567907e-08,1.542773624291941e-06
1.104e-08,1.540299512121596e-06,1.197839589919802e-08,1.542322687803977e-06,1.149642226217444e-08,1.540925775369748e-06
1.109070158057156e-08,1.539186569808361e-06,1.229201876023978e-08,1.541773837356186e-06,1.173551718991386e-08,1.538621592800095e-06
1.115919513163063e-08,1.5374333444568e-06,1.26371094516897e-08,1.541454547313696e-06,1.195671357364629e-08,1.536251200968398e-06
1.127608024199464e-08,1.53367270928482e-06,1.304591516154426e-08,1.541147488299497e-06,1.218536303025306e-08,1.533393127538474e-06
1.141384030273303e-08,1.527811719063434e-06,1.344475627462847e-08,1.541020785133924e-06,1.237687571968275e-08,1.530800041396712e-06
1.15337636053073e-08,1.521218662300564e-06,1.372547532534285e-08,1.544102683865897e-06,1.252071924674945e-08,1.531086885469523e-06
1.162715838958882e-08,1.515531670579996e-06,1.396888398118005e-08,1.561339908127501e-06,1.267295408573097e-08,1.548727719298517e-06
1.171661329427861e-08,1.513401947771797e-06,1.413074318372787e-08,1.59518266328765e-06,1.275994048574363e-08,1.579146736579198e-06
1.177988363061203e-08,1.519628307769541e-06,1.430348984208361e-08,1.683912210274691e-06,1.284983600562534e-08,1.649107486235356e-06
1.184729873191063e-08,1.548230024831814e-06,1.444102296171852e-08,1.825821506980212e-06,1.292585683835134e-08,1.76404489763408e-06
