Type,Name,Value,Enabled,Tags,Notes
variable,INREGC,1,enabled,,
variable,INCOMPFINE,1,enabled,,
variable,rline,250,enabled,,
variable,INFOLL,5,enabled,,
variable,INCOMP2,5,enabled,,
variable,isig,"35n, 350n, 85n",enabled,,
variable,INBIASREC,5,enabled,,
variable,INFB,5,enabled,,
variable,INDCL,20,enabled,,
variable,INDEL,10,enabled,,
variable,IPDAC,0,enabled,,
variable,BLR,5,enabled,,
variable,IN,20,enabled,,
variable,IPFOLL,30,enabled,,
variable,INDAC,0,enabled,,
variable,IPBIASREC,5,enabled,,
variable,INFOLL2,20,enabled,,
variable,IPLOAD,5,enabled,,
variable,IPBIGFINE,20,enabled,,
variable,INCOMP,30,enabled,,
variable,INBIAS,0,enabled,,
variable,IPSMALLFINE,20,enabled,,
variable,IPREGC,10,enabled,,
variable,Th2,50m,enabled,,
variable,casc2,0.8,enabled,,
variable,vminus,700m,enabled,,
variable,ThFine,1.4,enabled,,
variable,vss,1.2,enabled,,
variable,Gate,2.1,enabled,,
variable,BL,1,enabled,,
variable,Th,50m,enabled,,
variable,w_pin,2u,enabled,,
variable,c_ampout,0,enabled,,
variable,c_ac,100f,enabled,,
variable,l_vnload,300n,enabled,,
variable,w_vnfoll,400n,enabled,,
variable,c_vnfoll2,0,enabled,,
variable,c_det,150f,enabled,,
