Sensor,X0,Y0,TotalHits,MissingHits
739,154.0,12.0,1183.0,14.0
979,174.0,12.0,,
1279,194.0,12.0,,
1549,214.0,12.0,,
1849,234.0,12.0,,
1939,254.0,12.0,,
1969,294.0,12.0,,
1999,314.0,12.0,,
2029,334.0,12.0,,
2083,354.0,12.0,,
2113,374.0,12.0,,
2143,414.0,12.0,,
2173,434.0,12.0,,
2203,454.0,12.0,,
2233,474.0,12.0,,
2263,494.0,12.0,,
2293,514.0,12.0,,
2347,554.0,12.0,,
2377,574.0,12.0,,
2407,594.0,12.0,,
2437,614.0,12.0,,
2467,634.0,12.0,,
2497,694.0,12.0,,
2527,714.0,12.0,,
2557,734.0,12.0,,
2611,754.0,12.0,,
2641,774.0,12.0,,
2671,814.0,12.0,,
2701,834.0,12.0,,
2731,854.0,12.0,,
2761,874.0,12.0,,
2791,894.0,12.0,,
2821,914.0,12.0,,
2875,954.0,12.0,,
2905,974.0,12.0,,
2935,994.0,12.0,,
1,1014.0,12.0,,
31,1034.0,12.0,,
61,1074.0,12.0,,
91,1094.0,12.0,,
121,1114.0,12.0,,
151,1134.0,12.0,,
205,1154.0,12.0,,
235,1174.0,12.0,,
265,1214.0,12.0,,
295,1234.0,12.0,,
325,1254.0,12.0,,
355,1274.0,12.0,,
385,1294.0,12.0,,
415,1314.0,12.0,,
445,1354.0,12.0,,
475,1374.0,12.0,,
505,1394.0,12.0,,
535,1414.0,12.0,,
565,1434.0,12.0,,
595,1474.0,12.0,,
625,1494.0,12.0,,
679,1514.0,12.0,,
709,1534.0,12.0,,
769,1554.0,12.0,,
799,1574.0,12.0,,
829,1614.0,12.0,,
859,1634.0,12.0,,
889,1654.0,12.0,,
919,1674.0,12.0,,
949,1694.0,12.0,,
1009,1754.0,12.0,,
1039,1774.0,12.0,,
1069,1794.0,12.0,,
1099,1814.0,12.0,,
1129,1834.0,12.0,,
1159,1874.0,12.0,,
1189,1894.0,12.0,,
1219,1914.0,12.0,,
1249,1934.0,12.0,,
1309,1954.0,12.0,,
1339,1974.0,12.0,,
1369,2014.0,12.0,,
1399,2034.0,12.0,,
1429,2054.0,12.0,,
1459,2074.0,12.0,,
1489,2094.0,12.0,,
1519,2134.0,12.0,,
1579,2154.0,12.0,,
1609,2174.0,12.0,,
1639,2194.0,12.0,,
1669,2214.0,12.0,,
1699,2234.0,12.0,,
1729,2274.0,12.0,,
1759,2294.0,12.0,,
1789,2314.0,12.0,,
1819,2334.0,12.0,,
1879,2354.0,12.0,,
1909,2374.0,12.0,,
750,154.0,32.0,,
990,174.0,32.0,,
1290,194.0,32.0,,
1560,214.0,32.0,,
1860,234.0,32.0,,
1950,254.0,32.0,,
1980,294.0,32.0,,
2010,314.0,32.0,,
2040,334.0,32.0,,
2094,354.0,32.0,,
2124,374.0,32.0,,
2154,414.0,32.0,,
2184,434.0,32.0,,
2214,454.0,32.0,,
2244,474.0,32.0,,
2274,494.0,32.0,,
2304,514.0,32.0,,
2358,554.0,32.0,,
2388,574.0,32.0,,
2418,594.0,32.0,,
2448,614.0,32.0,,
2478,634.0,32.0,,
2508,694.0,32.0,,
2538,714.0,32.0,,
2568,734.0,32.0,,
2622,754.0,32.0,,
2652,774.0,32.0,,
2682,814.0,32.0,,
2712,834.0,32.0,,
2742,854.0,32.0,,
2772,874.0,32.0,,
2802,894.0,32.0,,
2832,914.0,32.0,,
2886,954.0,32.0,,
2916,974.0,32.0,,
2946,994.0,32.0,,
12,1014.0,32.0,,
42,1034.0,32.0,,
72,1074.0,32.0,,
102,1094.0,32.0,,
132,1114.0,32.0,,
162,1134.0,32.0,,
216,1154.0,32.0,,
246,1174.0,32.0,,
276,1214.0,32.0,,
306,1234.0,32.0,,
336,1254.0,32.0,,
366,1274.0,32.0,,
396,1294.0,32.0,,
426,1314.0,32.0,,
456,1354.0,32.0,,
486,1374.0,32.0,,
516,1394.0,32.0,,
546,1414.0,32.0,,
576,1434.0,32.0,,
606,1474.0,32.0,,
636,1494.0,32.0,,
690,1514.0,32.0,,
720,1534.0,32.0,,
780,1554.0,32.0,,
810,1574.0,32.0,,
840,1614.0,32.0,,
870,1634.0,32.0,,
900,1654.0,32.0,,
930,1674.0,32.0,,
960,1694.0,32.0,,
1020,1754.0,32.0,,
1050,1774.0,32.0,,
1080,1794.0,32.0,,
1110,1814.0,32.0,,
1140,1834.0,32.0,,
1170,1874.0,32.0,,
1200,1894.0,32.0,,
1230,1914.0,32.0,,
1260,1934.0,32.0,,
1320,1954.0,32.0,,
1350,1974.0,32.0,,
1380,2014.0,32.0,,
1410,2034.0,32.0,,
1440,2054.0,32.0,,
1470,2074.0,32.0,,
1500,2094.0,32.0,,
1530,2134.0,32.0,,
1590,2154.0,32.0,,
1620,2174.0,32.0,,
1650,2194.0,32.0,,
1680,2214.0,32.0,,
1710,2234.0,32.0,,
1740,2274.0,32.0,,
1770,2294.0,32.0,,
1800,2314.0,32.0,,
1830,2334.0,32.0,,
1890,2354.0,32.0,,
1920,2374.0,32.0,,
761,154.0,52.0,,
1001,174.0,52.0,,
1301,194.0,52.0,,
1571,214.0,52.0,,
1871,234.0,52.0,,
1961,254.0,52.0,,
1991,294.0,52.0,,
2021,314.0,52.0,,
2051,334.0,52.0,,
2105,354.0,52.0,,
2135,374.0,52.0,,
2165,414.0,52.0,,
2195,434.0,52.0,,
2225,454.0,52.0,,
2255,474.0,52.0,,
2285,494.0,52.0,,
2315,514.0,52.0,,
2369,554.0,52.0,,
2399,574.0,52.0,,
2429,594.0,52.0,,
2459,614.0,52.0,,
2489,634.0,52.0,,
2519,694.0,52.0,,
2549,714.0,52.0,,
2579,734.0,52.0,,
2633,754.0,52.0,,
2663,774.0,52.0,,
2693,814.0,52.0,,
2723,834.0,52.0,,
2753,854.0,52.0,,
2783,874.0,52.0,,
2813,894.0,52.0,,
