,Rate,TotalHits,MissingHits,WithinPrevToT,PostSim,Efficiency,ReadoutEfficiency,EfficiencyWoPostSim,CPLow,CPHigh,RO_CPLow,RO_CPHigh,PostSim_CPLow,PostSim_CPHigh
0,1.0,16662,3,3,3,99.9819949585884,100.0,99.9639899171768,99.94739073423473,99.99628677367905,99.97785898876622,100.0,99.92163781285254,99.98678382447018
1,2.0,34229,22,21,6,99.93572701510415,99.997076707203,99.91819801922347,99.90270600332803,99.95971621770336,99.98371354332039,99.99992598866167,99.88179489531345,99.9456365107384
2,3.0,50593,38,33,8,99.92489079516929,99.99011075949366,99.9090783309944,99.89692117419682,99.94684294490052,99.97692333340407,99.9967889150579,99.87874164399182,99.9334264602673
3,4.0,67517,49,46,8,99.92742568538294,99.99555364526982,99.91557681769035,99.90406412110417,99.94630444963867,99.98700641998325,99.99908304537354,99.89063362564538,99.93605262977572
4,5.0,84366,78,68,14,99.90754569376288,99.98813732235641,99.89095133110494,99.88462607433132,99.92691205964022,99.97818519913626,99.99431124309723,99.86627800095248,99.91208260786463
5,6.0,101395,116,96,10,99.88559593668327,99.98025646847452,99.87573351743183,99.8627988781471,99.90545677997163,99.96950935564249,99.98793973419797,99.85206244894023,99.89647246843778
6,7.0,117787,197,163,17,99.83274894512977,99.97109433448956,99.81831611298361,99.80771617411644,99.85527423511434,99.95960954978659,99.97998118178802,99.79230138964549,99.8418264217625
7,8.0,133964,217,184,20,99.83801618345227,99.9753326356705,99.82308679943866,99.81499122637322,99.85883861937126,99.96535957703718,99.98301953216139,99.79909509467608,99.84487873097201
8,9.0,151826,304,256,31,99.79977079024674,99.96833146401003,99.77935268004163,99.77597654112037,99.82162976637525,99.95801428226162,99.97664922724488,99.75444404025343,99.80232855529655
9,10.0,169025,366,306,23,99.78346398461765,99.9644379115571,99.7698565300991,99.76013127028119,99.80506180137283,99.95422688066263,99.97286131727873,99.74584068617244,99.79213884090092
10,11.0,184958,413,336,28,99.77670606299809,99.95829316116172,99.76156749099796,99.75412446706035,99.79770401844421,99.94787632327264,99.96708425697662,99.73827127796268,99.78328136921357
11,12.0,202027,521,420,19,99.74211367787474,99.94990253314617,99.73270899434235,99.71902085290293,99.76376023546352,99.93913031637206,99.95919299551586,99.7092180315916,99.75475433298482
12,13.0,218990,659,505,25,99.69907301703275,99.92951461198709,99.68765697063793,99.67523276716474,99.72158231386213,99.91746646058309,99.9402042601775,99.66338738005355,99.71059622928068
13,14.0,235323,704,541,41,99.70083672229234,99.93057389408047,99.68341386094856,99.67793448619179,99.72250085676187,99.91906442176504,99.94082005131895,99.65988073859063,99.70570974545299
14,15.0,252175,902,683,38,99.6423118865867,99.9129196952587,99.62724298602161,99.61823259455744,99.6652388509051,99.90059691381704,99.9240676032415,99.60268013403565,99.65065411932825
15,16.0,268679,1014,742,42,99.62259797006837,99.89848359875643,99.60696593332564,99.59868281856173,99.64543268509094,99.88568178325495,99.91018545123832,99.5825777023741,99.63027429391096
16,17.0,286401,1205,872,44,99.5792612455962,99.88337436827783,99.56389817074661,99.55487207208863,99.60263859563379,99.87015936231586,99.89555945634261,99.5390822416376,99.58770276174775
17,18.0,303221,1445,950,48,99.52344989298234,99.83623966573042,99.50761985482536,99.49829309115631,99.54765286729263,99.82117074200123,99.8503397693835,99.48206150162969,99.53222482045479
18,19.0,320240,1802,1081,71,99.43729702722958,99.77409379024247,99.41512615538346,99.41078088607512,99.46291242727165,99.7570055604242,99.79026793274004,99.38810782142586,99.44124428720113
19,20.0,336252,2296,1197,62,99.31717878257973,99.67199415021415,99.29874023054138,99.28876639341614,99.344736173354,99.65204817447267,99.69107322530276,99.26995737806838,99.32666848290184
