Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
2,1,1,-8.438003540039062,7.229799270629883,25.85403060913086,0.0,9,313,2,50.85403060913086,50.85403060913086
3,1,1,-6.802398681640625,4.121700286865234,26.22547912597656,0.0,19,256,2,76.22547912597656,25.3714
4,1,1,-7.66180419921875,-3.176799774169922,26.1843490600586,0.0,14,124,2,101.1843490600586,24.9589
4,1,1,-5.754898071289063,-1.1368999481201172,26.18486976623535,0.0,25,161,2,101.18486976623535,0.0005
4,1,1,-7.22509765625,-4.944900035858154,26.185039520263672,0.0,16,91,2,101.18503952026367,0.0002
4,1,1,-5.394302368164063,-4.122200012207031,26.19034004211425,0.0,27,106,2,101.19034004211426,0.0053
5,1,2,-6.011398315429688,-4.953999996185303,26.0687198638916,0.0,24,91,2,126.0687198638916,24.8784
5,1,2,-5.99749755859375,-4.953700065612793,26.069730758666992,0.0,24,91,2,126.06973075866699,0.001
5,1,1,-6.6096038818359375,-4.162899971008301,26.44117927551269,0.0,20,106,2,126.4411792755127,0.3714
6,1,2,-7.90020751953125,-3.9168996810913086,26.099550247192383,0.0,12,110,2,151.09955024719238,24.6584
6,1,2,-8.110107421875,-8.713299751281738,26.18161964416504,0.0,11,23,2,151.18161964416504,0.0821
7,1,2,-5.2303009033203125,-5.709700107574463,26.006059646606445,0.0,28,78,2,176.00605964660645,24.8244
7,1,1,-7.49530029296875,-6.097700119018555,26.305700302124023,0.0,15,70,2,176.30570030212402,0.2996
8,1,1,-7.7014007568359375,-5.514200210571289,26.09906959533692,0.0,13,81,2,201.0990695953369,24.7934
9,1,1,-6.489501953125,5.6334991455078125,25.971330642700195,0.0,21,284,2,225.9713306427002,24.8723
9,1,2,-8.851699829101562,-5.221199989318848,25.98262023925781,0.0,6,86,2,225.9826202392578,0.0113
10,1,1,-8.36199951171875,7.172100067138672,25.976959228515625,0.0,9,312,2,250.97695922851562,24.9943
10,1,2,-7.1475982666015625,5.185600280761719,25.981840133666992,0.0,17,276,2,250.981840133667,0.0049
11,1,1,-7.30059814453125,-7.381100177764893,26.2829704284668,0.0,16,47,2,276.2829704284668,25.3011
13,1,1,-7.879501342773437,-5.349999904632568,26.1949405670166,0.0,12,84,2,326.1949405670166,49.912
14,1,2,-9.0946044921875,-5.946700096130371,25.99765014648437,0.0,5,73,2,350.9976501464844,24.8027
14,1,2,-7.189300537109375,1.0439996719360352,26.044910430908203,0.0,17,200,2,351.0449104309082,0.0473
15,1,1,-7.6894989013671875,-2.019700050354004,26.162029266357425,0.0,14,145,2,376.1620292663574,25.1171
17,1,2,-7.742294311523437,1.2023000717163086,26.54073905944824,0.0,13,203,2,426.54073905944824,50.3787
21,1,1,-8.313507080078125,5.165700912475586,26.055349349975582,0.0,10,275,2,526.0553493499756,99.5146
21,1,2,-5.640594482421875,-4.710599899291992,26.27703094482422,0.0,26,96,2,526.2770309448242,0.2217
23,1,1,-9.316696166992188,4.061800003051758,26.23417091369629,0.0,4,255,2,576.2341709136963,49.9571
23,1,1,-5.3126068115234375,3.1711997985839844,26.40846061706543,0.0,28,239,2,576.4084606170654,0.1743
25,1,2,-5.505905151367188,-5.67170000076294,25.92746925354004,0.0,27,78,2,625.92746925354,49.519
25,1,2,-6.6378936767578125,-8.654199600219727,25.99574089050293,0.0,20,24,2,625.9957408905029,0.0683
26,1,2,-7.6432952880859375,-2.514399528503418,26.10283088684082,0.0,14,136,2,651.1028308868408,25.1071
28,1,1,-7.159194946289063,0.9568004608154296,25.96795082092285,0.0,17,199,2,700.9679508209229,49.8651
30,1,1,-7.729202270507812,3.98330020904541,25.8930892944336,0.0,13,254,2,750.8930892944336,49.9251
30,1,1,-6.356597900390625,-3.3416004180908203,25.973020553588867,0.0,22,121,2,750.9730205535889,0.0799
31,1,2,-5.606903076171875,-5.183000087738037,26.060380935668945,0.0,26,87,2,776.060380935669,25.0874
31,1,1,-8.901397705078125,0.717900276184082,26.100460052490234,0.0,6,194,2,776.1004600524902,0.0401
32,1,2,-9.950698852539062,-1.3816003799438477,25.840639114379883,0.0,0,156,2,800.8406391143799,24.7402
33,1,1,-6.799896240234375,6.97760009765625,26.1872501373291,0.0,19,308,2,826.1872501373291,25.3466
33,1,1,-8.880599975585938,7.016399383544922,26.34881019592285,0.0,6,309,2,826.3488101959229,0.1616
33,1,1,-9.972396850585938,-8.544500350952148,26.47410011291504,0.0,0,26,2,826.474100112915,0.1253
34,1,2,-8.5841064453125,3.65410041809082,26.006629943847656,0.0,8,248,2,851.0066299438477,24.5325
35,1,2,-5.2733001708984375,-9.451499938964844,26.122339248657227,0.0,28,9,2,876.1223392486572,25.1157
37,1,1,-6.7760009765625,4.748300552368164,26.03745079040528,0.0,19,268,2,926.0374507904053,49.9151
40,1,1,-8.730697631835938,-8.307600021362305,25.98822021484375,0.0,7,30,2,1000.9882202148438,74.9508
40,1,1,-9.064300537109377,6.092399597167969,26.25259017944336,0.0,5,292,2,1001.2525901794434,0.2644
43,1,1,-7.2534027099609375,-2.784099578857422,26.13463020324707,0.0,16,131,2,1076.134630203247,74.882
44,1,2,-8.847702026367188,5.492099761962891,26.13402938842773,0.0,6,281,2,1101.1340293884277,24.9994
46,1,2,-8.471298217773438,-5.657199859619141,26.060680389404297,0.0,9,78,2,1151.0606803894043,49.9267
46,1,2,-9.733993530273438,7.178499221801758,26.215749740600582,0.0,1,312,2,1151.2157497406006,0.1551
47,1,2,-6.860107421875,-7.177199840545654,26.07578086853028,0.0,19,51,2,1176.0757808685303,24.86
47,1,2,-7.733993530273437,-6.591100215911865,26.35675048828125,0.0,13,61,2,1176.3567504882812,0.281
48,1,1,-6.7904052734375,-6.320000171661377,26.440040588378903,0.0,19,66,2,1201.440040588379,25.0833
49,1,2,-8.708999633789062,0.6461000442504883,25.854829788208008,0.0,7,193,2,1225.854829788208,24.4148
49,1,2,-8.722900390625,-0.4848003387451172,25.8829402923584,0.0,7,173,2,1225.8829402923584,0.0281
49,1,1,-6.1313018798828125,-0.2898998260498047,25.90060043334961,0.0,23,176,2,1225.9006004333496,0.0177
50,1,2,-9.284194946289062,-5.678500175476074,25.99683952331543,0.0,4,78,2,1250.9968395233154,25.0962
51,1,2,-8.432296752929688,-9.199700355529783,26.06579971313477,0.0,9,14,2,1276.0657997131348,25.069
52,1,1,-7.452301025390625,3.0272998809814453,26.124059677124023,0.0,15,236,2,1301.124059677124,25.0583
52,1,1,-7.329803466796875,2.861800193786621,26.38528060913086,0.0,16,233,2,1301.3852806091309,0.2612
52,1,1,-5.325897216796875,-9.2322998046875,26.526599884033203,0.0,28,13,2,1301.5265998840332,0.1413
54,1,1,-7.906097412109375,-0.7659997940063477,26.26240921020508,0.0,12,167,2,1351.262409210205,49.7358
54,1,1,-8.726699829101562,-9.35099983215332,26.34737968444824,0.0,7,11,2,1351.3473796844482,0.085
55,1,1,-8.8070068359375,-4.465199947357178,25.94976043701172,0.0,7,100,2,1375.9497604370117,24.6024
57,1,2,-8.404205322265625,1.9608001708984373,26.010290145874023,0.0,9,217,2,1426.010290145874,50.0605
60,1,1,-7.165695190429688,5.0326995849609375,26.10042953491211,0.0,17,273,2,1501.100429534912,75.0901
60,1,1,-9.3572998046875,1.928400039672852,26.1297607421875,0.0,3,216,2,1501.1297607421875,0.0293
62,1,1,-6.503692626953125,5.666599273681641,25.954120635986328,0.0,21,284,2,1550.9541206359863,49.8244
62,1,1,-8.313095092773438,-2.6538000106811523,26.17593002319336,0.0,10,133,2,1551.1759300231934,0.2218
63,1,1,-9.746902465820312,7.324800491333008,26.349119186401367,0.0,1,314,2,1576.3491191864014,25.1732
64,1,2,-5.49420166015625,-8.204999923706055,25.85136985778809,0.0,27,32,2,1600.851369857788,24.5023
64,1,2,-9.480300903320312,4.91349983215332,26.062519073486328,0.0,3,271,2,1601.0625190734863,0.2111
65,1,1,-6.3834991455078125,-4.008200168609619,26.261430740356445,0.0,21,108,2,1626.2614307403564,25.1989
66,1,1,-5.5724945068359375,-6.478700160980225,26.236160278320312,0.0,26,64,2,1651.2361602783203,24.9747
67,1,2,-8.596405029296875,6.592800140380859,25.98759078979492,0.0,8,301,2,1675.987590789795,24.7514
67,1,1,-5.3455963134765625,4.0970001220703125,26.23617935180664,0.0,28,256,2,1676.2361793518066,0.2486
67,1,1,-7.08489990234375,3.010499954223633,26.31627082824707,0.0,17,236,2,1676.316270828247,0.0801
69,1,2,-6.5149993896484375,-5.329100131988525,25.715070724487305,0.0,21,84,2,1725.7150707244873,49.3988
71,1,2,-8.206100463867188,-3.005599975585937,27.06488037109375,0.0,10,127,2,1777.0648803710938,51.3498
72,1,2,-5.475601196289063,-4.760300159454346,26.293949127197266,0.0,27,95,2,1801.2939491271973,24.2291
74,1,2,-7.155197143554688,-4.146399974822998,26.09925079345703,0.0,17,106,2,1851.099250793457,49.8053
77,1,2,-9.248397827148438,-7.916200160980225,26.035409927368164,0.0,4,37,2,1926.0354099273682,74.9362
79,1,2,-8.923004150390625,-5.841700077056885,25.87696075439453,0.0,6,75,2,1975.8769607543945,49.8416
82,1,1,-9.03900146484375,5.315900802612305,26.21150016784668,0.0,5,278,2,2051.2115001678467,75.3345
82,1,1,-6.981201171875,3.3292999267578125,26.278539657592773,0.0,18,242,2,2051.278539657593,0.067
83,1,1,-7.92950439453125,-4.607399940490723,26.27248954772949,0.0,12,98,2,2076.2724895477295,24.9939
85,1,1,-5.9568939208984375,4.71150016784668,26.272310256958008,0.0,24,267,2,2126.272310256958,49.9998
85,1,1,-6.9095001220703125,-0.9902000427246094,26.37443923950196,0.0,18,163,2,2126.374439239502,0.1021
87,1,2,-7.785797119140625,0.7124004364013672,26.200740814208984,0.0,13,194,2,2176.200740814209,49.8263
88,1,2,-5.9051055908203125,4.390100479125977,25.98278045654297,0.0,24,261,2,2200.982780456543,24.782
89,1,2,-6.940200805664063,-3.557100296020508,26.33746910095215,0.0,18,117,2,2226.337469100952,25.3547
91,1,2,-7.928497314453125,-0.8975000381469727,26.02005958557129,0.0,12,165,2,2276.0200595855713,49.6826
91,1,2,-6.1815948486328125,-3.082599639892578,26.174129486083984,0.0,23,125,2,2276.174129486084,0.1541
92,1,2,-6.70550537109375,-9.834099769592283,25.705310821533203,0.0,19,3,2,2300.705310821533,24.5312
92,1,2,-9.091598510742188,3.92770004272461,26.116260528564453,0.0,5,253,2,2301.1162605285645,0.4109
92,1,2,-6.553497314453125,-1.1048002243041992,26.31454086303711,0.0,20,161,2,2301.314540863037,0.1983
94,1,2,-8.838104248046875,0.4273004531860351,26.0433406829834,0.0,7,189,2,2351.0433406829834,49.7288
94,1,2,-6.6020050048828125,-4.01200008392334,26.17531967163086,0.0,20,108,2,2351.175319671631,0.132
94,1,2,-7.592605590820312,-5.0690999031066895,26.41301918029785,0.0,14,89,2,2351.413019180298,0.2377
95,1,1,-8.14019775390625,3.2818002700805664,25.98479080200196,0.0,11,241,2,2375.984790802002,24.5718
97,1,2,-8.706802368164062,4.892900466918945,26.25507926940918,0.0,7,270,2,2426.255079269409,50.2703
98,1,1,-9.348800659179688,-6.621500015258789,25.99847984313965,0.0,3,61,2,2450.9984798431396,24.7434
98,1,1,-7.717803955078125,-7.251500129699707,26.16234016418457,0.0,13,49,2,2451.1623401641846,0.1639
98,1,1,-7.218597412109375,-7.417799949645996,26.16349983215332,0.0,16,46,2,2451.1634998321533,0.0012
98,1,2,-9.62750244140625,-2.051400184631348,26.23743057250977,0.0,2,144,2,2451.2374305725098,0.0739
98,1,2,-6.6016998291015625,6.267400741577148,26.37428092956543,0.0,20,295,2,2451.3742809295654,0.1369
99,1,1,-8.471694946289062,2.5178003311157227,26.211759567260746,0.0,9,227,2,2476.2117595672607,24.8375
99,1,1,-8.139205932617188,-3.810000419616699,26.256500244140625,0.0,11,112,2,2476.2565002441406,0.0447
101,1,1,-9.249496459960938,4.108400344848633,26.118070602416992,0.0,4,256,2,2526.118070602417,49.8616
