Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
2,1,3,-5.5171966552734375,-9.983400344848633,26.146690368652344,0.0,27,0,2,51.146690368652344,51.146690368652344
4,1,1,-7.66180419921875,-3.176799774169922,26.1843490600586,0.0,14,124,2,101.1843490600586,50.0377
4,1,1,-7.22509765625,-4.944900035858154,26.185039520263672,0.0,16,91,2,101.18503952026367,0.0007
4,1,1,-5.394302368164063,-4.122200012207031,26.19034004211425,0.0,27,106,2,101.19034004211426,0.0053
5,1,2,-6.011398315429688,-4.953999996185303,26.0687198638916,0.0,24,91,2,126.0687198638916,24.8784
5,1,2,-5.99749755859375,-4.953700065612793,26.069730758666992,0.0,24,91,2,126.06973075866699,0.001
5,1,1,-6.6096038818359375,-4.162899971008301,26.44117927551269,0.0,20,106,2,126.4411792755127,0.3714
6,1,2,-7.90020751953125,-3.9168996810913086,26.099550247192383,0.0,12,110,2,151.09955024719238,24.6584
6,1,2,-8.110107421875,-8.713299751281738,26.18161964416504,0.0,11,23,2,151.18161964416504,0.0821
6,1,3,-7.856094360351562,-9.289299964904783,26.258440017700195,0.0,12,12,2,151.2584400177002,0.0768
7,1,2,-5.2303009033203125,-5.709700107574463,26.006059646606445,0.0,28,78,2,176.00605964660645,24.7476
7,1,1,-7.49530029296875,-6.097700119018555,26.305700302124023,0.0,15,70,2,176.30570030212402,0.2996
8,1,1,-7.7014007568359375,-5.514200210571289,26.09906959533692,0.0,13,81,2,201.0990695953369,24.7934
9,1,2,-8.851699829101562,-5.221199989318848,25.98262023925781,0.0,6,86,2,225.9826202392578,24.8836
10,1,4,-9.557296752929688,-5.323299884796143,25.99538993835449,0.0,2,85,2,250.9953899383545,25.0128
11,1,4,-9.469696044921877,-8.928500175476074,26.12459945678711,0.0,3,19,2,276.1245994567871,25.1292
11,1,1,-7.30059814453125,-7.381100177764893,26.2829704284668,0.0,16,47,2,276.2829704284668,0.1584
13,1,1,-7.879501342773437,-5.349999904632568,26.1949405670166,0.0,12,84,2,326.1949405670166,49.912
13,1,4,-6.8397064208984375,-8.217599868774414,26.20128059387207,0.0,19,32,2,326.20128059387207,0.0063
14,1,2,-9.0946044921875,-5.946700096130371,25.99765014648437,0.0,5,73,2,350.9976501464844,24.7964
15,1,1,-7.6894989013671875,-2.019700050354004,26.162029266357425,0.0,14,145,2,376.1620292663574,25.1644
20,1,3,-8.473297119140625,-8.816800117492676,25.88507080078125,0.0,9,21,2,500.88507080078125,124.723
20,1,3,-8.464996337890625,-5.470699787139893,26.125030517578125,0.0,9,82,2,501.1250305175781,0.24
21,1,2,-5.640594482421875,-4.710599899291992,26.27703094482422,0.0,26,96,2,526.2770309448242,25.152
22,1,4,-7.8217926025390625,-4.28849983215332,26.06477928161621,0.0,13,103,2,551.0647792816162,24.7877
25,1,2,-5.505905151367188,-5.67170000076294,25.92746925354004,0.0,27,78,2,625.92746925354,74.8627
25,1,2,-6.6378936767578125,-8.654199600219727,25.99574089050293,0.0,20,24,2,625.9957408905029,0.0683
25,1,3,-6.1959991455078125,-8.422599792480469,26.03801918029785,0.0,23,28,2,626.0380191802979,0.0423
25,1,3,-8.9302978515625,-7.819799900054932,26.26828956604004,0.0,6,39,2,626.26828956604,0.2303
26,1,2,-7.6432952880859375,-2.514399528503418,26.10283088684082,0.0,14,136,2,651.1028308868408,24.8345
26,1,3,-8.613906860351562,-5.531400203704834,26.32862091064453,0.0,8,81,2,651.3286209106445,0.2258
29,1,3,-8.712600708007812,-9.750100135803224,26.1368408203125,0.0,7,4,2,726.1368408203125,74.8082
30,1,1,-6.356597900390625,-3.3416004180908203,25.973020553588867,0.0,22,121,2,750.9730205535889,24.8362
31,1,2,-5.606903076171875,-5.183000087738037,26.060380935668945,0.0,26,87,2,776.060380935669,25.0874
32,1,2,-9.950698852539062,-1.3816003799438477,25.840639114379883,0.0,0,156,2,800.8406391143799,24.7803
33,1,1,-9.972396850585938,-8.544500350952148,26.47410011291504,0.0,0,26,2,826.474100112915,25.6335
34,1,4,-7.1970062255859375,-9.621600151062012,26.01247978210449,0.0,16,6,2,851.0124797821045,24.5384
35,1,2,-5.2733001708984375,-9.451499938964844,26.122339248657227,0.0,28,9,2,876.1223392486572,25.1099
40,1,1,-8.730697631835938,-8.307600021362305,25.98822021484375,0.0,7,30,2,1000.9882202148438,124.8659
40,1,3,-6.7447052001953125,-1.232600212097168,25.995250701904297,0.0,19,159,2,1000.9952507019043,0.007
40,1,3,-7.771896362304687,-8.992500305175781,26.82765007019043,0.0,13,18,2,1001.8276500701904,0.8324
43,1,1,-7.2534027099609375,-2.784099578857422,26.13463020324707,0.0,16,131,2,1076.134630203247,74.307
46,1,2,-8.471298217773438,-5.657199859619141,26.060680389404297,0.0,9,78,2,1151.0606803894043,74.9261
46,1,4,-7.785293579101562,-4.630099773406982,26.17204093933105,0.0,13,97,2,1151.172040939331,0.1114
47,1,2,-6.860107421875,-7.177199840545654,26.07578086853028,0.0,19,51,2,1176.0757808685303,24.9037
47,1,2,-7.733993530273437,-6.591100215911865,26.35675048828125,0.0,13,61,2,1176.3567504882812,0.281
48,1,1,-6.7904052734375,-6.320000171661377,26.440040588378903,0.0,19,66,2,1201.440040588379,25.0833
50,1,2,-9.284194946289062,-5.678500175476074,25.99683952331543,0.0,4,78,2,1250.9968395233154,49.5568
51,1,4,-9.239395141601562,-9.779899597167969,25.96734046936035,0.0,4,4,2,1275.9673404693604,24.9705
