Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
46,1,1,-8.7102,-1.0355,27.6928,0,7,162,2,1152.6928,1152.6928
101,1,1,-8.5068,3.2573,28.1875,0,9,241,2,2528.1875,1375.4947
128,1,1,-6.1639,2.1711,30.4509,0,23,221,2,3205.4509,677.2634
208,1,1,-6.0103,0.666,28.3842,0,24,193,2,5203.3842,1997.9333
209,1,1,-7.0698,0.1816,28.1579,0,17,185,2,5228.1579,24.7737
211,1,1,-7.5322,-4.0748,26.4298,0,14,107,2,5276.4298,48.2719
217,1,1,-9.1387,-0.9183,29.7069,0,5,165,2,5429.7069,153.2771
233,1,1,-6.3508,-8.8741,30.1476,0,22,20,2,5830.1476,400.4407
241,1,1,-7.446,0.5454,26.1398,0,15,191,2,6026.1398,195.9922
273,1,1,-7.9813,-5.4919,29.1691,0,12,81,2,6829.1691,803.0293
275,1,1,-7.0237,-5.4401,29.6601,0,18,82,2,6879.6601,50.491
364,1,1,-8.9245,6.8153,26.6918,0,6,305,2,9101.6918,2222.0317
385,1,1,-5.9076,4.6176,28.5118,0,24,265,2,9628.5118,526.82
421,1,1,-5.3513,2.3858,28.3369,0,28,225,2,10528.3369,899.8251
469,1,1,-5.5841,5.8288,30.0654,0,26,287,2,11730.0654,1201.7285
545,1,1,-9.0681,-7.3259,28.9839,0,5,48,2,13628.9839,1898.9185
559,1,1,-5.713,-2.5343,27.5182,0,25,135,2,13977.5182,348.5343
679,1,1,-9.7049,-4.3133,30.4766,0,1,103,2,16980.4766,3002.9584
693,1,1,-8.7247,-2.3953,29.7519,0,7,138,2,17329.7519,349.2753
702,1,1,-9.3409,-2.0712,26.1727,0,3,144,2,17551.1727,221.4208
737,1,1,-7.1116,6.3485,27.9174,0,17,297,2,18427.9174,876.7447
777,1,1,-6.7045,4.9521,29.299,0,19,271,2,19429.299,1001.3816
820,1,1,-8.0059,-5.3983,29.3581,0,12,83,2,20504.3581,1075.0591
904,1,1,-7.3102,-3.8706,29.3572,0,16,111,2,22604.3572,2099.9991
928,1,1,-7.6953,5.6824,30.5526,0,13,285,2,23205.5526,601.1954
964,1,1,-8.5508,2.5562,29.2553,0,8,228,2,24104.2553,898.7027
969,1,1,-8.6167,1.6666,27.5057,0,8,212,2,24227.5057,123.2504
1012,1,1,-7.2744,-0.7415,27.8939,0,16,168,2,25302.8939,1075.3882
1026,1,1,-7.5974,-0.9231,29.9664,0,14,165,2,25654.9664,352.0725
1115,1,1,-5.9583,-4.8383,29.7547,0,24,93,2,27879.7547,2224.7883
1123,1,1,-7.688,-1.5979,30.2572,0,14,152,2,28080.2572,200.5025
1244,1,1,-9.1031,1.8396,27.2898,0,5,215,2,31102.2898,3022.0326
