#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,9,313,2000,42,122,7539
3,14,124,2000,44,124,7589
4,16,91,2000,44,124,7639
5,19,256,2000,43,123,7689
6,25,161,2000,44,124,7739
7,27,106,2000,44,124,7789
8,28,106,2000,44,124,7838
9,9,312,1875,50,125,8016
10,13,81,1975,48,127,8066
11,15,70,2000,47,127,8116
12,20,106,2000,45,125,8166
13,21,284,1925,49,126,8216
14,4,255,1225,63,112,8416
15,10,275,1325,61,114,8466
16,12,84,1725,53,122,8515
17,14,145,1625,55,120,8565
18,16,47,1825,51,124,8615
19,17,199,975,68,107,8665
20,28,239,1225,63,112,8715
21,0,26,725,73,102,8915
22,5,292,375,80,95,8965
23,6,194,825,71,104,9015
24,7,30,375,80,95,9065
25,13,254,875,70,105,9115
26,16,131,225,83,92,9164
27,19,268,525,77,98,9214
28,22,121,875,70,105,9264
29,1,314,-775,103,72,9464
30,3,216,-625,100,75,9514
31,5,293,375,80,95,9564
32,6,309,725,73,102,9614
33,7,11,-325,94,81,9664
34,10,133,-725,102,73,9714
35,12,167,-325,94,81,9763
36,15,236,-225,92,83,9792
37,16,233,-225,92,83,9841
38,17,273,-625,100,75,9891
39,19,66,-25,88,87,9941
40,21,108,-875,105,70,9991
41,23,176,-75,89,86,10041
42,28,13,-225,92,83,10091
43,5,278,-1725,122,53,10291
44,7,100,-375,95,80,10341
45,12,98,-1775,123,52,10391
46,17,236,-975,107,68,10441
47,18,163,-1875,125,50,10490
48,19,308,725,73,102,10540
49,24,267,-1875,125,50,10590
50,26,64,-925,106,69,10640
51,28,256,-975,107,68,10690
52,2,186,2000,143,32,10890
53,3,61,2000,138,37,10940
54,4,256,2000,141,34,10990
55,6,290,2000,159,16,11040
56,8,134,2000,150,25,11089
57,9,227,2000,139,36,11139
58,10,220,2000,159,16,11189
59,11,112,2000,139,36,11239
60,13,49,2000,138,37,11289
61,16,46,2000,138,37,11339
62,17,161,2000,156,19,11389
63,18,242,-1725,122,53,11439
64,19,105,2000,143,32,11489
65,0,281,1825,179,3,11689
66,1,281,1825,179,3,11738
67,2,269,2000,171,4,11767
68,6,146,2000,164,11,11816
69,7,84,2000,174,1,11866
70,9,53,2000,175,0,11916
71,11,241,2000,135,40,11966
72,13,50,2000,138,37,12016
73,14,36,2000,166,9,12066
74,15,255,1675,182,6,12116
75,16,73,1875,178,2,12166
76,17,277,2000,161,14,12216
77,18,259,2000,168,7,12266
78,19,195,2000,145,30,12316
79,24,33,2000,174,1,12366
80,25,27,2000,171,4,12415
81,26,37,2000,163,12,12465
82,3,228,1275,190,14,12665
83,4,43,675,202,26,12715
84,6,47,525,205,29,12765
85,9,85,1925,177,1,12815
86,13,137,2000,155,20,12865
87,16,291,-25,216,40,12915
88,17,316,1125,193,17,12965
89,19,93,775,200,24,13015
90,20,93,775,200,24,13064
91,26,255,125,213,37,13114
92,28,191,375,208,32,13164
93,0,298,-1575,247,71,13364
94,1,55,-525,226,50,13414
95,3,236,1225,191,15,13464
96,4,191,525,205,29,13514
97,5,127,-975,235,59,13564
98,7,225,-475,225,49,13614
99,9,130,575,204,28,13663
100,12,15,-1225,240,64,13692
101,17,51,-1925,254,78,13741
102,19,135,-225,220,44,13791
103,20,16,-275,221,45,13841
104,22,201,-225,220,44,13891
105,23,248,-1625,248,72,13941
106,24,242,-875,233,57,13991
107,25,172,-225,220,44,14041
108,27,44,-125,218,42,14091
109,0,308,2000,256,80,14291
110,1,63,-225,220,44,14341
111,2,105,2000,277,101,14390
112,4,37,2000,270,94,14440
113,7,192,2000,271,95,14490
114,8,178,2000,261,85,14540
115,10,155,2000,268,92,14590
116,12,38,-675,229,53,14640
117,13,100,2000,261,85,14690
118,20,129,-525,226,50,14740
119,22,2,2000,268,92,14790
120,23,98,2000,283,107,14840
121,25,233,-1925,254,78,14890
122,27,17,2000,263,87,14940
123,0,1,1975,304,127,15139
124,1,279,1425,315,116,15189
125,4,95,2000,289,113,15239
126,6,176,1375,316,115,15289
127,8,29,2000,291,115,15339
128,9,29,2000,291,115,15389
129,10,45,2000,290,114,15439
130,11,278,2000,290,114,15489
131,12,51,2000,277,101,15539
132,13,289,2000,286,110,15589
133,14,205,2000,303,127,15638
134,15,95,2000,288,112,15667
135,17,86,2000,288,112,15716
136,18,4,1375,316,115,15766
137,20,228,2000,259,83,15816
138,0,287,-325,350,81,16016
139,1,145,25,343,88,16066
140,2,125,-475,353,78,16116
141,3,58,875,326,105,16166
142,4,192,525,205,29,16216
143,6,130,175,340,91,16266
144,8,192,275,338,93,16315
145,10,119,2000,293,117,16365
146,12,100,2000,261,85,16415
147,15,105,2000,287,111,16465
148,17,129,25,343,88,16515
149,18,54,375,336,95,16565
150,26,279,-425,352,79,16615
151,27,158,1125,321,110,16665
152,28,307,375,336,95,16715
153,1,9,-1275,369,62,16915
154,2,287,-525,354,77,16964
155,3,181,125,341,90,17014
156,4,234,1725,309,122,17064
157,6,186,125,341,90,17114
158,8,107,2000,386,45,17164
159,11,234,2000,387,44,17214
160,12,191,1475,314,117,17264
161,15,319,325,337,94,17314
162,17,315,575,332,99,17364
163,18,100,-1825,380,51,17414
164,21,73,-1825,380,51,17464
165,22,149,-1825,380,51,17514
166,24,275,-725,358,73,17563
167,25,94,-825,360,71,17592
168,27,109,-1825,380,51,17641
169,2,88,2000,395,36,17841
170,3,314,2000,424,7,17891
171,5,47,2000,412,19,17941
172,6,111,2000,422,9,17991
173,8,201,2000,414,17,18041
174,9,201,2000,414,17,18091
175,11,243,-775,359,72,18141
176,13,98,2000,404,27,18191
177,18,43,2000,408,23,18241
178,21,268,2000,385,46,18290
179,23,171,2000,413,18,18340
180,24,307,2000,411,20,18390
181,25,68,2000,399,32,18440
182,28,240,2000,416,15,18490
183,2,259,2000,420,11,18690
184,5,85,925,453,21,18740
185,6,245,2000,420,11,18790
186,8,237,2000,408,23,18840
187,11,285,2000,428,3,18889
188,13,283,1925,433,1,18939
189,19,86,1575,440,8,18989
190,22,2,925,453,21,19039
191,23,15,1425,443,11,19089
192,24,81,1575,440,8,19139
193,26,49,1725,437,5,19189
194,27,182,2000,428,3,19239
195,28,48,1125,449,17,19289
196,2,24,-325,478,46,19489
197,5,80,-525,482,50,19538
198,6,2,-325,478,46,19567
199,8,100,-1175,495,63,19616
200,9,163,-475,481,49,19666
201,13,45,-75,473,41,19716
202,15,182,-275,477,45,19766
203,16,44,-75,473,41,19816
204,17,307,125,469,37,19866
205,19,204,-725,486,54,19916
206,20,318,-375,479,47,19966
207,22,38,-825,488,56,20016
208,24,55,-775,487,55,20066
209,26,215,225,467,35,20116
210,1,251,-1525,502,70,20315
211,2,303,-1775,507,75,20365
212,5,245,2000,420,11,20415
213,6,3,-325,478,46,20465
214,8,265,2000,430,1,20515
215,9,85,2000,515,83,20565
216,10,145,2000,520,88,20615
217,13,245,-675,485,53,20665
218,21,250,-1725,506,74,20715
219,24,239,2000,516,84,20765
220,28,14,2000,519,87,20815
221,2,264,2000,540,108,21014
222,4,46,2000,532,100,21064
223,7,171,2000,535,103,21114
224,9,192,2000,536,104,21164
225,10,52,2000,531,99,21214
226,13,268,-125,474,42,21264
227,26,83,2000,535,103,21314
228,9,248,2000,524,92,21492
