#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,9,313,2000,42,122,7539
3,14,124,2000,44,124,7589
4,16,91,2000,44,124,7639
5,19,256,2000,43,123,7689
6,25,161,2000,44,124,7739
7,27,106,2000,44,124,7789
8,9,312,1875,50,125,7966
9,13,81,1975,48,127,8016
10,15,70,2000,47,127,8066
11,20,106,2000,45,125,8116
12,21,284,1925,49,126,8166
13,4,255,1225,63,112,8366
14,10,275,1325,61,114,8416
15,12,84,1725,53,122,8466
16,14,145,1625,55,120,8515
17,28,239,1225,63,112,8565
18,0,26,725,73,102,8765
19,5,292,375,80,95,8815
20,6,194,825,71,104,8865
21,7,30,375,80,95,8915
22,13,254,875,70,105,8965
23,16,131,225,83,92,9015
24,17,199,975,68,107,9065
25,19,268,525,77,98,9115
26,22,121,875,70,105,9164
27,6,309,725,73,102,9364
28,7,11,-325,94,81,9414
29,12,167,-325,94,81,9464
30,15,236,-225,92,83,9514
31,16,233,-225,92,83,9564
32,19,66,-25,88,87,9614
33,23,176,-75,89,86,9664
34,28,13,-225,92,83,9714
35,1,314,-775,103,72,9891
36,3,216,-625,100,75,9941
37,5,278,-1725,122,53,9991
38,7,100,-375,95,80,10041
39,10,133,-725,102,73,10091
40,12,98,-1775,123,52,10141
41,17,236,-975,107,68,10191
42,18,242,-1725,122,53,10241
43,19,308,725,73,102,10291
44,21,108,-875,105,70,10341
45,26,64,-925,106,69,10391
46,28,256,-975,107,68,10441
47,2,186,2000,143,32,10640
48,3,61,2000,138,37,10690
49,4,256,2000,141,34,10740
50,8,227,2000,139,36,10790
51,9,227,2000,139,36,10840
52,11,112,2000,139,36,10890
53,13,49,2000,138,37,10940
54,16,46,2000,138,37,10990
55,17,273,-625,100,75,11040
56,18,163,-1875,125,50,11089
57,19,105,2000,143,32,11139
58,24,267,-1875,125,50,11189
59,2,269,2000,171,4,11389
60,3,217,-625,100,75,11439
61,6,146,2000,164,11,11489
62,7,84,2000,174,1,11539
63,8,134,2000,150,25,11589
64,10,220,2000,159,16,11639
65,11,241,2000,135,40,11689
66,13,137,2000,155,20,11738
67,14,36,2000,166,9,11767
68,16,47,-350,51,37,11816
69,17,161,2000,156,19,11866
70,18,195,2000,145,30,11916
71,19,195,2000,145,30,11966
72,24,33,2000,174,1,12016
73,25,27,2000,171,4,12066
74,26,37,2000,163,12,12116
75,1,281,1825,179,3,12316
76,3,228,1275,190,14,12366
77,4,43,675,202,26,12415
78,6,290,2000,159,16,12465
79,9,53,2000,175,0,12515
80,15,255,1675,182,6,12565
81,16,73,1875,178,2,12615
82,17,277,2000,161,14,12665
83,18,259,2000,168,7,12715
84,19,93,775,200,24,12765
85,1,55,-525,226,50,12965
86,3,236,1225,191,15,13015
87,4,192,525,205,29,13064
88,5,127,-975,235,59,13114
89,6,47,525,205,29,13164
90,7,225,-475,225,49,13214
91,9,85,1925,177,1,13264
92,12,15,-1225,240,64,13314
93,16,291,-25,216,40,13364
94,17,316,1125,193,17,13414
95,19,135,-225,220,44,13464
96,20,16,-275,221,45,13514
97,22,201,-225,220,44,13564
98,24,242,-875,233,57,13614
99,25,172,-225,220,44,13663
100,26,255,125,213,37,13692
101,27,44,-125,218,42,13741
102,28,191,375,208,32,13791
103,0,298,-1575,247,71,13991
104,1,63,-225,220,44,14041
105,8,178,2000,261,85,14091
106,9,130,575,204,28,14141
107,12,38,-675,229,53,14191
108,17,51,-1925,254,78,14241
109,20,129,-525,226,50,14291
110,22,202,-225,220,44,14341
111,23,248,-1625,248,72,14390
112,25,233,-1925,254,78,14440
113,27,17,2000,263,87,14490
114,0,1,1975,304,127,14690
115,2,105,2000,277,101,14740
116,4,37,2000,270,94,14790
117,7,192,2000,271,95,14840
118,9,29,2000,291,115,14890
119,10,29,2000,291,115,14940
120,11,155,2000,268,92,14989
121,12,51,2000,277,101,15039
122,13,289,2000,286,110,15089
123,14,205,2000,303,127,15139
124,15,95,2000,288,112,15189
125,17,86,2000,288,112,15239
126,20,228,2000,259,83,15289
127,22,2,2000,268,92,15339
128,23,98,2000,283,107,15389
129,27,191,375,208,32,15439
130,0,308,2000,256,80,15638
131,1,279,1425,315,116,15667
132,3,58,875,326,105,15716
133,4,95,2000,289,113,15766
134,6,176,1375,316,115,15816
135,10,45,2000,290,114,15866
136,11,278,2000,290,114,15916
137,12,100,2000,261,85,15966
138,15,105,2000,287,111,16016
139,17,315,575,332,99,16066
140,18,4,1375,316,115,16116
141,27,158,1125,321,110,16166
142,28,307,375,336,95,16216
143,0,287,-325,350,81,16415
144,1,9,-1275,369,62,16465
145,2,125,-475,353,78,16515
146,3,181,125,341,90,16565
147,4,234,1725,309,122,16615
148,6,130,175,340,91,16665
149,8,192,275,338,93,16715
150,10,119,2000,293,117,16765
151,11,243,-775,359,72,16815
152,12,191,1475,314,117,16865
153,15,319,325,337,94,16915
154,17,129,25,343,88,16964
155,18,54,375,336,95,17014
156,24,275,-725,358,73,17064
157,25,94,-825,360,71,17114
158,26,279,-425,352,79,17164
159,27,307,375,336,95,17214
160,1,145,25,343,88,17414
161,2,88,2000,395,36,17464
162,6,186,125,341,90,17514
163,8,107,2000,386,45,17563
164,10,155,2000,268,92,17592
165,11,234,2000,387,44,17641
166,13,98,2000,404,27,17691
167,18,100,-1825,380,51,17741
168,21,73,-1825,380,51,17791
169,22,149,-1825,380,51,17841
170,25,68,2000,399,32,17891
171,27,109,-1825,380,51,17941
172,2,259,2000,420,11,18141
173,3,314,2000,424,7,18191
174,5,47,2000,412,19,18241
175,6,111,2000,422,9,18290
176,8,201,2000,414,17,18340
177,9,201,2000,414,17,18390
178,11,285,2000,428,3,18440
179,13,283,1925,433,1,18490
180,18,43,2000,408,23,18540
181,19,86,1575,440,8,18590
182,21,268,2000,385,46,18640
183,23,15,1425,443,11,18690
184,24,81,1575,440,8,18740
185,26,49,1725,437,5,18790
186,27,182,2000,428,3,18840
187,28,240,2000,416,15,18889
188,2,287,-525,354,77,19089
189,5,85,925,453,21,19139
190,6,112,2000,422,9,19189
191,8,237,2000,408,23,19239
192,13,45,-75,473,41,19289
193,16,44,-75,473,41,19339
194,17,307,125,469,37,19389
195,22,2,925,453,21,19439
196,23,171,2000,413,18,19489
197,24,307,2000,411,20,19538
198,26,215,225,467,35,19567
199,28,48,1125,449,17,19616
200,1,251,-1525,502,70,19816
201,2,24,-325,478,46,19866
202,5,80,-525,482,50,19916
203,6,2,-325,478,46,19966
204,8,265,2000,430,1,20016
205,9,163,-475,481,49,20066
206,13,245,-2025,485,107,20116
207,15,182,-275,477,45,20166
208,19,204,-725,486,54,20215
209,20,318,-375,479,47,20265
210,21,250,-1725,506,74,20315
211,22,38,-825,488,56,20365
212,24,55,-775,487,55,20415
213,2,264,2000,540,108,20615
214,4,46,2000,532,100,20665
215,5,245,2000,420,11,20715
216,7,171,2000,535,103,20765
217,9,85,2000,515,83,20815
218,10,52,2000,531,99,20864
219,13,268,-125,474,42,20914
220,15,183,-275,477,45,20964
221,24,239,2000,516,84,21014
222,26,83,2000,535,103,21064
223,28,14,2000,519,87,21114
224,2,303,-1775,507,75,21314
225,9,192,2000,536,104,21364
226,10,145,2000,520,88,21414
227,11,205,2000,554,122,21463
228,14,270,1925,561,126,21492
229,16,143,1375,572,115,21541
230,18,19,2000,544,112,21591
231,19,17,2000,544,112,21641
232,25,240,2000,546,114,21691
233,26,273,1925,561,126,21741
234,1,82,1125,577,110,21941
235,4,22,1175,576,111,21991
236,8,100,-2125,495,101,22041
237,9,10,525,589,98,22091
238,10,248,2000,524,92,22141
239,11,229,2000,555,123,22190
240,12,50,-75,601,86,22240
241,14,49,175,596,91,22290
242,16,226,2000,555,123,22340
243,21,98,1225,575,112,22390
244,23,279,525,589,98,22440
245,25,277,-75,601,86,22490
246,26,199,775,584,103,22540
247,1,38,-1275,625,62,22740
248,2,38,-1275,625,62,22789
249,5,235,-325,606,81,22839
250,7,69,-675,613,74,22889
251,9,193,2000,536,104,22939
252,15,271,-925,618,69,22989
253,18,119,-225,604,83,23039
254,21,185,-1325,626,61,23089
255,26,272,75,598,89,23139
256,3,304,-1775,635,52,23339
257,5,70,2000,647,40,23389
258,7,27,-1975,639,48,23438
259,8,1,-1525,630,57,23467
260,9,248,2000,524,92,23516
261,10,81,-1425,628,59,23566
262,11,232,-1875,637,50,23616
263,12,135,2000,640,47,23666
264,13,295,-1775,635,52,23716
265,15,242,-1625,632,55,23766
266,18,253,-1525,630,57,23816
267,24,110,-1625,632,55,23866
268,25,45,-1425,628,59,23916
269,26,158,-1725,634,53,23966
270,27,2,2000,657,30,24016
271,28,121,2000,653,34,24066
272,2,247,2000,659,28,24265
273,3,264,2000,666,21,24315
274,5,67,2000,681,6,24365
275,7,150,2000,664,23,24415
276,8,37,2000,656,31,24465
277,9,300,1875,562,125,24515
278,10,286,2000,646,41,24565
279,24,67,2000,666,21,24615
280,26,306,-1025,620,67,24665
281,0,32,1875,690,2,24864
282,1,4,1375,700,12,24914
283,2,245,1075,706,18,24964
284,3,121,1825,691,3,25014
285,5,59,475,718,30,25064
286,8,155,2000,681,6,25114
287,9,277,1925,689,1,25164
288,10,68,1875,690,2,25214
289,18,135,825,711,23,25264
290,20,201,1925,689,1,25314
291,26,214,425,719,31,25363
292,27,146,1675,694,6,25392
293,0,37,-575,739,51,25591
294,2,70,-325,734,46,25641
295,3,189,-375,735,47,25691
296,5,71,2000,647,40,25741
297,7,319,25,727,39,25791
298,8,264,225,723,35,25841
299,12,21,-575,739,51,25891
300,21,41,-775,743,55,25941
301,23,290,125,725,37,25991
302,25,287,-275,733,45,26041
303,27,197,975,708,20,26090
304,0,129,-1225,752,64,26290
305,2,319,1675,694,6,26340
306,3,36,2000,771,83,26390
307,7,190,-975,747,59,26440
308,11,184,-1675,761,73,26490
309,16,127,-825,744,56,26540
310,17,136,-1725,762,74,26590
311,18,136,-1725,762,74,26640
312,22,109,-1475,757,69,26689
313,23,46,-1425,756,68,26739
314,25,244,2000,770,82,26789
315,26,5,-1825,764,76,26839
316,27,235,2000,771,83,26889
317,28,29,-1975,767,79,26939
318,3,308,2000,788,100,27139
319,10,108,2000,783,95,27189
320,12,182,2000,799,111,27239
321,14,48,2000,794,106,27289
322,15,78,2000,781,93,27338
323,17,256,2000,792,104,27367
324,20,24,2000,797,109,27416
325,23,264,-1025,748,60,27466
326,25,194,2000,788,100,27516
327,26,305,-1325,754,66,27566
328,27,308,125,725,37,27616
329,28,165,2000,797,109,27666
330,0,7,1425,827,116,27866
331,1,251,1725,821,122,27916
332,4,235,1525,825,118,27966
333,6,83,1725,821,122,28015
334,9,183,2000,803,115,28065
335,14,93,1725,821,122,28115
336,15,93,1725,821,122,28165
337,16,59,2000,809,121,28215
338,17,257,2000,792,104,28265
339,19,239,2000,811,123,28315
340,23,263,1875,818,125,28365
341,24,92,2000,815,127,28415
342,25,188,1075,834,109,28465
343,1,108,-325,862,81,28664
344,3,194,-225,860,83,28714
345,4,158,-125,858,85,28764
346,6,97,-225,860,83,28814
347,9,318,75,854,89,28864
348,10,292,25,855,88,28914
349,12,30,725,841,102,28964
350,16,115,375,848,95,29014
351,17,160,375,848,95,29064
352,18,42,975,836,107,29114
353,19,182,475,846,97,29164
354,20,70,475,846,97,29214
355,22,135,325,849,94,29263
356,23,291,125,725,37,29292
357,25,311,2000,813,125,29341
358,26,205,625,843,100,29391
359,27,10,25,855,88,29441
360,3,86,-775,871,72,29641
361,4,266,-25,856,87,29691
362,6,98,-225,860,83,29741
363,8,274,-525,866,77,29791
364,9,253,-1575,887,56,29841
365,16,48,-975,875,68,29891
366,17,312,675,842,101,29941
367,19,160,-1325,882,61,29990
368,20,191,-1025,876,67,30040
369,24,106,-1125,878,65,30090
370,0,25,2000,905,38,30290
371,1,103,2000,902,41,30340
372,3,314,-2450,880,14,30390
373,4,112,2000,912,31,30440
374,6,122,875,838,105,30490
375,7,36,2000,905,38,30540
376,8,6,2000,922,21,30589
377,10,248,2000,916,27,30639
378,12,106,2000,899,44,30689
379,13,22,2000,923,20,30739
380,15,288,2000,918,25,30789
381,16,229,-675,869,74,30839
382,17,146,2000,921,22,30889
383,18,9,2000,913,30,30939
384,20,114,2000,925,18,30989
385,24,238,2000,927,16,31039
386,25,219,2000,925,18,31089
387,28,71,2000,899,44,31139
388,0,138,2000,925,18,31316
389,1,105,2000,902,41,31366
390,2,28,1325,957,13,31416
391,3,206,1325,957,13,31466
392,4,287,2000,807,119,31516
393,5,191,1325,957,13,31566
394,6,316,975,836,107,31616
395,8,79,2000,941,2,31666
396,13,68,2000,915,28,31716
397,16,246,-1925,894,49,31766
398,18,3,2000,936,7,31816
399,20,240,1425,955,11,31866
400,21,74,1625,951,7,31915
401,23,154,1275,958,14,31965
402,25,280,2000,901,42,32015
403,0,273,-575,995,51,32215
404,3,315,-1225,880,63,32265
405,4,52,1025,963,19,32315
406,6,46,1025,963,19,32365
407,8,314,2000,927,16,32415
408,10,8,1075,962,18,32465
409,12,229,25,983,39,32515
410,13,173,-825,1000,56,32564
411,14,225,-575,995,51,32614
412,16,106,-75,985,41,32664
413,18,219,2000,921,22,32714
414,19,49,525,973,29,32764
415,20,264,2000,928,15,32814
416,21,173,425,975,31,32864
417,25,81,475,974,30,32914
418,26,4,25,983,39,32964
