#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,4,210,2000,44,124,7539
3,9,313,2000,42,122,7589
4,14,124,2000,44,124,7639
5,16,91,2000,44,124,7689
6,19,256,2000,43,123,7739
7,25,161,2000,44,124,7789
8,27,0,2000,42,122,7838
9,6,86,1925,49,126,8016
10,9,312,1875,50,125,8066
11,11,23,2000,46,126,8116
12,12,12,2000,46,126,8166
13,13,81,1975,48,127,8216
14,15,70,2000,47,127,8266
15,17,276,1875,50,125,8316
16,20,106,2000,45,125,8366
17,21,284,1925,49,126,8416
18,24,91,2000,45,125,8466
19,27,106,2000,44,124,8515
20,28,78,2000,47,127,8565
21,4,255,1225,63,112,8765
22,5,73,1675,54,121,8815
23,6,39,1125,65,110,8865
24,7,4,925,69,106,8915
25,8,81,1075,66,109,8965
26,9,21,1375,60,115,9015
27,10,275,1325,61,114,9065
28,12,84,1725,53,122,9115
29,13,203,1525,57,118,9164
30,14,136,1075,66,109,9214
31,16,47,1825,51,124,9264
32,17,199,975,68,107,9314
33,20,24,1125,65,110,9364
34,23,28,1125,65,110,9414
35,25,292,1275,62,113,9464
36,26,96,1325,61,114,9514
37,27,78,1125,65,110,9564
38,28,239,1225,63,112,9614
39,0,26,725,73,102,9792
40,1,312,75,86,89,9841
41,3,41,-275,93,82,9891
42,4,78,-125,90,85,9941
43,5,213,975,68,107,9991
44,6,194,825,71,104,10041
45,7,11,-325,94,81,10091
46,8,248,675,74,101,10141
47,9,14,-175,91,84,10191
48,12,110,2000,46,126,10241
49,13,18,375,80,95,10291
50,14,145,1625,55,120,10341
51,15,236,-225,92,83,10391
52,16,233,-225,92,83,10441
53,17,200,1675,54,121,10490
54,19,51,25,87,88,10540
55,22,121,875,70,105,10590
56,23,176,-75,89,86,10640
57,26,87,825,71,104,10690
58,28,9,625,75,100,10740
59,0,156,775,72,103,10940
60,1,37,-1125,110,65,10990
61,2,144,2000,138,37,11040
62,3,61,2000,138,37,11089
63,4,37,-1475,117,58,11139
64,5,253,2000,132,43,11189
65,6,75,-1575,119,56,11239
66,7,30,375,80,95,11289
67,8,69,-1725,122,53,11339
68,9,78,75,86,89,11389
69,10,127,-1175,111,64,11439
70,11,112,2000,139,36,11489
71,12,98,-1775,123,52,11539
72,13,49,2000,138,37,11589
73,14,89,2000,134,41,11639
74,16,46,2000,138,37,11689
75,17,106,-1325,114,61,11738
76,18,3,-1525,118,57,11767
77,19,3,2000,132,43,11816
78,20,108,2000,134,41,11866
79,21,84,-1075,109,66,11916
80,23,125,2000,131,44,11966
81,24,31,2000,131,44,12016
82,26,64,-925,106,69,12066
83,27,32,-825,104,71,12116
84,28,13,-225,92,83,12166
85,0,98,2000,170,5,12366
86,1,281,1825,179,3,12415
87,2,9,2000,145,30,12465
88,3,2,2000,154,21,12515
89,4,203,1975,176,0,12565
90,5,99,2000,152,23,12615
91,6,41,2000,162,13,12665
92,7,84,2000,174,1,12715
93,8,76,2000,153,22,12765
94,9,53,2000,175,0,12815
95,10,84,2000,175,0,12865
96,11,164,2000,153,22,12915
97,12,40,2000,168,7,12965
98,13,61,25,87,88,13015
99,14,36,2000,166,9,13064
100,15,111,1825,179,3,13114
101,16,4,2000,174,1,13164
102,17,161,2000,156,19,13214
103,18,117,2000,129,46,13264
104,19,10,2000,175,0,13314
105,20,147,2000,157,18,13364
