#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,9,313,-725,42,13,10490
3,27,0,-725,42,13,10540
4,4,210,-825,44,11,10740
5,11,23,-925,46,9,10790
6,12,12,-925,46,9,10840
7,13,81,-1025,48,7,10890
8,14,124,-825,44,11,10940
9,15,70,-975,47,8,10990
10,16,91,-825,44,11,11040
11,19,256,-775,43,12,11089
12,20,106,-875,45,10,11139
13,24,91,-875,45,10,11189
14,25,161,-825,44,11,11239
15,27,106,-825,44,11,11289
16,28,78,-975,47,8,11339
17,2,85,-1125,50,5,11539
18,3,19,-1175,51,4,11589
19,5,73,-1325,54,1,11639
20,6,86,-1075,49,6,11689
21,9,312,-1125,50,5,11738
22,11,245,-1225,52,3,11767
23,12,84,-1275,53,2,11816
24,13,203,-1400,57,1,11866
25,14,145,-1375,55,0,11916
26,16,47,-1175,51,4,11966
27,17,200,-1325,54,1,12016
28,19,32,-1275,53,2,12066
29,21,284,-1075,49,6,12116
30,0,26,-1400,73,17,12316
31,1,312,-1400,86,30,12366
32,4,78,-1400,90,34,12415
33,5,213,-1400,68,12,12465
34,6,39,-1400,65,9,12515
35,7,4,-1400,69,13,12565
36,8,81,-1400,66,10,12615
37,9,21,-1400,60,4,12665
38,10,178,-1400,59,3,12715
39,11,217,-1400,83,27,12765
40,12,110,-925,46,9,12815
41,13,18,-1400,80,24,12865
42,14,136,-1400,66,10,12915
43,15,297,-1400,81,25,12965
44,16,6,-1400,74,18,13015
45,17,199,-1400,68,12,13064
46,19,51,-1400,87,31,13114
47,20,24,-1400,65,9,13164
48,21,273,-1400,75,19,13214
49,22,121,-1400,70,14,13264
50,23,28,-1400,65,9,13314
51,25,292,-1400,62,6,13364
52,26,87,-1400,71,15,13414
53,27,78,-1400,65,9,13464
54,28,9,-1400,75,19,13514
55,0,156,-1400,72,16,13692
56,1,37,-1400,110,54,13741
57,2,68,-1400,119,63,13791
58,3,41,-1400,93,37,13841
59,4,4,-1400,91,35,13891
60,5,49,-1400,92,36,13941
61,6,75,-1400,119,63,13991
62,7,11,-1400,94,38,14041
63,8,248,-1400,74,18,14091
64,9,14,-1400,91,35,14141
65,10,127,-1400,111,55,14191
66,12,167,-1400,94,38,14241
67,13,61,-1400,87,31,14291
68,15,236,-1400,92,36,14341
