#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,4,210,2000,44,124,7539
3,9,313,2000,42,122,7589
4,14,124,2000,44,124,7639
5,16,91,2000,44,124,7689
6,19,256,2000,43,123,7739
7,25,161,2000,44,124,7789
8,27,0,2000,42,122,7838
9,2,85,1875,50,125,8016
10,6,86,1925,49,126,8066
11,7,86,1925,49,126,8116
12,9,312,1875,50,125,8166
13,11,23,2000,46,126,8216
14,12,12,2000,46,126,8266
15,13,81,1975,48,127,8316
16,15,70,2000,47,127,8366
17,17,276,1875,50,125,8416
18,20,106,2000,45,125,8466
19,21,284,1925,49,126,8515
20,24,91,2000,45,125,8565
21,27,106,2000,44,124,8615
22,28,78,2000,47,127,8665
23,3,19,1825,51,124,8865
24,4,255,1225,63,112,8915
25,5,73,1675,54,121,8965
26,6,39,1125,65,110,9015
27,7,4,925,69,106,9065
28,8,81,1075,66,109,9115
29,9,21,1375,60,115,9164
30,10,178,1425,59,116,9214
31,11,245,1775,52,123,9264
32,12,84,1725,53,122,9314
33,13,103,1275,62,113,9364
34,14,136,1075,66,109,9414
35,15,71,2000,47,127,9464
36,16,47,1825,51,124,9514
37,17,199,975,68,107,9564
38,19,32,1725,53,122,9614
39,20,24,1125,65,110,9664
40,23,28,1125,65,110,9714
41,25,292,1275,62,113,9763
42,26,96,1325,61,114,9792
43,27,78,1125,65,110,9841
44,28,239,1225,63,112,9891
45,0,26,725,73,102,10091
46,1,85,-625,100,75,10141
47,2,191,-625,100,75,10191
48,3,41,-275,93,82,10241
49,4,4,-175,91,84,10291
50,5,49,-225,92,83,10341
51,6,194,825,71,104,10391
52,7,11,-325,94,81,10441
53,8,248,675,74,101,10490
54,9,14,-175,91,84,10540
55,10,133,-725,102,73,10590
56,11,217,225,83,92,10640
57,12,110,2000,46,126,10690
58,13,18,375,80,95,10740
59,14,145,1625,55,120,10790
60,15,236,-225,92,83,10840
61,16,6,675,74,101,10890
62,17,200,1675,54,121,10940
63,19,51,25,87,88,10990
64,20,159,375,80,95,11040
65,21,273,625,75,100,11089
66,22,121,875,70,105,11139
67,23,176,-75,89,86,11189
68,25,135,-625,100,75,11239
69,26,87,825,71,104,11289
70,28,9,625,75,100,11339
71,0,156,775,72,103,11539
72,1,37,-1125,110,65,11589
73,2,9,2000,145,30,11639
74,3,61,2000,138,37,11689
75,4,37,-2125,117,32,11738
76,5,99,2000,152,23,11767
77,6,75,-1575,119,56,11816
78,7,30,375,80,95,11866
79,8,69,-1725,122,53,11916
80,9,78,75,86,89,11966
81,10,127,-1175,111,64,12016
82,11,112,2000,139,36,12066
83,12,98,-1775,123,52,12116
84,13,49,2000,138,37,12166
85,14,89,2000,134,41,12216
86,15,297,325,81,94,12266
87,16,31,-1925,126,49,12316
88,17,106,-1325,114,61,12366
89,18,3,-1525,118,57,12415
90,19,3,2000,132,43,12465
91,20,64,2000,137,38,12515
92,21,84,-1075,109,66,12565
93,23,125,2000,131,44,12615
94,24,31,2000,131,44,12665
95,26,64,-925,106,69,12715
96,27,32,-825,104,71,12765
97,28,13,-225,92,83,12815
98,0,98,2000,170,5,13015
99,1,186,2000,143,32,13064
100,2,68,-1575,119,56,13114
101,3,2,2000,154,21,13164
102,4,43,675,202,26,13214
103,5,18,475,206,30,13264
104,6,41,2000,162,13,13314
105,7,84,2000,174,1,13364
