#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,14,124,2000,44,124,7539
3,16,91,2000,44,124,7589
4,27,0,2000,42,122,7639
5,2,85,1875,50,125,7838
6,6,86,1925,49,126,7867
7,11,23,2000,46,126,7916
8,12,12,2000,46,126,7966
9,13,81,1975,48,127,8016
10,15,70,2000,47,127,8066
11,20,106,2000,45,125,8116
12,24,91,2000,45,125,8166
13,27,106,2000,44,124,8216
14,28,78,2000,47,127,8266
15,3,19,1825,51,124,8466
16,5,73,1675,54,121,8515
17,9,21,1375,60,115,8565
18,12,84,1725,53,122,8615
19,13,103,1275,62,113,8665
20,14,145,1625,55,120,8715
21,16,47,1825,51,124,8765
22,19,32,1725,53,122,8815
23,26,96,1325,61,114,8865
24,0,26,725,73,102,9065
25,6,39,1125,65,110,9115
26,7,4,925,69,106,9164
27,8,81,1075,66,109,9214
28,9,78,75,86,89,9264
29,12,110,2000,46,126,9314
30,13,18,375,80,95,9364
31,14,136,1075,66,109,9414
32,16,6,675,74,101,9464
33,19,51,25,87,88,9514
34,20,24,1125,65,110,9564
35,22,121,875,70,105,9614
36,23,28,1125,65,110,9664
37,26,87,825,71,104,9714
38,27,78,1125,65,110,9763
39,28,9,625,75,100,9792
40,0,156,775,72,103,9991
41,1,37,-1125,110,65,10041
42,3,41,-275,93,82,10091
43,4,4,-175,91,84,10141
44,5,49,-225,92,83,10191
45,7,11,-325,94,81,10241
46,9,14,-175,91,84,10291
47,10,127,-1175,111,64,10341
48,13,61,25,87,88,10391
49,16,131,-1350,83,29,10441
50,19,66,-25,88,87,10490
51,21,84,-1075,109,66,10540
52,25,135,-625,100,75,10590
53,26,64,-925,106,69,10640
54,27,32,-825,104,71,10690
55,28,13,-225,92,83,10740
56,1,85,-625,100,75,10940
57,2,9,2000,145,30,10990
58,3,61,2000,138,37,11040
59,4,37,-1475,117,58,11089
60,6,75,-1575,119,56,11139
61,7,30,375,80,95,11189
62,8,69,-1725,122,53,11239
63,9,82,1375,60,115,11289
64,10,133,-725,102,73,11339
65,11,112,2000,139,36,11389
66,12,98,-1775,123,52,11439
67,13,49,2000,138,37,11489
68,14,89,2000,134,41,11539
69,16,31,-1925,126,49,11589
70,17,106,-1325,114,61,11639
