#,Col,Row,ToT,TS,Amp,RO_Time
0,9,313,2,0,0,5301
0,19,256,2,0,0,5326
0,14,124,2,0,0,5351
0,25,161,2,0,0,5351
0,16,91,2,0,0,5351
0,27,106,2,0,0,5351
0,28,106,2,0,0,5351
0,20,106,2,0,0,5376
0,15,70,2,0,0,5426
0,13,81,2,0,0,5451
0,21,284,2,0,0,5476
0,9,312,2,0,0,5501
0,16,47,2,0,0,5526
0,12,84,2,0,0,5576
0,14,145,2,0,0,5626
0,10,275,2,0,0,5776
0,4,255,2,0,0,5826
0,28,239,2,0,0,5826
0,17,199,2,0,0,5951
0,13,254,2,0,0,6001
0,22,121,2,0,0,6001
0,6,194,2,0,0,6026
0,19,308,2,0,0,6076
0,6,309,2,0,0,6076
0,0,26,2,0,0,6076
0,19,268,2,0,0,6176
0,7,30,2,0,0,6251
0,5,292,2,0,0,6251
0,5,293,2,0,0,6251
0,16,131,2,0,0,6326
0,19,66,2,0,0,6451
0,23,176,2,0,0,6476
0,15,236,2,0,0,6551
0,16,233,2,0,0,6551
0,28,13,2,0,0,6552
0,12,167,2,0,0,6601
0,7,11,2,0,0,6601
0,7,100,2,0,0,6626
0,17,273,2,0,0,6751
0,3,216,2,0,0,6751
0,21,284,2,0,0,6801
0,10,133,2,0,0,6801
0,1,314,2,0,0,6826
0,21,108,2,0,0,6876
0,26,64,2,0,0,6901
0,28,256,2,0,0,6926
0,17,236,2,0,0,6926
0,5,278,2,0,0,7301
0,18,242,2,0,0,7301
0,12,98,2,0,0,7326
0,24,267,2,0,0,7376
0,18,163,2,0,0,7376
0,11,241,2,0,0,7626
0,3,61,2,0,0,7701
0,13,49,2,0,0,7701
0,13,50,2,0,0,7701
0,16,46,2,0,0,7701
0,9,227,2,0,0,7726
0,11,112,2,0,0,7726
0,4,256,2,0,0,7776
0,19,105,2,0,0,7826
0,2,186,2,0,0,7826
0,19,195,2,0,0,7876
0,8,134,2,0,0,8001
0,13,137,2,0,0,8126
0,17,161,2,0,0,8151
0,6,290,2,0,0,8226
0,6,290,2,0,0,8226
0,10,220,2,0,0,8226
0,17,277,2,0,0,8276
0,26,37,2,0,0,8326
0,6,146,2,0,0,8351
0,14,36,2,0,0,8401
0,18,259,2,0,0,8451
0,25,27,2,0,0,8526
0,2,269,2,0,0,8526
0,24,33,2,0,0,8601
0,7,84,2,0,0,8601
0,9,53,2,0,0,8626
0,9,85,2,0,0,8676
0,16,73,2,0,0,8701
0,1,281,2,0,0,8726
0,0,281,2,0,0,8726
0,15,255,2,0,0,8801
0,3,228,2,0,0,9001
0,3,236,2,0,0,9026
0,3,236,2,0,0,9026
0,17,316,2,0,0,9076
0,19,93,2,0,0,9251
0,20,93,2,0,0,9251
0,4,43,2,0,0,9301
0,9,130,2,0,0,9351
0,6,47,2,0,0,9376
0,4,192,2,0,0,9376
0,4,191,2,0,0,9376
0,28,191,2,0,0,9451
0,26,255,2,0,0,9576
0,16,291,2,0,0,9651
0,27,44,2,0,0,9701
0,19,135,2,0,0,9751
0,1,63,2,0,0,9751
0,22,201,2,0,0,9751
0,25,172,2,0,0,9751
0,20,16,2,0,0,9776
0,7,225,2,0,0,9876
0,20,129,2,0,0,9901
0,1,55,2,0,0,9901
0,12,38,2,0,0,9976
0,24,242,2,0,0,10076
0,5,127,2,0,0,10126
0,12,15,2,0,0,10251
0,0,298,2,0,0,10426
0,23,248,2,0,0,10451
0,25,233,2,0,0,10601
0,17,51,2,0,0,10601
0,0,308,2,0,0,10651
0,20,228,2,0,0,10726
0,12,100,2,0,0,10776
0,13,100,2,0,0,10776
0,8,178,2,0,0,10776
0,27,17,2,0,0,10826
0,22,2,2,0,0,10951
0,10,155,2,0,0,10951
0,4,37,2,0,0,11001
0,7,192,2,0,0,11026
0,12,51,2,0,0,11176
0,2,105,2,0,0,11176
0,23,98,2,0,0,11326
0,13,289,2,0,0,11401
0,15,105,2,0,0,11426
0,17,86,2,0,0,11451
0,15,95,2,0,0,11456
0,4,95,2,0,0,11476
0,11,278,2,0,0,11501
0,10,45,2,0,0,11501
0,9,29,2,0,0,11526
0,8,29,2,0,0,11526
0,10,119,2,0,0,11576
0,14,205,2,0,0,11826
0,0,1,2,0,0,11851
0,4,234,2,0,0,11976
0,12,191,2,0,0,12101
0,1,279,2,0,0,12126
0,6,176,2,0,0,12151
0,18,4,2,0,0,12152
0,27,158,2,0,0,12276
0,3,58,2,0,0,12404
0,17,315,2,0,0,12551
0,28,307,2,0,0,12651
0,18,54,2,0,0,12651
0,15,319,2,0,0,12676
0,8,192,2,0,0,12701
0,6,130,2,0,0,12751
0,3,181,2,0,0,12776
0,6,186,2,0,0,12776
0,17,129,2,0,0,12826
0,1,145,2,0,0,12826
0,0,287,2,0,0,13001
0,26,279,2,0,0,13051
0,2,125,2,0,0,13076
0,2,287,2,0,0,13101
0,24,275,2,0,0,13201
0,11,243,2,0,0,13226
0,25,94,2,0,0,13251
0,1,9,2,0,0,13477
0,27,109,2,0,0,13751
0,21,73,2,0,0,13751
0,18,100,2,0,0,13751
0,22,149,2,0,0,13751
0,21,268,2,0,0,13876
0,8,107,2,0,0,13901
0,11,234,2,0,0,13926
0,2,88,2,0,0,14126
0,25,68,2,0,0,14226
0,13,98,2,0,0,14351
0,18,43,2,0,0,14451
0,8,237,2,0,0,14452
0,24,307,2,0,0,14526
0,5,47,2,0,0,14551
0,23,171,2,0,0,14576
0,9,201,2,0,0,14601
0,8,201,2,0,0,14601
0,28,240,2,0,0,14651
0,5,245,2,0,0,14751
0,6,245,2,0,0,14751
0,2,259,2,0,0,14755
0,6,111,2,0,0,14801
0,3,314,2,0,0,14851
0,11,285,2,0,0,14951
0,27,182,2,0,0,14954
0,8,265,2,0,0,15001
0,13,283,2,0,0,15076
0,26,49,2,0,0,15176
0,19,86,2,0,0,15251
0,24,81,2,0,0,15251
0,23,15,2,0,0,15326
0,28,48,2,0,0,15476
0,5,85,2,0,0,15576
0,22,2,2,0,0,15576
0,26,215,2,0,0,15926
0,17,307,2,0,0,15976
0,13,45,2,0,0,16076
0,13,45,2,0,0,16076
0,16,44,2,0,0,16076
0,13,268,2,0,0,16101
0,15,182,2,0,0,16177
0,2,24,2,0,0,16201
0,6,2,2,0,0,16201
0,6,3,2,0,0,16201
0,20,318,2,0,0,16226
0,9,163,2,0,0,16276
0,5,80,2,0,0,16301
0,13,245,2,0,0,16376
0,19,204,2,0,0,16401
0,24,55,2,0,0,16426
0,22,38,2,0,0,16451
0,8,100,2,0,0,16626
0,1,251,2,0,0,16801
0,21,250,2,0,0,16901
0,2,303,2,0,0,16926
0,9,85,2,0,0,17126
0,24,239,2,0,0,17151
0,28,14,2,0,0,17226
0,10,145,2,0,0,17251
0,9,248,2,0,0,17351
0,10,52,2,0,0,17526
0,4,46,2,0,0,17551
0,7,171,2,0,0,17626
0,26,83,2,0,0,17626
0,26,83,2,0,0,17626
0,9,192,2,0,0,17651
0,2,264,2,0,0,17751
