#,Col,Row,ToT,TS,Amp,RO_Time
0,9,313,5,0,0,5301
0,27,0,5,0,0,5301
0,19,256,5,0,0,5326
0,4,210,5,0,0,5351
0,14,124,5,0,0,5351
0,25,161,5,0,0,5351
0,16,91,5,0,0,5351
0,27,106,5,0,0,5351
0,24,91,5,0,0,5376
0,24,91,5,0,0,5376
0,20,106,5,0,0,5376
0,12,110,5,0,0,5401
0,11,23,5,0,0,5401
0,12,12,5,0,0,5401
0,28,78,5,0,0,5426
0,15,70,5,0,0,5426
0,13,81,5,0,0,5451
0,21,284,5,0,0,5476
0,6,86,5,0,0,5476
0,9,312,5,0,0,5501
0,17,276,5,0,0,5501
0,2,85,5,0,0,5501
0,3,19,5,0,0,5526
0,16,47,5,0,0,5526
0,11,245,5,0,0,5551
0,12,84,5,0,0,5576
0,19,32,5,0,0,5576
0,5,73,5,0,0,5601
0,17,200,5,0,0,5601
0,14,145,5,0,0,5626
0,13,203,5,0,0,5677
0,10,178,5,0,0,5726
0,9,21,5,0,0,5751
0,9,82,5,0,0,5751
0,6,301,5,0,0,5776
0,10,275,5,0,0,5776
0,26,96,5,0,0,5776
0,13,103,5,0,0,5801
0,25,292,5,0,0,5801
0,4,255,5,0,0,5826
0,28,239,5,0,0,5826
0,27,78,5,0,0,5876
0,20,24,5,0,0,5876
0,23,28,5,0,0,5876
0,6,39,5,0,0,5876
0,14,136,5,0,0,5901
0,8,81,5,0,0,5901
0,4,270,5,0,0,5926
0,17,199,5,0,0,5951
0,5,213,5,0,0,5951
0,7,4,5,0,0,5976
0,13,254,5,0,0,6001
0,19,172,5,0,0,6001
0,22,121,5,0,0,6001
0,26,87,5,0,0,6026
0,6,194,5,0,0,6026
0,0,156,5,0,0,6051
0,19,308,5,0,0,6076
0,6,309,5,0,0,6076
0,0,26,5,0,0,6076
0,8,248,5,0,0,6101
0,16,6,5,0,0,6101
0,28,9,5,0,0,6126
0,21,273,5,0,0,6126
0,19,268,5,0,0,6176
0,7,30,5,0,0,6251
0,19,159,5,0,0,6251
0,5,292,5,0,0,6251
0,13,18,5,0,0,6252
0,15,297,5,0,0,6276
0,12,291,5,0,0,6301
0,11,217,5,0,0,6326
0,16,131,5,0,0,6326
0,6,281,5,0,0,6351
0,9,78,5,0,0,6401
0,17,201,5,0,0,6401
0,13,97,5,0,0,6401
0,1,312,5,0,0,6401
0,19,51,5,0,0,6426
0,13,61,5,0,0,6426
0,19,66,5,0,0,6451
0,7,193,5,0,0,6476
0,7,173,5,0,0,6476
0,23,176,5,0,0,6476
0,4,78,5,0,0,6501
0,7,171,5,0,0,6526
0,4,4,5,0,0,6526
0,9,14,5,0,0,6526
0,15,236,5,0,0,6551
0,5,49,5,0,0,6551
0,16,233,5,0,0,6551
0,28,13,5,0,0,6552
0,3,41,5,0,0,6576
0,12,167,5,0,0,6601
0,7,11,5,0,0,6601
0,7,100,5,0,0,6626
0,9,217,5,0,0,6676
0,26,271,5,0,0,6676
0,2,191,5,0,0,6751
0,17,273,5,0,0,6751
0,1,85,5,0,0,6751
0,3,216,5,0,0,6751
0,25,135,5,0,0,6751
0,21,284,5,0,0,6801
0,10,133,5,0,0,6801
0,1,314,5,0,0,6826
0,27,32,5,0,0,6851
0,3,271,5,0,0,6851
0,27,235,5,0,0,6851
0,21,108,5,0,0,6876
0,3,84,5,0,0,6901
0,26,64,5,0,0,6901
0,8,301,5,0,0,6926
0,28,256,5,0,0,6926
0,17,236,5,0,0,6926
0,21,84,5,0,0,6976
0,1,37,5,0,0,7001
0,10,127,5,0,0,7027
0,18,71,5,0,0,7051
0,27,95,5,0,0,7051
0,17,106,5,0,0,7101
0,13,243,5,0,0,7126
0,4,37,5,0,0,7176
0,2,205,5,0,0,7201
0,18,3,5,0,0,7201
0,6,75,5,0,0,7226
0,2,68,5,0,0,7226
0,21,297,5,0,0,7226
0,21,298,5,0,0,7226
0,8,69,5,0,0,7301
0,5,278,5,0,0,7301
0,18,242,5,0,0,7301
0,10,238,5,0,0,7326
0,8,84,5,0,0,7326
0,12,98,5,0,0,7326
0,24,267,5,0,0,7376
0,18,163,5,0,0,7376
0,16,31,5,0,0,7401
0,1,296,5,0,0,7426
0,3,149,5,0,0,7426
0,13,194,5,0,0,7426
0,24,261,5,0,0,7451
0,6,85,5,0,0,7451
0,18,117,5,0,0,7476
0,10,243,5,0,0,7526
