#,Col,Row,ToT,TS,Amp,RO_Time
0,27,0,2,0,0,5301
0,14,124,2,0,0,5351
0,16,91,2,0,0,5351
0,27,106,2,0,0,5351
0,24,91,2,0,0,5376
0,24,91,2,0,0,5376
0,20,106,2,0,0,5376
0,12,110,2,0,0,5401
0,11,23,2,0,0,5401
0,12,12,2,0,0,5401
0,28,78,2,0,0,5426
0,15,70,2,0,0,5426
0,13,81,2,0,0,5451
0,6,86,2,0,0,5476
0,2,85,2,0,0,5501
0,3,19,2,0,0,5526
0,16,47,2,0,0,5526
0,12,84,2,0,0,5576
0,19,32,2,0,0,5576
0,5,73,2,0,0,5601
0,14,145,2,0,0,5626
0,9,21,2,0,0,5751
0,9,82,2,0,0,5751
0,26,96,2,0,0,5776
0,13,103,2,0,0,5801
0,27,78,2,0,0,5876
0,20,24,2,0,0,5876
0,23,28,2,0,0,5876
0,6,39,2,0,0,5876
0,14,136,2,0,0,5901
0,8,81,2,0,0,5901
0,7,4,2,0,0,5976
0,22,121,2,0,0,6001
0,26,87,2,0,0,6026
0,0,156,2,0,0,6051
0,0,26,2,0,0,6076
0,16,6,2,0,0,6101
0,28,9,2,0,0,6126
0,7,30,2,0,0,6251
0,19,159,2,0,0,6251
0,13,18,2,0,0,6252
0,16,131,2,0,0,6326
0,9,78,2,0,0,6401
0,13,97,2,0,0,6401
0,19,51,2,0,0,6426
0,13,61,2,0,0,6426
0,19,66,2,0,0,6451
0,4,78,2,0,0,6501
0,4,4,2,0,0,6526
0,9,14,2,0,0,6526
0,5,49,2,0,0,6551
0,28,13,2,0,0,6552
0,3,41,2,0,0,6576
0,7,11,2,0,0,6601
0,7,100,2,0,0,6626
0,1,85,2,0,0,6751
0,25,135,2,0,0,6751
0,10,133,2,0,0,6801
0,27,32,2,0,0,6851
0,21,108,2,0,0,6876
0,3,84,2,0,0,6901
0,26,64,2,0,0,6901
0,21,84,2,0,0,6976
0,1,37,2,0,0,7001
0,10,127,2,0,0,7027
0,18,71,2,0,0,7051
0,27,95,2,0,0,7051
0,17,106,2,0,0,7101
0,4,37,2,0,0,7176
0,18,3,2,0,0,7201
0,6,75,2,0,0,7226
0,2,68,2,0,0,7226
0,8,69,2,0,0,7301
0,8,84,2,0,0,7326
0,12,98,2,0,0,7326
0,16,31,2,0,0,7401
0,3,149,2,0,0,7426
0,6,85,2,0,0,7451
0,18,117,2,0,0,7476
0,24,31,2,0,0,7526
0,23,125,2,0,0,7526
0,19,3,2,0,0,7551
0,20,108,2,0,0,7601
0,14,89,2,0,0,7601
0,20,64,2,0,0,7676
0,3,61,2,0,0,7701
0,13,49,2,0,0,7701
0,16,46,2,0,0,7701
0,2,144,2,0,0,7701
0,11,112,2,0,0,7726
0,19,105,2,0,0,7826
0,19,76,2,0,0,7826
0,28,83,2,0,0,7851
0,3,132,2,0,0,7876
0,2,9,2,0,0,7876
0,11,118,2,0,0,7901
0,26,124,2,0,0,7926
0,8,134,2,0,0,8001
0,5,99,2,0,0,8051
0,8,76,2,0,0,8076
0,3,2,2,0,0,8102
0,13,137,2,0,0,8126
0,21,138,2,0,0,8126
0,22,147,2,0,0,8151
0,20,147,2,0,0,8176
0,11,102,2,0,0,8201
0,24,115,2,0,0,8226
0,21,42,2,0,0,8276
0,6,41,2,0,0,8301
0,26,37,2,0,0,8326
0,6,146,2,0,0,8351
0,10,35,2,0,0,8351
0,14,36,2,0,0,8401
0,12,40,2,0,0,8451
0,0,98,2,0,0,8501
0,25,27,2,0,0,8526
0,16,131,2,0,0,8526
0,24,33,2,0,0,8601
0,16,4,2,0,0,8601
0,7,84,2,0,0,8601
0,19,10,2,0,0,8626
0,9,53,2,0,0,8626
0,10,84,2,0,0,8626
0,9,85,2,0,0,8676
0,16,73,2,0,0,8701
0,28,53,2,0,0,8726
0,28,53,2,0,0,8726
0,15,111,2,0,0,8726
0,18,95,2,0,0,8801
0,15,67,2,0,0,9126
0,24,114,2,0,0,9126
0,4,83,2,0,0,9151
0,16,96,2,0,0,9201
0,10,74,2,0,0,9226
0,4,160,2,0,0,9251
0,19,93,2,0,0,9251
0,3,28,2,0,0,9276
0,4,43,2,0,0,9301
0,9,130,2,0,0,9351
0,27,45,2,0,0,9351
0,6,47,2,0,0,9376
0,5,18,2,0,0,9401
0,24,124,2,0,0,9501
0,28,36,2,0,0,9526
0,5,98,2,0,0,9551
