Rate,TotalHits,MissingHits,WithinPrevToT,OverMaxROTime,PostSim
1.0,10730,0,0,0,4
2.0,21060,6,6,0,5
3.0,31427,20,19,0,7
4.0,42225,33,29,0,11
5.0,52400,53,48,0,12
6.0,63442,91,79,0,10
7.0,73840,102,88,0,24
8.0,84593,163,146,0,17
9.0,94869,177,148,0,21
10.0,105499,254,211,0,25
11.0,116044,268,229,0,24
12.0,126505,300,251,0,27
13.0,137165,436,359,0,38
14.0,147042,471,362,0,35
15.0,157391,588,445,0,46
16.0,167568,648,465,0,37
17.0,178644,803,560,0,57
18.0,189537,973,632,0,47
19.0,199000,1027,630,0,54
20.0,210750,1458,736,0,87
21.0,221720,2192,883,143,74
22.0,231665,4648,897,3279,216
23.0,241601,12157,966,11004,426
24.0,252547,22747,1087,12963,460
25.0,263101,33245,1146,13553,459
26.0,273453,43605,1325,13289,459
27.0,285030,55164,1366,13163,460
28.0,294558,64681,1489,13150,459
29.0,304893,75032,1534,13013,459
30.0,315208,85330,1747,13232,461
31.0,325184,95304,1759,12969,459
32.0,336698,106822,1923,12804,459
33.0,347933,118055,1977,12852,458
34.0,357580,127709,2155,12865,458
35.0,368876,138989,2347,12901,462
36.0,378241,148360,2496,12904,459
37.0,389017,159123,2603,12608,459
38.0,399805,169924,2762,12776,459
39.0,410089,180204,2968,12674,459
40.0,420715,190826,2971,12768,459
