ChipID,Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
4,3321,1,1,7.043,-3.9944,0,1.0925,34,12,2,166000,166000.0
5,4148,1,1,1.98,-9.3176,0,1.1334,23,1,2,207350,41350.0
7,5370,1,1,-2.1599,-4.7758,0,1.5109,15,10,2,268450,61100.0
6,6973,1,1,-0.0729,-5.6437,0,1.546,19,8,2,348600,80150.0
9,11731,1,1,-4.3142,-5.5039,0,1.7915,11,8,2,586500,237900.0
14,40551,1,1,7.1487,-4.9849,0,1.8676,34,10,2,2027500,1441000.0
13,46189,1,1,-7.964,0.6006,0,1.1322,4,21,2,2309400,281900.0
10,46987,1,1,-1.6167,5.0507,0,1.7032,16,30,2,2349300,39900.0
2,47855,1,1,-0.0921,-1.6008,0,1.1344,19,16,2,2392700,43400.0
9,63280,1,1,-8.8273,2.0026,0,1.9362,2,24,2,3163950,771250.0
8,65816,1,1,-9.2836,2.2141,0,1.0012,1,24,2,3290750,126800.0
0,69357,1,1,2.8463,3.136,0,1.8514,25,26,2,3467800,177050.0
8,71156,1,1,5.9495,-3.7451,0,1.4546,31,12,2,3557750,89950.0
7,73723,1,1,-6.168,-5.6878,0,1.1897,7,8,2,3686100,128350.0
10,75070,1,1,3.5758,5.0047,0,1.1107,27,30,2,3753450,67350.0
7,99964,1,1,5.336,-0.0043,0,1.1145,30,19,2,4998150,1244700.0
18,105105,1,1,-1.2329,5.8592,0,1.6914,17,31,2,5255200,257050.0
3,107642,1,1,5.12,1.2205,0,1.822,30,22,2,5382050,126850.0
11,108795,1,1,-1.8655,-3.2357,0,1.6782,16,13,2,5439700,57650.0
18,109043,1,1,-3.4062,-1.6045,0,1.3027,13,16,2,5452100,12400.0
11,116230,1,1,7.7456,5.3233,0,1.0671,35,30,2,5811450,359350.0
14,121726,1,1,-8.089,-5.917,0,1.0617,3,8,2,6086250,274800.0
3,124232,1,1,-4.5162,-5.6089,0,1.4732,10,8,2,6211550,125300.0
5,131124,1,1,-7.0303,-0.5168,0,1.6768,5,18,2,6556150,344600.0
18,133812,1,1,2.7161,0.218,0,1.955,25,20,2,6690550,134400.0
15,135074,1,1,1.2602,-2.1812,0,1.7948,22,15,2,6753650,63100.0
16,151478,1,1,-5.7304,-3.7718,0,1.135,8,12,2,7573850,820200.0
2,151847,1,1,-9.574,5.6083,0,1.1755,0,31,2,7592300,18450.0
5,152145,1,1,-8.8054,0.9802,0,1.8922,2,21,2,7607200,14900.0
14,154125,1,1,-5.2378,0.8021,0,1.6561,9,21,2,7706200,99000.0
10,156363,1,1,4.7747,-0.3568,0,1.7968,29,19,2,7818100,111900.0
9,158564,1,1,-8.2202,3.3606,0,1.2577,3,26,2,7928150,110050.0
6,166890,1,1,4.1756,0.7734,0,1.4178,28,21,2,8344450,416300.0
6,168707,1,1,-8.7371,-0.4716,0,1.5383,2,19,2,8435300,90850.0
5,168730,1,1,-4.3323,0.6195,0,1.8704,11,21,2,8436450,1150.0
15,168939,1,1,-9.9343,3.2891,0,1.1101,0,26,2,8446900,10450.0
12,169171,1,1,3.5648,-6.8358,0,1.3003,27,6,2,8458500,11600.0
19,170051,1,1,4.0296,-7.9599,0,1.7887,28,4,2,8502500,44000.0
7,172167,1,1,4.8286,4.4169,0,1.4497,29,28,2,8608300,105800.0
1,173349,1,1,1.4038,2.2343,0,1.5519,22,24,2,8667400,59100.0
0,174011,1,1,-5.1559,1.1976,0,1.3805,9,22,2,8700500,33100.0
